"common_name","scientific_name"
"Skipjack tuna","Katsuwonus pelamis"
"Yellowfin tuna","Thunnus albacares"
"Tuna","Thunnini sp"
"Sardine","Sardinella spp"
"Atlantic mackerel","Scomber scombrus"
"Peruvian anchoveta","Engraulis ringens"
"Albacore","Thunnus alalunga"
"Atlantic Cod","Gadus morhua"
"Anchovy","Engraulis spp"
"Pacific Anchoveta","Cetengraulis mysticetus"
"Atlantic herring","Clupea harengus"
"Alaska pollock","Gadus chalcogrammus"
"Blue Whiting","Micromesistius poutassou"
"Capelin","Mallotus villosus"
"Atlantic sardine","Sardina pilchardus"
"Pacific mackerel","Scomber japonicus"
