ingredient,coproduct,gross_energy_product,gross_energy_coproduct,item,FAO_code,map_spam_code,cf,coproduct_cf,energy_cf_product,energy_cf_coproduct,ge_allocation_factor,mass_allocation_factor
soy protein concentrate,soy oil,19.9,39.6,Soya beans,236,soyb,0.329,0.177,6.5470999999999995,7.0092,0.9066573479908085,1.3112174654166393
soy protein concentrate,lecithin,19.9,32.7,Soya beans,236,soyb,0.329,0.25665,6.5470999999999995,8.392455,0.9066573479908085,1.3112174654166393
soybean meal,soy oil,19.7,39.6,Soya beans,236,soyb,0.784,0.177,15.4448,7.0092,0.6386471314126696,0.8212540549418964
soybean meal,lecithin,19.7,32.7,Soya beans,236,soyb,0.784,0.25665,15.4448,8.392455,0.6386471314126696,0.8212540549418964
wheat gluten,wheat starch,21.4,17.6,Wheat,15,whea,0.132,0.766,2.8247999999999998,13.481600000000002,1.312368149928862,1.1135857461024499
wheat,wheat,18.2,18.2,Wheat,15,whea,1,0,18.2,0,1,1
corn gluten meal,corn starch,23.1,17.4,Maize (corn),56,maiz,0.115,0.767,2.6565000000000003,13.345799999999999,1.029306265400605,0.8183306055646481
corn gluten meal,maize germ oil meal,23.1,19.5,Maize (corn),56,maiz,0.115,0.11,2.6565000000000003,2.145,1.029306265400605,0.8183306055646481
corn gluten meal,corn gluten feed,23.1,18.8,Maize (corn),56,maiz,0.115,0.22,2.6565000000000003,4.136,1.029306265400605,0.8183306055646481
corn gluten meal,maize steep liquor,23.1,15.9,Maize (corn),56,maiz,0.115,0.01,2.6565000000000003,0.159,1.029306265400605,0.8183306055646481
corn starch,corn gluten meal,17.4,23.1,Maize (corn),56,maiz,0.767,0.115,13.345799999999999,2.6565000000000003,0.7753216025095466,0.8183306055646482
corn starch,maize germ oil meal,17.4,19.5,Maize (corn),56,maiz,0.767,0.11,13.345799999999999,2.145,0.7753216025095466,0.8183306055646482
corn starch,corn gluten feed,17.4,18.8,Maize (corn),56,maiz,0.767,0.22,13.345799999999999,4.136,0.7753216025095466,0.8183306055646482
corn starch,maize steep liquor,17.4,15.9,Maize (corn),56,maiz,0.767,0.01,13.345799999999999,0.159,0.7753216025095466,0.8183306055646482
pea protein concentrate,pea starch,22.7,15.1,"Peas, dry",187,opul,0.23,0.5,5.221,7.55,1.5599230346344146,1.2048192771084336
pea protein concentrate,pea pulp,22.7,17.8,"Peas, dry",187,opul,0.23,0.09,5.221,1.602,1.5599230346344146,1.2048192771084336
pea protein concentrate,pea solubles,22.7,17.9,"Peas, dry",187,opul,0.23,0.01,5.221,0.179,1.5599230346344146,1.2048192771084336
pea starch,pea protein concentrate,15.1,22.7,"Peas, dry",187,opul,0.5,0.23,7.55,5.221,1.0376580538757558,1.2048192771084336
pea starch,pea pulp,15.1,17.8,"Peas, dry",187,opul,0.5,0.09,7.55,1.602,1.0376580538757558,1.2048192771084336
pea starch,pea solubles,15.1,17.9,"Peas, dry",187,opul,0.5,0.01,7.55,0.179,1.0376580538757558,1.2048192771084336
sunflower meal,sunflower oil,19.4,39.3,Sunflower seed,267,sunf,0.478,0.412,9.2732,16.191599999999998,0.7618359460902894,1.1235955056179776
linseed oil,linseed meal,39,20.7,Linseed,333,ooil,0.34299999999999997,0.605,13.376999999999999,12.523499999999999,1.5057624370185905,1.0548523206751055
guar meal,guar gum powder,20.5,17.5,Other pulses n.e.c.,211,opul,0.58,0.42,11.889999999999999,7.35,1.0654885654885655,1
faba beans,faba beans,18.7,18.7,"Broad beans and horse beans, dry",181,opul,1,0,18.7,0,1,1
canola oil,canola meal,39.3,19.3,Rape or colza seed,270,rape,0.394,0.583,15.4842,11.2519,1.4699226887990393,1.0235414534288638
coconut oil,cake of coconut,39.2,20.1,"Coconuts, in shell",249,cnut,0.11744,0.363,4.603648000000001,7.2963000000000005,3.2941320415853914,2.0814253600865875
pea flour,pea flour,17,17,"Peas, dry",187,opul,0.85,0,14.45,0,1.1764705882352942,1.1764705882352942
soy oil,soybean meal,39.6,19.7,Soya beans,236,soyb,0.177,0.784,7.0092,15.4448,1.7636055936581456,1.0405827263267429
