"ingredient","item","iso3c","mean_value","yield","yield_source","coproduct","yield_coproduct","yield_coproduct_source"
"canola oil","Rape or colza seed","CAN",19987920,NA,NA,"canola meal",NA,NA
"canola oil","Rape or colza seed","CHN",13405400,NA,NA,"canola meal",NA,NA
"canola oil","Rape or colza seed","IND",7736348,NA,NA,"canola meal",NA,NA
"canola oil","Rape or colza seed","FRA",4779711.2,NA,NA,"canola meal",NA,NA
"canola oil","Rape or colza seed","DEU",4074440,NA,NA,"canola meal",NA,NA
"canola oil","Rape or colza seed","AUS",3377528.026,NA,NA,"canola meal",NA,NA
"canola oil","Rape or colza seed","POL",2398354.2,NA,NA,"canola meal",NA,NA
"canola oil","Rape or colza seed","UKR",2223444,NA,NA,"canola meal",NA,NA
"canola oil","Rape or colza seed","GBR",2049600,NA,NA,"canola meal",NA,NA
"canola oil","Rape or colza seed","RUS",1514474.82,NA,NA,"canola meal",NA,NA
"coconut oil","Coconuts, in shell","IDN",17240000,NA,NA,"cake of coconut",NA,NA
"coconut oil","Coconuts, in shell","PHL",14420124.526,NA,NA,"cake of coconut",NA,NA
"coconut oil","Coconuts, in shell","IND",12963143.8,NA,NA,"cake of coconut",NA,NA
"coconut oil","Coconuts, in shell","BRA",2443563.1,NA,NA,"cake of coconut",NA,NA
"coconut oil","Coconuts, in shell","LKA",2276160,NA,NA,"cake of coconut",NA,NA
"coconut oil","Coconuts, in shell","PNG",1780312,NA,NA,"cake of coconut",NA,NA
"coconut oil","Coconuts, in shell","VNM",1531411.73,NA,NA,"cake of coconut",NA,NA
"coconut oil","Coconuts, in shell","MMR",1282630,NA,NA,"cake of coconut",NA,NA
"coconut oil","Coconuts, in shell","MEX",1099600,NA,NA,"cake of coconut",NA,NA
"coconut oil","Coconuts, in shell","THA",858950.646,NA,NA,"cake of coconut",NA,NA
"corn gluten meal","Maize (corn)","USA",367813762,NA,NA,"corn gluten feed",NA,NA
"corn gluten meal","Maize (corn)","CHN",261125760,NA,NA,"corn gluten feed",NA,NA
"corn gluten meal","Maize (corn)","BRA",86174997.2,NA,NA,"corn gluten feed",NA,NA
"corn gluten meal","Maize (corn)","ARG",44681904,NA,NA,"corn gluten feed",NA,NA
"corn gluten meal","Maize (corn)","UKR",29550406,NA,NA,"corn gluten feed",NA,NA
"corn gluten meal","Maize (corn)","MEX",27021010.4,NA,NA,"corn gluten feed",NA,NA
"corn gluten meal","Maize (corn)","IND",25821570,NA,NA,"corn gluten feed",NA,NA
"corn gluten meal","Maize (corn)","IDN",24403760.2,NA,NA,"corn gluten feed",NA,NA
"corn gluten meal","Maize (corn)","ROU",14038009.4,NA,NA,"corn gluten feed",NA,NA
"corn gluten meal","Maize (corn)","CAN",13790540,NA,NA,"corn gluten feed",NA,NA
"corn gluten meal","Maize (corn)","USA",367813762,NA,NA,"corn starch",NA,NA
"corn gluten meal","Maize (corn)","CHN",261125760,NA,NA,"corn starch",NA,NA
"corn gluten meal","Maize (corn)","BRA",86174997.2,NA,NA,"corn starch",NA,NA
"corn gluten meal","Maize (corn)","ARG",44681904,NA,NA,"corn starch",NA,NA
"corn gluten meal","Maize (corn)","UKR",29550406,NA,NA,"corn starch",NA,NA
"corn gluten meal","Maize (corn)","MEX",27021010.4,NA,NA,"corn starch",NA,NA
"corn gluten meal","Maize (corn)","IND",25821570,NA,NA,"corn starch",NA,NA
"corn gluten meal","Maize (corn)","IDN",24403760.2,NA,NA,"corn starch",NA,NA
"corn gluten meal","Maize (corn)","ROU",14038009.4,NA,NA,"corn starch",NA,NA
"corn gluten meal","Maize (corn)","CAN",13790540,NA,NA,"corn starch",NA,NA
"corn gluten meal","Maize (corn)","USA",367813762,NA,NA,"maize germ oil meal",NA,NA
"corn gluten meal","Maize (corn)","CHN",261125760,NA,NA,"maize germ oil meal",NA,NA
"corn gluten meal","Maize (corn)","BRA",86174997.2,NA,NA,"maize germ oil meal",NA,NA
"corn gluten meal","Maize (corn)","ARG",44681904,NA,NA,"maize germ oil meal",NA,NA
"corn gluten meal","Maize (corn)","UKR",29550406,NA,NA,"maize germ oil meal",NA,NA
"corn gluten meal","Maize (corn)","MEX",27021010.4,NA,NA,"maize germ oil meal",NA,NA
"corn gluten meal","Maize (corn)","IND",25821570,NA,NA,"maize germ oil meal",NA,NA
"corn gluten meal","Maize (corn)","IDN",24403760.2,NA,NA,"maize germ oil meal",NA,NA
