"sector","area_code","area","element_code","element","item_code","item","year_code","year","value"
"Crops",2,"Afghanistan",5510,"Production",221,"Almonds, in shell",2010,2010,56000
"Crops",2,"Afghanistan",5510,"Production",221,"Almonds, in shell",2021,2021,40655.23
"Crops",2,"Afghanistan",5510,"Production",711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2010,2010,10200
"Crops",2,"Afghanistan",5510,"Production",711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,2021,19398.07
"Crops",2,"Afghanistan",5510,"Production",515,"Apples",2010,2010,59850
"Crops",2,"Afghanistan",5510,"Production",515,"Apples",2021,2021,292586.58
"Crops",2,"Afghanistan",5510,"Production",526,"Apricots",2010,2010,66560
"Crops",2,"Afghanistan",5510,"Production",526,"Apricots",2021,2021,113659.69
"Crops",2,"Afghanistan",5510,"Production",44,"Barley",2010,2010,437000
"Crops",2,"Afghanistan",5510,"Production",44,"Barley",2021,2021,122692.77
"Crops",2,"Afghanistan",5510,"Production",568,"Cantaloupes and other melons",2010,2010,350000
"Crops",2,"Afghanistan",5510,"Production",568,"Cantaloupes and other melons",2021,2021,979580.97
"Crops",2,"Afghanistan",5510,"Production",767,"Cotton lint, ginned",2010,2010,10890
"Crops",2,"Afghanistan",5510,"Production",329,"Cotton seed",2010,2010,21450
"Crops",2,"Afghanistan",5510,"Production",331,"Cottonseed oil",2010,2010,3725.53
"Crops",2,"Afghanistan",5510,"Production",569,"Figs",2010,2010,8658
"Crops",2,"Afghanistan",5510,"Production",569,"Figs",2021,2021,12981.05
"Crops",2,"Afghanistan",5510,"Production",560,"Grapes",2010,2010,397000
"Crops",2,"Afghanistan",5510,"Production",560,"Grapes",2021,2021,1036547.62
"Crops",2,"Afghanistan",5510,"Production",333,"Linseed",2010,2010,1200
"Crops",2,"Afghanistan",5510,"Production",333,"Linseed",2021,2021,32220.32
"Crops",2,"Afghanistan",5510,"Production",56,"Maize (corn)",2010,2010,301000
"Crops",2,"Afghanistan",5510,"Production",56,"Maize (corn)",2021,2021,180000
"Crops",2,"Afghanistan",5510,"Production",79,"Millet",2010,2010,15000
"Crops",2,"Afghanistan",5510,"Production",79,"Millet",2021,2021,2616.38
"Crops",2,"Afghanistan",5510,"Production",165,"Molasses",2010,2010,757.49
"Crops",2,"Afghanistan",5510,"Production",1182,"Natural honey",2010,2010,2000
"Crops",2,"Afghanistan",5510,"Production",1182,"Natural honey",2021,2021,1362.13
"Crops",2,"Afghanistan",5510,"Production",334,"Oil of linseed",2010,2010,338.52
"Crops",2,"Afghanistan",5510,"Production",290,"Oil of sesame seed",2010,2010,1090.68
"Crops",2,"Afghanistan",5510,"Production",261,"Olive oil",2010,2010,595.68
"Crops",2,"Afghanistan",5510,"Production",260,"Olives",2010,2010,7300
"Crops",2,"Afghanistan",5510,"Production",260,"Olives",2021,2021,7650.7
"Crops",2,"Afghanistan",5510,"Production",403,"Onions and shallots, dry (excluding dehydrated)",2010,2010,309763.13
"Crops",2,"Afghanistan",5510,"Production",403,"Onions and shallots, dry (excluding dehydrated)",2021,2021,301813.86
"Crops",2,"Afghanistan",5510,"Production",490,"Oranges",2010,2010,2000
"Crops",2,"Afghanistan",5510,"Production",490,"Oranges",2021,2021,2793.68
"Crops",2,"Afghanistan",5510,"Production",558,"Other berries and fruits of the genus vaccinium n.e.c.",2010,2010,29764.75
"Crops",2,"Afghanistan",5510,"Production",558,"Other berries and fruits of the genus vaccinium n.e.c.",2021,2021,26830.56
"Crops",2,"Afghanistan",5510,"Production",512,"Other citrus fruit, n.e.c.",2010,2010,2000
"Crops",2,"Afghanistan",5510,"Production",512,"Other citrus fruit, n.e.c.",2021,2021,11631.43
"Crops",2,"Afghanistan",5510,"Production",619,"Other fruits, n.e.c.",2010,2010,100956
"Crops",2,"Afghanistan",5510,"Production",619,"Other fruits, n.e.c.",2021,2021,62462
"Crops",2,"Afghanistan",5510,"Production",234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",2010,2010,1003.49
"Crops",2,"Afghanistan",5510,"Production",234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",2021,2021,2636.17
"Crops",2,"Afghanistan",5510,"Production",211,"Other pulses n.e.c.",2010,2010,53300
"Crops",2,"Afghanistan",5510,"Production",211,"Other pulses n.e.c.",2021,2021,42417.32
"Crops",2,"Afghanistan",5510,"Production",723,"Other stimulant, spice and aromatic crops, n.e.c.",2021,2021,4.3
"Crops",2,"Afghanistan",5510,"Production",541,"Other stone fruits",2010,2010,45000
"Crops",2,"Afghanistan",5510,"Production",541,"Other stone fruits",2021,2021,49254.7
