SPAM_short_name	iso3c	tonnes
acof	CPV	40.73
acof	TWN	906
bana	BFA	46033.41
bana	FRA	228900
bana	SLV	9788.53
barl	ISL	7490
bean	BTN	320.22
bean	TKM	4923.56
chic	ARM	100
chic	COL	91.2
chic	CUB	200
chic	RUS	316840.4
coco	VNM	2000
cowp	CHN	14624.11
cowp	GHA	203865.91
cowp	YEM	52457.69
grou	BTN	47.75
maiz	JOR	25000
maiz	SWE	14900
ocer	COL	3319
ofib	GRC	110
plnt	BDI	234574.59
plnt	BGD	179000
plnt	FJI	8829.1
plnt	PHL	3149093.05
plnt	RWA	907640
plnt	STP	40759.62
pota	BWA	2310.12
rcof	CPV	40.73
rcof	TWN	906
rest	NAM	399.87
rice	PRI	166.54
rice	SAU	814
sesa	MWI	3282.22
sorg	AZE	193.4
sorg	SVN	530
soyb	CUB	1000
soyb	LTU	2230
soyb	LUX	20
soyb	MOZ	115000
soyb	UZB	29473
sugb	PAK	24383
sugb	SVN	8450
sugb	TUN	85998.32
sugb	UZB	2400
sunf	BTN	2.8
sunf	LUX	300
swpo	BWA	1134.75
swpo	GNB	45095
swpo	MWI	7449971.81
trof	POL	230
trof	SWE	3
whea	BWA	1280
whea	NCL	84.5
yams	SEN	97975.07
smil	SDN	1500000
smil	SSD	47851
