SPAM_short_name,iso3c,2021,2010,coef
acof,AGO,10304,9951,1.0354738217264596
acof,BDI,17100,89960,0.19008448199199643
acof,BEN,55,60,0.9166666666666666
acof,BLZ,89.62,90.46,0.9907141277912891
acof,BOL,23451.98,27327.02,0.8581974909814535
acof,BRA,2993780,2907265,1.029758209175978
acof,CAF,10061.59,5270,1.9092201138519924
acof,CHN,108000,49596,2.1775949673360753
acof,CIV,134700,94372,1.4273301402958505
acof,CMR,36096.13,66584,0.5421141715727502
acof,COD,54089.21,31840,1.6987817211055276
acof,COG,3138.04,2826.61,1.1101779163025673
acof,COK,0.45,0.35,1.2857142857142858
acof,COL,560340,535380,1.0466210915611343
acof,COM,139.8,125.78,1.1114644617586262
acof,CPV,40.73,0,0
acof,CRI,88200,91620,0.962671905697446
acof,CUB,9100,8430,1.0794780545670226
acof,DMA,230.7,308.17,0.7486127786611285
acof,DOM,16186.14,21876,0.7399040043883708
acof,ECU,4916.87,31347,0.15685296838612944
acof,ESP,0,0,0
acof,ETH,456000,370569,1.2305400613650899
acof,FJI,14.05,15.15,0.9273927392739274
acof,GAB,98.72,112.88,0.8745570517363572
acof,GHA,736,1200,0.6133333333333333
acof,GIN,40273.08,29018,1.387865462816183
acof,GNQ,4138.75,4250.71,0.9736608707721769
acof,GTM,226700,248355.43,0.9128046848019389
acof,GUY,600,420,1.4285714285714286
acof,HND,400674.42,244335,1.6398568359015286
acof,HTI,20700,38193.38,0.5419787408184351
acof,IDN,765415,684076,1.1189034551716477
acof,IND,334000,289600,1.1533149171270718
acof,JAM,7990,9121,0.8760004385484048
acof,KEN,34500,42000,0.8214285714285714
acof,KHM,375.64,362.29,1.0368489331750805
acof,LAO,161200,46290,3.482393605530352
acof,LBR,630.68,600,1.0511333333333333
acof,LCA,0,0,0
acof,LKA,5306.2,5240,1.0126335877862596
acof,MDG,44394.54,58178,0.7630812334559456
acof,MEX,174341,245271,0.7108096758279617
acof,MMR,8928.27,7300,1.2230506849315068
acof,MOZ,816.01,770,1.0597532467532467
acof,MUS,0,0,0
acof,MWI,10000,4176,2.3946360153256707
acof,MYS,4150.55,15768,0.2632261542364282
acof,NCL,1.72,13,0.1323076923076923
acof,NGA,1815.14,2400,0.7563083333333334
acof,NIC,167831,78712.27,2.1322088665464736
acof,NPL,315,307,1.0260586319218241
acof,PAN,6900,12470,0.5533279871692061
acof,PER,365582.14,264605,1.381614633132405
acof,PHL,60607.18,94536,0.6411015909283236
acof,PNG,42480,52220,0.8134814247414783
acof,PRI,4065.88,6431.97,0.6321360329727906
acof,PRY,388,370,1.0486486486486486
acof,PYF,21.1,18.11,1.1651021535063502
acof,RWA,19466.88,19319,1.0076546405093432
acof,SLE,2400,26130.3,0.09184739555228988
acof,SLV,33900,112636,0.30096949465535
acof,STP,7.59,15.17,0.5003295978905735
acof,SUR,6.02,6.41,0.939157566302652
acof,TGO,16817.87,11500,1.4624234782608694
acof,THA,30000,48955,0.6128076805229292
acof,TLS,13313.98,12653,1.052238994704813
acof,TON,15.32,16.36,0.9364303178484108
acof,TTO,591.4,51.27,11.535010727520966
acof,TWN,906,0,0
acof,TZA,73027,40000,1.825675
acof,UGA,374760,166968,2.2445019404915914
