GAEZ_category,FAONAMES,FAOCODE,,,
Wheat,Wheat,15,,,
Rice,Rice_paddy,27,,,
Maize,Maize,56,,,
Sorghum,Sorghum,83,,,
Millet,Millet,79,,,
Barley,Barley,44,,,
Othercereals,"Rye, Oats, Buckwheat, Quinoa, Fonio, Triticale, Canary_seed, Grain_mixed, Cereals_nes","71, 75, 89, 92, 94, 97, 101, 103, 108",,,
PotatoAndSweetpotato,"Potatoes, Sweet_potatoes","116, 122",,,
Cassava,Cassava,125,,,
Yamsandotherroots,"Yautia (cocoyam), Taro (cocoyam), Yams, Roots_and_tubers_nes ","135, 136, 137, 149",,,
Sugarbeet,Sugar_beet,157,,,
Sugarcane,Sugar_cane,156,,,
Pulses,"Beans_dry, Broad_beans_dry, Peas_dry, Chick_peas, Cow_peas_dry, Pigeon_peas, Lentils, Bambara_beans, Pulses_nes","176, 181, 187, 191, 195, 197, 201, 203, 211",,,
Soybean,Soybeans,236,,,
Rapeseed,Rapeseed,270,,,
Sunflower,Sunflower_seed,267,,,
Groundnut,Groundnuts_with_shell,242,,,
Oilpalmfruit,Oil_Palm_Fruit,254,,,
Olives,Olives,260,,,
Cotton,Seed_Cotton,328,,,
Tobacco,Tobacco_unmanufactured,826,,,
Banana,"Bananas, Plantains","486, 489",,,
Stimulants,"Coffee_green, Cocoa_beans, Tea, Maté","656, 661, 667, 671",,,
Vegetables,"Cabbages, Artichokes, Asparagus, Lettuce_and_chicory, Spinach, Cassave_Leaves, Tomatoes, Cauliflowers_and_broccoli, Pumpkins_squash_gourds, Cucumbers_and_gherkins, Eggplants (aubergines), Chillies_peppers_green, Onions_shallots_green, Onions_dry, Garlic, Leeks, Beans_green, Peas_green, Vegetables_legumes_nes, String_beans, Carrots_and_turnips, Okra, Maize_green, Mushrooms_and_truffles, Chicory_roots, Carobs, Vegetables_fresh_nes, Chillies_and_peppers_dry","358, 366, 367, 372, 373, 378, 388, 393, 394, 397, 399, 401, 402, 403, 406, 407, 414, 417, 420, 423, 426, 430, 446, 449, 459, 461, 463, 689",,,
CropsNES,"Brazil_nuts_with_shell, Cashew_nuts_with_shell, Chestnut, Almonds_with_shell,
Walnuts_with_shell, Pistachios, Kola_nuts, Hazelnuts_with_shell, Areca_nuts,
Nuts_nes, Coconuts, Karite_nuts (sheanuts), Tung_nuts, Melonseed, Kapok_Fruit, Oranges, Tangerines, Lemons_and_limes, Grapefruit_(incl._pomelos),
Fruit_citrus_nes, Apples, Pears, Quinces, Apricots, Cherries_sour, Cherries, Peaches_and_nectarines, Plums_and_sloes, Fruit_stone_nes, Fruit_pome_nes,
Strawberries, Raspberries, Gooseberries, Currants, Blueberries, Cranberries,
Berries_nes, Grapes, Watermelons, Melons_other, Figs, Mangoes_guavas,
Avocados, Pineapples, Dates, Persimmons, Cashewapple, Kiwi_fruit, Papayas, Fruit_tropical_fresh_nes, Fruit_fresh_nes, Sugar_crops_nes, Vetches, Lupins,
Castor_oil_seed, Jojoba_Seeds, Safflower_seed, Sesame_seed, Mustard_seed,
Poppy_seed, Tallowtree_Seeds, Linseed, Hempseed, Oilseeds_nes, Hops,
Pepper (piper_spp.), Vanilla, Cinnamon (canella), Cloves, Nutmeg_mace_cardamoms, Anise_badian_fennel, Ginger, Spices_nes, Peppermint, Pyrethrum_dried,
Flax_fibre_and_tow, Hemp_tow_waste, Jute, Bastfibres_other, Ramie, Sisal,
Agave_fibres_nes, Manila_fibre_(abaca), Fibre_crops_nes","216, 217, 220, 221, 222, 223, 224, 225, 226, 234, 249, 263, 275, 299, 310, 490, 495, 497, 507, 512, 515, 521, 523, 526, 530, 531, 534, 536, 541, 542, 544, 547, 549, 550, 552, 554, 558, 560, 567, 568, 569, 571, 572, 574, 577, 587, 591, 592, 600, 603, 619, 161, 205, 210, 265, 277, 280, 289, 292, 296, 305, 333, 336, 339, 677, 687, 692, 693, 698, 702, 711, 720, 723, 748, 754, 773, 777, 780, 782, 788, 789, 800, 809, 821",,,
Foddercrops,"Cabbages_for_fodder, Pumpkins_for_fodder, Turnips_for_fodder, Beets_for_fodder, Carrots_for_fodder, Swedes_for_fodder, Vegetables_&_roots_fodder, Forage_&_Silage_crops, Forage_products, Forage_&_silage,_maize, Forage_&_silage,_sorghum, Forage_&_silage,_rye_grass, Forage_&_silage,_grasses_nes, Forage_&_silage,_clover, Forage_&_silage,_alfalfa, Forage_&_silage,_green_oilsd, Forage_&_silage,_legumes","644, 645, 646, 647, 648, 649, 655, NA, 651, 636, 637, 638, 639, 640, 641, 642, 643",,,
