GAEZ_category,FAONAMES,item_code
Wheat,Wheat,15
Rice,Rice_paddy,27
Maize,Maize,56
Sorghum,Sorghum,83
Millet,Millet,79
Barley,Barley,44
Othercereals,Rye,71
Othercereals,Oats,75
Othercereals,Buckwheat,89
Othercereals,Quinoa,92
Othercereals,Fonio,94
Othercereals,Triticale,97
Othercereals,Canary_seed,101
Othercereals,Grain_mixed,103
Othercereals,Cereals_nes,108
PotatoAndSweetpotato,Potatoes,116
PotatoAndSweetpotato,Sweet_potatoes,122
Cassava,Cassava,125
Yamsandotherroots,Yautia(cocoyam),135
Yamsandotherroots,Taro(cocoyam),136
Yamsandotherroots,Yams,137
Yamsandotherroots,Roots_and_tubers_nes,149
Sugarbeet,Sugar_beet,157
Sugarcane,Sugar_cane,156
Pulses,Beans_dry,176
Pulses,Broad_beans_dry,181
Pulses,Peas_dry,187
Pulses,Chick_peas,191
Pulses,Cow_peas_dry,195
Pulses,Pigeon_peas,197
Pulses,Lentils,201
Pulses,Bambara_beans,203
Pulses,Pulses_nes,211
Soybean,Soybeans,236
Rapeseed,Rapeseed,270
Sunflower,Sunflower_seed,267
Groundnut,Groundnuts_with_shell,242
Oilpalmfruit,Oil_Palm_Fruit,254
Olives,Olives,260
Cotton,Seed_Cotton,328
Tobacco,Tobacco_unmanufactured,826
Banana,Bananas,486
Banana,Plantains,489
Stimulants,Coffee_green,656
Stimulants,Cocoa_beans,661
Stimulants,Tea,667
Stimulants,Maté,671
Vegetables,Cabbages,358
Vegetables,Artichokes,366
Vegetables,Asparagus,367
Vegetables,Lettuce_and_chicory,372
Vegetables,Spinach,373
Vegetables,Cassave_Leaves,378
Vegetables,Tomatoes,388
Vegetables,Cauliflowers_and_broccoli,393
Vegetables,Pumpkins_squash_gourds,394
Vegetables,Cucumbers_and_gherkins,397
Vegetables,Eggplants(aubergines),399
Vegetables,Chillies_peppers_green,401
Vegetables,Onions_shallots_green,402
Vegetables,Onions_dry,403
Vegetables,Garlic,406
Vegetables,Leeks,407
Vegetables,Beans_green,414
Vegetables,Peas_green,417
Vegetables,Vegetables_legumes_nes,420
Vegetables,String_beans,423
Vegetables,Carrots_and_turnips,426
Vegetables,Okra,430
Vegetables,Maize_green,446
Vegetables,Mushrooms_and_truffles,449
Vegetables,Chicory_roots,459
Vegetables,Carobs,461
Vegetables,Vegetables_fresh_nes,463
Vegetables,Chillies_and_peppers_dry,689
CropsNES,Brazil_nuts_with_shell,216
CropsNES,Cashew_nuts_with_shell,217
CropsNES,Chestnut,220
CropsNES,Almonds_with_shell,221
CropsNES,"
Walnuts_with_shell",222
CropsNES,Pistachios,223
CropsNES,Kola_nuts,224
CropsNES,Hazelnuts_with_shell,225
CropsNES,Areca_nuts,226
CropsNES,"
Nuts_nes",234
CropsNES,Coconuts,249
CropsNES,Karite_nuts(sheanuts),263
CropsNES,Tung_nuts,275
CropsNES,Melonseed,299
CropsNES,Kapok_Fruit,310
CropsNES,Oranges,490
CropsNES,Tangerines,495
CropsNES,Lemons_and_limes,497
CropsNES,Grapefruit_(incl._pomelos),507
CropsNES,"
Fruit_citrus_nes",512
CropsNES,Apples,515
CropsNES,Pears,521
CropsNES,Quinces,523
CropsNES,Apricots,526
CropsNES,Cherries_sour,530
CropsNES,Cherries,531
CropsNES,Peaches_and_nectarines,534
CropsNES,Plums_and_sloes,536
CropsNES,Fruit_stone_nes,541
CropsNES,Fruit_pome_nes,542
CropsNES,"
Strawberries",544
CropsNES,Raspberries,547
CropsNES,Gooseberries,549
CropsNES,Currants,550
CropsNES,Blueberries,552
CropsNES,Cranberries,554
CropsNES,"
Berries_nes",558
CropsNES,Grapes,560
CropsNES,Watermelons,567
CropsNES,Melons_other,568
CropsNES,Figs,569
CropsNES,Mangoes_guavas,571
CropsNES,"
Avocados",572
CropsNES,Pineapples,574
CropsNES,Dates,577
CropsNES,Persimmons,587
CropsNES,Cashewapple,591
CropsNES,Kiwi_fruit,592
CropsNES,Papayas,600
CropsNES,Fruit_tropical_fresh_nes,603
CropsNES,Fruit_fresh_nes,619
CropsNES,Sugar_crops_nes,161
CropsNES,Vetches,205
CropsNES,Lupins,210
CropsNES,"
Castor_oil_seed",265
CropsNES,Jojoba_Seeds,277
CropsNES,Safflower_seed,280
CropsNES,Sesame_seed,289
CropsNES,Mustard_seed,292
CropsNES,"
Poppy_seed",296
CropsNES,Tallowtree_Seeds,305
CropsNES,Linseed,333
CropsNES,Hempseed,336
CropsNES,Oilseeds_nes,339
CropsNES,Hops,677
CropsNES,"
Pepper(piper_spp.)",687
CropsNES,Vanilla,692
CropsNES,Cinnamon(canella),693
CropsNES,Cloves,698
CropsNES,Nutmeg_mace_cardamoms,702
CropsNES,Anise_badian_fennel,711
CropsNES,Ginger,720
CropsNES,Spices_nes,723
CropsNES,Peppermint,748
CropsNES,Pyrethrum_dried,754
CropsNES,"
Flax_fibre_and_tow",773
CropsNES,Hemp_tow_waste,777
CropsNES,Jute,780
CropsNES,Bastfibres_other,782
CropsNES,Ramie,788
CropsNES,Sisal,789
CropsNES,"
Agave_fibres_nes",800
CropsNES,Manila_fibre_(abaca),809
CropsNES,Fibre_crops_nes,821
