SPAM_short_name	SPAM_full_name	item_code	SPAM_super
whea	wheat	15	whea
rice	rice	27	rice
maiz	maize	56	maiz
barl	barley	44	barl
pmil	pearl millet	79	xmil
smil	small millet	79	xmil
sorg	sorghum	83	sorg
ocer	other cereals	68	ocer
ocer	other cereals	71	ocer
ocer	other cereals	75	ocer
ocer	other cereals	89	ocer
ocer	other cereals	92	ocer
ocer	other cereals	94	ocer
ocer	other cereals	97	ocer
ocer	other cereals	101	ocer
ocer	other cereals	103	ocer
ocer	other cereals	108	ocer
pota	potato	116	pota
swpo	sweet potato	122	swpo
yams	yams	137	yams
cass	cassava	125	cass
orts	other roots	135	orts
orts	other roots	136	orts
orts	other roots	149	orts
bean	bean	176	xpul
chic	chickpea	191	xpul
cowp	cowpea	195	xpul
pige	pigeonpea	197	xpul
lent	lentil	201	xpul
opul	other pulses	181	opul
opul	other pulses	187	opul
opul	other pulses	203	opul
opul	other pulses	205	opul
opul	other pulses	210	opul
opul	other pulses	211	opul
soyb	soybean	236	soyb
grou	groundnut	242	xoil
cnut	coconut	249	cnut
oilp	oilpalm	254	oilp
sunf	sunflower	267	sunf
rape	rapeseed	270	rape
rape	rapeseed	292	rape
sesa	sesameseed	289	xoil
sugc	sugarcane	156	sugc
sugb	sugarbeet	157	sugb
cott	cotton	328	xoil
acof	arabica coffee	656	xcof
rcof	robusta coffee	656	xcof
coco	cocoa	661	coco
teas	tea	667	teas
toba	tobacco	826	toba
bana	banana	486	bana
plnt	plantain	489	plnt
temf	temperate fruit	592	xfru
temf	temperate fruit	619	xfru
rest	rest of crops	161	NA
rest	rest of crops	671	NA
ooil	other oil crops	260	ooil
ooil	other oil crops	261	ooil
ooil	other oil crops	262	ooil
ooil	other oil crops	263	ooil
ooil	other oil crops	264	ooil
ooil	other oil crops	265	ooil
ooil	other oil crops	266	ooil
ooil	other oil crops	268	ooil
ooil	other oil crops	269	ooil
ooil	other oil crops	271	ooil
ooil	other oil crops	272	ooil
ooil	other oil crops	273	ooil
ooil	other oil crops	274	ooil
ooil	other oil crops	275	ooil
ooil	other oil crops	276	ooil
ooil	other oil crops	277	ooil
ooil	other oil crops	278	ooil
ooil	other oil crops	279	ooil
ooil	other oil crops	280	ooil
ooil	other oil crops	281	ooil
ooil	other oil crops	282	ooil
ooil	other oil crops	283	ooil
ooil	other oil crops	284	ooil
ooil	other oil crops	285	ooil
ooil	other oil crops	286	ooil
ooil	other oil crops	287	ooil
ooil	other oil crops	288	ooil
ooil	other oil crops	290	ooil
ooil	other oil crops	291	ooil
ooil	other oil crops	293	ooil
ooil	other oil crops	294	ooil
ooil	other oil crops	295	ooil
ooil	other oil crops	296	ooil
ooil	other oil crops	297	ooil
ooil	other oil crops	298	ooil
ooil	other oil crops	299	ooil
ooil	other oil crops	300	ooil
ooil	other oil crops	301	ooil
ooil	other oil crops	302	ooil
ooil	other oil crops	303	ooil
ooil	other oil crops	304	ooil
ooil	other oil crops	305	ooil
ooil	other oil crops	306	ooil
ooil	other oil crops	307	ooil
ooil	other oil crops	308	ooil
ooil	other oil crops	309	ooil
ooil	other oil crops	310	ooil
ooil	other oil crops	312	ooil
ooil	other oil crops	313	ooil
ooil	other oil crops	314	ooil
ooil	other oil crops	315	ooil
ooil	other oil crops	316	ooil
ooil	other oil crops	317	ooil
ooil	other oil crops	318	ooil
ooil	other oil crops	319	ooil
ooil	other oil crops	320	ooil
ooil	other oil crops	321	ooil
ooil	other oil crops	322	ooil
ooil	other oil crops	323	ooil
ooil	other oil crops	324	ooil
ooil	other oil crops	325	ooil
ooil	other oil crops	326	ooil
ooil	other oil crops	327	ooil
ooil	other oil crops	329	ooil
ooil	other oil crops	330	ooil
ooil	other oil crops	331	ooil
ooil	other oil crops	332	ooil
ooil	other oil crops	333	ooil
ooil	other oil crops	334	ooil
ooil	other oil crops	335	ooil
ooil	other oil crops	336	ooil
ooil	other oil crops	337	ooil
ooil	other oil crops	338	ooil
ooil	other oil crops	339	ooil
ofib	other fibre crops	773	ofib
ofib	other fibre crops	774	ofib
ofib	other fibre crops	775	ofib
ofib	other fibre crops	776	ofib
ofib	other fibre crops	777	ofib
ofib	other fibre crops	778	ofib
ofib	other fibre crops	779	ofib
ofib	other fibre crops	780	ofib
ofib	other fibre crops	781	ofib
ofib	other fibre crops	782	ofib
ofib	other fibre crops	783	ofib
ofib	other fibre crops	784	ofib
ofib	other fibre crops	785	ofib
ofib	other fibre crops	786	ofib
ofib	other fibre crops	787	ofib
ofib	other fibre crops	788	ofib
ofib	other fibre crops	789	ofib
ofib	other fibre crops	790	ofib
ofib	other fibre crops	791	ofib
ofib	other fibre crops	792	ofib
ofib	other fibre crops	793	ofib
ofib	other fibre crops	794	ofib
ofib	other fibre crops	795	ofib
ofib	other fibre crops	796	ofib
ofib	other fibre crops	797	ofib
ofib	other fibre crops	798	ofib
ofib	other fibre crops	799	ofib
ofib	other fibre crops	800	ofib
ofib	other fibre crops	801	ofib
ofib	other fibre crops	802	ofib
ofib	other fibre crops	803	ofib
ofib	other fibre crops	804	ofib
ofib	other fibre crops	805	ofib
ofib	other fibre crops	806	ofib
ofib	other fibre crops	807	ofib
ofib	other fibre crops	808	ofib
ofib	other fibre crops	809	ofib
ofib	other fibre crops	810	ofib
ofib	other fibre crops	811	ofib
ofib	other fibre crops	812	ofib
ofib	other fibre crops	813	ofib
ofib	other fibre crops	814	ofib
ofib	other fibre crops	815	ofib
ofib	other fibre crops	816	ofib
ofib	other fibre crops	817	ofib
ofib	other fibre crops	818	ofib
ofib	other fibre crops	819	ofib
ofib	other fibre crops	820	ofib
ofib	other fibre crops	821	ofib
trof	tropical fruit	490	xfru
trof	tropical fruit	491	xfru
trof	tropical fruit	492	xfru
trof	tropical fruit	493	xfru
trof	tropical fruit	494	xfru
trof	tropical fruit	495	xfru
trof	tropical fruit	496	xfru
trof	tropical fruit	497	xfru
trof	tropical fruit	498	xfru
trof	tropical fruit	499	xfru
trof	tropical fruit	500	xfru
trof	tropical fruit	501	xfru
trof	tropical fruit	502	xfru
trof	tropical fruit	503	xfru
trof	tropical fruit	504	xfru
