GAEZ_category,iso3c,late,early,coef
Banana,AGO,4195765.333333333,3599105.5,1.1657800343261215
Banana,ARE,647.8,200.72666666666666,3.227274236939121
Banana,ARG,176417.73,176067.96,1.0019865624614497
Banana,ATG,26.69333333333333,251.1,0.10630558874286472
Banana,AUS,342875.9666666667,286913,1.1950520424890705
Banana,AUT,0,0,1
Banana,BDI,1478936.4933333334,1252361.9666666666,1.1809177639510453
Banana,BEL,0,0,1
Banana,BEN,20107.2,19761.69,1.0174838285591972
Banana,BFA,42677.80333333334,50666.666666666664,0.8423250657894737
Banana,BGD,994716.3333333334,928388,1.0714446258819947
Banana,BGR,0,0,1
Banana,BHR,0,0,1
Banana,BHS,10363.7,10109.526666666667,1.0251419618063227
Banana,BLZ,98809.77,98149.63333333333,1.0067258189791166
Banana,BOL,784099.86,735128,1.0666167796628614
Banana,BRA,6760185.333333333,6812728.333333333,0.9922875245526939
Banana,BRB,1012.68,992.2166666666667,1.0206238556766833
Banana,BRN,1674.6966666666667,1335.7333333333333,1.2537657217009384
Banana,BTN,3359.06,2407.3333333333335,1.3953447798393797
Banana,CAF,228685.99,218638.52333333332,1.0459546950532064
Banana,CHN,11630966.666666666,11119633.333333334,1.0459847297123106
Banana,CIV,2661261.0466666664,2116108.163333333,1.2576205190166643
Banana,CMR,5800088.233333333,5769703,1.0052663427100725
Banana,COD,5675025.666666667,5506426.566666666,1.0306186049988608
Banana,COG,174283.28666666665,169395.74333333335,1.0288528108036086
Banana,COK,12.516666666666667,17.009999999999998,0.7358416617675878
Banana,COL,4848877.183333334,7141430.086666667,0.6789784573241681
Banana,COM,46796.16333333333,46664.73333333333,1.0028164738253442
Banana,CPV,5704.666666666667,10425.666666666666,0.5471752405921284
Banana,CRI,2558137.2933333335,2621778.4166666665,0.9757259717568938
Banana,CUB,905651.7666666667,914180,0.9906711661452523
Banana,CYP,5540,6332,0.8749210360075805
Banana,CZE,0,0,1
Banana,DEU,0,0,1
Banana,DMA,26523.383333333335,26669.71,0.9945133761609457
Banana,DNK,0,0,1
Banana,DOM,2321244.436666667,2089463.6800000002,1.110928349166934
Banana,DZA,236.74666666666667,241.78666666666666,0.9791551781184515
Banana,ECU,7175662.42,7509179.366666666,0.9555854334566635
Banana,EGY,1320803.0833333333,1270632.6666666667,1.0394845953380702
Banana,ESP,409323.3333333333,385322.3333333333,1.0622881103007267
Banana,EST,0,0,1
Banana,ETH,762504.8133333334,500572.67,1.5232649703655083
Banana,FIN,0,0,1
Banana,FJI,14148.363333333335,7335.586666666667,1.9287296267147005
Banana,FRA,212403.33333333334,0,1
Banana,FSM,2347.866666666667,2346.2366666666667,1.0006947295740272
Banana,GAB,366632.88333333336,351114.85,1.0441964597433957
Banana,GHA,4862006.836666667,4000453.453333333,1.2153639314601834
Banana,GIN,708595.6133333333,694906.2799999999,1.0196995389555745
Banana,GNB,63448.59333333333,61985.346666666665,1.0236063319051105
Banana,GNQ,71465.67333333334,69262.33666666667,1.0318114688690116
Banana,GRC,4933.333333333333,2639.116666666667,1.8693123330407269
Banana,GRD,5809,11111.666666666666,0.5227838608069597
Banana,GTM,4264248.6866666665,3967569.4366666665,1.0747760700186393
Banana,GUY,126227.95,78041.66666666667,1.6174430325680724
Banana,HND,625704.0866666667,800024.1833333333,0.7821064659066244
Banana,HRV,0,0,1
Banana,HTI,516395.37666666665,523375.01,0.9866641830427988
Banana,HUN,0,0,1
Banana,IDN,8068187.25,7788583.666666667,1.0358991564191538
Banana,IND,32039666.666666668,29360183.333333332,1.091262486439969
Banana,IRL,0,0,1
Banana,IRN,130266.59333333334,128642.66333333333,1.0126235725996449
Banana,ISR,148012.64,125625.66666666667,1.178203817160506
Banana,ITA,0,348.9133333333333,0
Banana,JAM,110903.33333333333,95432.53333333334,1.1621124312603388
Banana,JOR,34712.52333333333,41773.333333333336,0.8309732684328119
Banana,JPN,18.26,17.583333333333332,1.038483412322275
Banana,KEN,1886413.9666666666,1440280.0999999999,1.3097549335484582
Banana,KHM,277017.23333333334,140746.0833333333,1.9682056279837274
Banana,KIR,7316.326666666667,7367.356666666667,0.9930734994505039
Banana,KOR,0,0,1
Banana,KWT,0,0,1
Banana,LAO,882709.5900000001,697260,1.265969064624387
