iso3c_producing,GAEZ_category,tonnes_producing_crop
ABW,Banana,0
ABW,Barley,0
ABW,Cassava,0
ABW,Cotton,0
ABW,CropsNES,0
ABW,Groundnut,0
ABW,Maize,0
ABW,Millet,0
ABW,Oilpalmfruit,0
ABW,Olives,0
ABW,Othercereals,0
ABW,PotatoAndSweetpotato,0
ABW,Pulses,0
ABW,Rapeseed,0
ABW,Rice,0
ABW,Sorghum,0
ABW,Soybean,0
ABW,Stimulants,0
ABW,Sugarbeet,0
ABW,Sugarcane,0
ABW,Sunflower,0
ABW,Tobacco,0
ABW,Vegetables,0
ABW,Wheat,0
ABW,Yamsandotherroots,0
AFG,Banana,0
AFG,Barley,124899.38147673881
AFG,Cassava,0
AFG,Cotton,75346.47191606529
AFG,CropsNES,3569646.8263646667
AFG,Groundnut,61.64852097630501
AFG,Maize,214645.51093531883
AFG,Millet,4459.33543141548
AFG,Oilpalmfruit,0
AFG,Olives,7527.548301695613
AFG,Othercereals,0
AFG,PotatoAndSweetpotato,913815.3815228939
AFG,Pulses,28531.185464742546
AFG,Rapeseed,55.10852646827698
AFG,Rice,446748.3840331435
AFG,Sorghum,2.977590912953019
AFG,Soybean,57.543470364413224
AFG,Stimulants,0
AFG,Sugarbeet,0
AFG,Sugarcane,40073.85802712664
AFG,Sunflower,118.5584940481931
AFG,Tobacco,41.0464693158865
AFG,Vegetables,1048857.4488048106
AFG,Wheat,4665587.223991618
AFG,Yamsandotherroots,9.656928777694702
AGO,Banana,6334671.2456007
AGO,Barley,0
AGO,Cassava,10317077.431136783
AGO,Cotton,5401.872045402897
AGO,CropsNES,1031333.7729970376
AGO,Groundnut,182620.53567718988
AGO,Maize,2919538.30273813
AGO,Millet,49293.149799306404
AGO,Oilpalmfruit,259286.67866134644
AGO,Olives,0
AGO,Othercereals,0
AGO,PotatoAndSweetpotato,2003231.772226505
AGO,Pulses,337527.8049451206
AGO,Rapeseed,0
AGO,Rice,13701.57038641721
AGO,Sorghum,35604.285827407206
AGO,Soybean,0
AGO,Stimulants,39950.62678075209
