iso3c_producing,SPAM_super,tonnes_producing_crop
ABW,bana,0
ABW,barl,0
ABW,cass,0
ABW,cnut,0
ABW,coco,0
ABW,maiz,0
ABW,ocer,0
ABW,ofib,0
ABW,oilp,0
ABW,orts,0
ABW,othr,0
ABW,plnt,0
ABW,pota,0
ABW,rice,0
ABW,sorg,0
ABW,soyb,0
ABW,spis,0
ABW,sugb,0
ABW,sugc,0
ABW,swpo,0
ABW,teas,0
ABW,tnut,0
ABW,toba,0
ABW,vege,0
ABW,whea,0
ABW,xcof,0
ABW,xfru,0
ABW,xmil,0
ABW,xoil,0
ABW,xpul,0
ABW,yams,0
AFG,bana,495
AFG,barl,115238.46832012385
AFG,cass,0
AFG,cnut,0
AFG,coco,0
AFG,maiz,180510.93711726367
AFG,ocer,20.600000739097595
AFG,ofib,0
AFG,oilp,0
AFG,orts,0
AFG,othr,0
AFG,plnt,0
AFG,pota,921963.6490662694
AFG,rice,452489.4927558899
AFG,sorg,2.0000000670552254
AFG,soyb,0.20000000298023224
AFG,spis,23131.85867923312
AFG,sugb,4167.919821886346
AFG,sugc,41835.40369427204
AFG,swpo,0
AFG,teas,0
AFG,tnut,46398.73064703494
AFG,toba,0.7000000178813934
AFG,vege,1094674.1126019359
AFG,whea,3728786.559841484
AFG,xcof,0
AFG,xfru,3757801.2225902975
AFG,xmil,2851.4879015740007
AFG,xoil,173249.8448323384
AFG,xpul,46023.36829055846
AFG,yams,0
AGO,bana,4685088.652307346
AGO,barl,0
AGO,cass,9702786.585050829
AGO,cnut,0
AGO,coco,452.3640142828226
AGO,maiz,3048306.8062102795
AGO,ocer,0
AGO,ofib,1406.3268673568964
AGO,oilp,280860.484746933
AGO,orts,501.9999876022339
AGO,othr,0
AGO,plnt,54.5
AGO,pota,481888.2531177178
AGO,rice,10911.282703306526
AGO,sorg,36665.3257079646
AGO,soyb,40599.32668411732
AGO,spis,0
AGO,sugb,0
AGO,sugc,957549.0367560387
AGO,swpo,1809167.3649204075
AGO,teas,0.6000000089406967
AGO,tnut,2909.1187089681625
AGO,toba,2887.609445936978
AGO,vege,772994.4738341197
AGO,whea,2942.607008166611
AGO,xcof,11083.401149466634
AGO,xfru,1144164.3105451316
AGO,xmil,37318.75105574727
AGO,xoil,278129.9752702713
AGO,xpul,363699.5826794207
AGO,yams,49.700000286102295
AIA,bana,0
AIA,barl,0
AIA,cass,0
AIA,cnut,0
AIA,coco,0
AIA,maiz,0
AIA,ocer,0
AIA,ofib,0
AIA,oilp,0
AIA,orts,0
AIA,othr,0
AIA,plnt,0
AIA,pota,0
AIA,rice,0
AIA,sorg,0
AIA,soyb,0
AIA,spis,0
AIA,sugb,0
AIA,sugc,0
AIA,swpo,0
AIA,teas,0
AIA,tnut,0
AIA,toba,0
AIA,vege,0
AIA,whea,0
AIA,xcof,0
AIA,xfru,0
AIA,xmil,0
AIA,xoil,0
AIA,xpul,0
AIA,yams,0
ALA,bana,0
ALA,barl,2604.199998855591
ALA,cass,0
ALA,cnut,0
ALA,coco,0
ALA,maiz,0
ALA,ocer,20859.79995727539
ALA,ofib,0
ALA,oilp,0
ALA,orts,0
ALA,othr,0
ALA,plnt,0
ALA,pota,23574.499706864357
ALA,rice,0
ALA,sorg,0
ALA,soyb,0
ALA,spis,0
ALA,sugb,7249.999943256378
ALA,sugc,0
ALA,swpo,0
ALA,teas,0
ALA,tnut,0
ALA,toba,0
ALA,vege,4307.000099182129
ALA,whea,5475.100006103516
ALA,xcof,0
ALA,xfru,4312.699939727783
ALA,xmil,0
ALA,xoil,410.7999975681305
ALA,xpul,64.5999996215105
ALA,yams,0
ALB,bana,0
ALB,barl,14333.935028374195
ALB,cass,0
ALB,cnut,0
ALB,coco,0
ALB,maiz,377499.11666989326
ALB,ocer,37265.091915518045
ALB,ofib,0
ALB,oilp,0
ALB,orts,0
ALB,othr,2614.69744447805
ALB,plnt,0
ALB,pota,264407.74668842554
ALB,rice,0
ALB,sorg,0
ALB,soyb,397.9163839071989
ALB,spis,461.2672870249953
ALB,sugb,24362.288361757994
ALB,sugc,0
ALB,swpo,0
ALB,teas,4
ALB,tnut,17770.258640557528
ALB,toba,1642.984198860824
ALB,vege,993468.3240418434
ALB,whea,234210.95112918317
ALB,xcof,0
ALB,xfru,809697.6215478778
ALB,xmil,0.30000001192092896
ALB,xoil,486773.9231780693
ALB,xpul,25421.445339925587
ALB,yams,0
AND,bana,9
AND,barl,0
AND,cass,0
AND,cnut,0
AND,coco,0
AND,maiz,0
AND,ocer,0.4000000059604645
AND,ofib,0
AND,oilp,0
AND,orts,0
AND,othr,0
AND,plnt,0
AND,pota,2.0999999046325684
AND,rice,0.30000001192092896
AND,sorg,0
AND,soyb,0
AND,spis,0
AND,sugb,0
AND,sugc,0
AND,swpo,0
AND,teas,0
AND,tnut,0
AND,toba,0
AND,vege,7.199999809265137
AND,whea,0
AND,xcof,0
AND,xfru,95.80000305175781
AND,xmil,0
AND,xoil,0
AND,xpul,0
AND,yams,0
ARE,bana,3571.773127555847
ARE,barl,19.200000524520874
ARE,cass,0
ARE,cnut,0
ARE,coco,0
ARE,maiz,17564.477688789368
ARE,ocer,66.39999961853027
ARE,ofib,0
ARE,oilp,0
ARE,orts,0
ARE,othr,0
ARE,plnt,0
ARE,pota,1766.47434476763
ARE,rice,0
ARE,sorg,0
ARE,soyb,0
ARE,spis,0
ARE,sugb,0
ARE,sugc,55.69999933242798
ARE,swpo,0
ARE,teas,0
ARE,tnut,660.7970621585846
ARE,toba,261.7830721139908
ARE,vege,349167.21500587463
ARE,whea,11.299999713897705
ARE,xcof,0
ARE,xfru,300487.26052615047
ARE,xmil,0
ARE,xoil,0
ARE,xpul,0
ARE,yams,0
ARG,bana,176476.48590672016
ARG,barl,3815435.132078871
ARG,cass,197601.06841929257
ARG,cnut,0
ARG,coco,0
ARG,maiz,53073041.654220164
ARG,ocer,1464870.6978378296
ARG,ofib,4189.192748360336
ARG,oilp,0
ARG,orts,2.099999964237213
ARG,othr,6659.885185681749
ARG,plnt,0
ARG,pota,2644137.6848189235
ARG,rice,1671534.3478996754
ARG,sorg,2910065.4166886285
ARG,soyb,38911678.92911996
ARG,spis,206582.36288509518
ARG,sugb,700.5999751091003
ARG,sugc,21438076.21661043
ARG,swpo,191393.44721040875
ARG,teas,71819.25386337936
ARG,tnut,268480.1187322885
ARG,toba,102474.26088738441
ARG,vege,3548910.280030608
ARG,whea,21922391.019500315
ARG,xcof,0.10000000149011612
ARG,xfru,7678117.505455166
ARG,xmil,7977.749193876982
ARG,xoil,6769158.812864035
ARG,xpul,990964.0449588895
ARG,yams,28.699999809265137
ARM,bana,0
ARM,barl,49217.13699799031
ARM,cass,0
ARM,cnut,0
ARM,coco,0
ARM,maiz,7350.482316561043
ARM,ocer,21260.830335393548
ARM,ofib,0
ARM,oilp,0
ARM,orts,0
ARM,othr,0
ARM,plnt,0
ARM,pota,519138.01628124714
ARM,rice,0
ARM,sorg,0
ARM,soyb,0
ARM,spis,0
ARM,sugb,68557.81170022488
ARM,sugc,0
ARM,swpo,0
ARM,teas,0
ARM,tnut,5527.123837426305
ARM,toba,772.0959048271179
ARM,vege,695940.4021185488
ARM,whea,110821.0614201203
ARM,xcof,0
ARM,xfru,777858.7130883038
ARM,xmil,1.399999976158142
ARM,xoil,51.44623672962189
ARM,xpul,4835.743500672281
ARM,yams,0
ASM,bana,860.0999755859375
ASM,barl,0
ASM,cass,99.60000228881836
ASM,cnut,6683.5
ASM,coco,0.9000000357627869
ASM,maiz,0
ASM,ocer,0
ASM,ofib,0
ASM,oilp,0
ASM,orts,9780.5
ASM,othr,0
ASM,plnt,0
ASM,pota,0
ASM,rice,0
ASM,sorg,0
ASM,soyb,0
ASM,spis,0
ASM,sugb,0
ASM,sugc,29.09999942779541
ASM,swpo,0
ASM,teas,0
ASM,tnut,0
ASM,toba,0
ASM,vege,1270.8999938964844
ASM,whea,0
ASM,xcof,0
ASM,xfru,54.60000228881836
ASM,xmil,0
ASM,xoil,0
ASM,xpul,0
ASM,yams,908.0999755859375
ATG,bana,18.008872471749783
ATG,barl,0
ATG,cass,55.67884075641632
ATG,cnut,0
ATG,coco,0
ATG,maiz,14.937579199671745
ATG,ocer,0
ATG,ofib,0
ATG,oilp,0
ATG,orts,39.65264359116554
ATG,othr,0
ATG,plnt,0
