"crop_number","SPAM_short_name","SPAM_super","SPAM_full_name","FAONAMES","FAO_item_code_NFB","FAO_item_code","GROUP","product_description_FAOSTAT","non_food"
1,"whea","whea","wheat","wheat",2511,15,"cereals","Wheat",NA
1,"whea","whea","wheat","wheat",2511,16,"cereals","Flour, wheat",NA
1,"whea","whea","wheat","wheat",2511,17,"cereals","Bran, wheat",NA
1,"whea","whea","wheat","wheat",2511,19,"cereals","Germ, wheat",NA
1,"whea","whea","wheat","wheat",2511,21,"cereals","Bulgar",NA
1,"whea","whea","wheat","wheat",2511,23,"cereals","Starch, wheat",NA
1,"whea","whea","wheat","wheat",2511,24,"cereals","Gluten, wheat",NA
1,"whea","whea","wheat","wheat",2511,41,"cereals","Cereals, breakfast",NA
2,"rice","rice","rice","rice",2807,27,"cereals","Rice, paddy",NA
2,"rice","rice","rice","rice",2807,28,"cereals","Rice, husked",NA
2,"rice","rice","rice","rice",2807,29,"cereals","Rice, milled/husked",NA
2,"rice","rice","rice","rice",2807,31,"cereals","Rice, milled",NA
2,"rice","rice","rice","rice",2807,32,"cereals","Rice, broken",NA
2,"rice","rice","rice","rice",2807,33,"cereals","Gluten, rice",NA
2,"rice","rice","rice","rice",2807,34,"cereals","Starch, rice",NA
2,"rice","rice","rice","rice",2807,35,"cereals","Bran, rice",NA
2,"rice","rice","rice","rice",2581,36,"cereals","Oil, rice bran",NA
2,"rice","rice","rice","rice",2581,37,"cereals","Cake rice bran",NA
2,"rice","rice","rice","rice",2807,38,"cereals","Flour, rice",NA
3,"maiz","maiz","maize","maize",2514,56,"cereals","Maize",NA
3,"maiz","maiz","maize","maize",2514,57,"cereals","Germ, maize",NA
3,"maiz","maiz","maize","maize",2514,58,"cereals","Flour, maize",NA
3,"maiz","maiz","maize","maize",2514,59,"cereals","Bran, maize",NA
3,"maiz","maiz","maize","maize",2514,61,"cereals","Cake maize",NA
3,"maiz","maiz","maize","maize",2514,63,"cereals","Gluten, maize",NA
3,"maiz","maiz","maize","maize",2514,64,"cereals","Starch, maize",NA
3,"maiz","maiz","maize","maize",2514,846,"cereals","Feed and meal, gluten",NA
3,"maiz","maiz","maize","maize",2582,60,"cereals","Oil, maize",NA
4,"barl","barl","barley","barley",2513,51,"cereals","Beer of barley",NA
4,"barl","barl","barley","barley",2513,50,"cereals","Malt extract",NA
4,"barl","barl","barley","barley",2513,49,"cereals","Malt",NA
4,"barl","barl","barley","barley",2513,48,"cereals","Flour, barley and grits",NA
4,"barl","barl","barley","barley",2513,47,"cereals","Bran, barley",NA
4,"barl","barl","barley","barley",2513,46,"cereals","Barley, pearled",NA
4,"barl","barl","barley","barley",2513,45,"cereals","Barley, pot",NA
4,"barl","barl","barley","barley",2513,44,"cereals","Barley",NA
5,"pmil","xmil","pearl millet","millet",2517,79,"cereals","Millet",NA
6,"smil","xmil","small millet","millet",2517,80,"cereals","Flour, millet",NA
5,"pmil","xmil","pearl millet","millet",2517,81,"cereals","Bran, millet",NA
6,"smil","xmil","small millet","millet",2517,79,"cereals","Millet",NA
