"iso3c","raw_name","prop_diet","production_system","species","diet"
"AFG","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"AFG","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"AFG","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"AFG","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"AFG","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"AFG","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"AFG","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"AFG","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"AFG","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"AFG","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"AFG","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"AFG","other",0.004,"aquaculture","salmon","plant-dominant"
"AFG","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"AFG","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"AFG","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"AFG","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"AFG","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"AFG","wheat",0.065,"aquaculture","salmon","plant-dominant"
"AFG","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"CYP","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"CYP","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"CYP","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"CYP","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"CYP","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"CYP","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"CYP","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
"CYP","fish oil, forage fish",0.083,"aquaculture","salmon","plant-dominant"
"CYP","guar meal",0.043,"aquaculture","salmon","plant-dominant"
"CYP","linseed oil",0.013,"aquaculture","salmon","plant-dominant"
"CYP","micro ingredients",0.041,"aquaculture","salmon","plant-dominant"
"CYP","other",0.004,"aquaculture","salmon","plant-dominant"
"CYP","pea flour",0.025,"aquaculture","salmon","plant-dominant"
"CYP","pea protein concentrate",0.014,"aquaculture","salmon","plant-dominant"
"CYP","soy oil",0.004,"aquaculture","salmon","plant-dominant"
"CYP","soy protein concentrate",0.209,"aquaculture","salmon","plant-dominant"
"CYP","sunflower meal",0.034,"aquaculture","salmon","plant-dominant"
"CYP","wheat",0.065,"aquaculture","salmon","plant-dominant"
"CYP","wheat gluten",0.098,"aquaculture","salmon","plant-dominant"
"ALA","canola oil",0.184,"aquaculture","salmon","plant-dominant"
"ALA","coconut oil",0.001,"aquaculture","salmon","plant-dominant"
"ALA","corn gluten meal",0.007,"aquaculture","salmon","plant-dominant"
"ALA","faba beans",0.036,"aquaculture","salmon","plant-dominant"
"ALA","fish meal, cut offs",0.033,"aquaculture","salmon","plant-dominant"
"ALA","fish meal, forage fish",0.088,"aquaculture","salmon","plant-dominant"
"ALA","fish oil, cut offs",0.02,"aquaculture","salmon","plant-dominant"
