iso3c_producing,SPAM_super,tonnes_producing_crop
ABW,bana,0
ABW,barl,0
ABW,cass,0
ABW,cnut,0
ABW,coco,0
ABW,maiz,0
ABW,ocer,0
ABW,ofib,0
ABW,oilp,0
ABW,ooil,0
ABW,opul,0
ABW,orts,0
ABW,othr,0
ABW,plnt,0
ABW,pota,0
ABW,rape,0
ABW,rice,0
ABW,sorg,0
ABW,soyb,0
ABW,spis,0
ABW,sugb,0
ABW,sugc,0
ABW,sunf,0
ABW,swpo,0
ABW,teas,0
ABW,tnut,0
ABW,toba,0
ABW,vege,0
ABW,whea,0
ABW,xcof,0
ABW,xfru,0
ABW,xmil,0
ABW,xoil,0
ABW,xpul,0
ABW,yams,0
AFG,bana,495
AFG,barl,124923.72462379932
AFG,cass,0
AFG,cnut,0
AFG,coco,0
AFG,maiz,213195.05466660857
AFG,ocer,20.600000739097595
AFG,ofib,0
AFG,oilp,0
AFG,ooil,32184.29097723961
AFG,opul,41475.633955173194
AFG,orts,0
AFG,othr,0
AFG,plnt,0
AFG,pota,919470.0707972646
AFG,rape,214.69999397546053
AFG,rice,426929.62466582656
AFG,sorg,2.0000000670552254
AFG,soyb,0.20000000298023224
AFG,spis,24891.414444752038
AFG,sugb,6806.775171566755
AFG,sugc,38162.599521398544
AFG,sunf,6492.7854547947645
AFG,swpo,0
AFG,teas,0
AFG,tnut,49928.11216071993
AFG,toba,0.7000000178813934
AFG,vege,1154565.0234425664
AFG,whea,4663759.303575814
AFG,xcof,0
AFG,xfru,3521764.6978112757
AFG,xmil,2410.6079503865913
AFG,xoil,119625.6649786979
AFG,xpul,323.5999944806099
AFG,yams,0
AGO,bana,4162865.21126689
AGO,barl,0
AGO,cass,9456745.561196543
AGO,cnut,0
AGO,coco,453.53519754856825
AGO,maiz,2918284.041819215
AGO,ocer,0
AGO,ofib,1371.0709543079138
AGO,oilp,281188.26593208313
AGO,ooil,4724.491690918803
AGO,opul,20.100000202655792
AGO,orts,501.9999876022339
AGO,othr,0
AGO,plnt,54.5
AGO,pota,473717.62821158767
AGO,rape,0
AGO,rice,10375.520766615868
AGO,sorg,33920.12942364067
AGO,soyb,37734.88181221485
AGO,spis,0
AGO,sugb,0
AGO,sugc,857088.9282188416
AGO,sunf,12092.813200853765
AGO,swpo,1728062.830087781
AGO,teas,0.6000000089406967
AGO,tnut,2667.0916364490986
AGO,toba,2909.971261680126
AGO,vege,763754.4895782173
AGO,whea,2939.989756837487
AGO,xcof,11950.27038051188
AGO,xfru,1093326.2611393854
AGO,xmil,49023.851475179195
AGO,xoil,227894.06752946973
AGO,xpul,336868.8271111548
AGO,yams,49.700000286102295
AIA,bana,0
AIA,barl,0
AIA,cass,0
AIA,cnut,0
AIA,coco,0
AIA,maiz,0
AIA,ocer,0
AIA,ofib,0
AIA,oilp,0
AIA,ooil,0
AIA,opul,0
AIA,orts,0
AIA,othr,0
AIA,plnt,0
AIA,pota,0
AIA,rape,0
AIA,rice,0
AIA,sorg,0
AIA,soyb,0
AIA,spis,0
AIA,sugb,0
AIA,sugc,0
AIA,sunf,0
AIA,swpo,0
AIA,teas,0
AIA,tnut,0
AIA,toba,0
AIA,vege,0
AIA,whea,0
AIA,xcof,0
AIA,xfru,0
AIA,xmil,0
AIA,xoil,0
AIA,xpul,0
AIA,yams,0
ALA,bana,0
ALA,barl,2604.199998855591
ALA,cass,0
ALA,cnut,0
ALA,coco,0
ALA,maiz,0
ALA,ocer,20859.79995727539
ALA,ofib,0
ALA,oilp,0
ALA,ooil,0
ALA,opul,64.5999996215105
ALA,orts,0
ALA,othr,0
ALA,plnt,0
ALA,pota,23574.499706864357
ALA,rape,410.7999975681305
ALA,rice,0
ALA,sorg,0
ALA,soyb,0
ALA,spis,0
ALA,sugb,7249.999943256378
ALA,sugc,0
ALA,sunf,0
ALA,swpo,0
ALA,teas,0
ALA,tnut,0
ALA,toba,0
ALA,vege,4307.000099182129
ALA,whea,5475.100006103516
ALA,xcof,0
ALA,xfru,4312.699939727783
ALA,xmil,0
ALA,xoil,0
ALA,xpul,0
ALA,yams,0
ALB,bana,0
ALB,barl,11967.884653866291
ALB,cass,0
ALB,cnut,0
ALB,coco,0
ALB,maiz,399210.60222005844
ALB,ocer,37000.610401168466
ALB,ofib,0
ALB,oilp,0
ALB,ooil,149683.60372161865
ALB,opul,2848.9828625172377
ALB,orts,0
ALB,othr,2170.129004947841
ALB,plnt,0
ALB,pota,257840.33371970057
ALB,rape,6.300000190734863
ALB,rice,0
ALB,sorg,0
ALB,soyb,473.059106990695
ALB,spis,382.83952234336175
ALB,sugb,27296.762551903725
ALB,sugc,0
ALB,sunf,1065.8198640868068
ALB,swpo,0
ALB,teas,4
ALB,tnut,14748.839775905013
ALB,toba,1478.920934714377
ALB,vege,983565.7066824436
ALB,whea,230460.66894449294
ALB,xcof,0
ALB,xfru,793313.8307431936
ALB,xmil,0.30000001192092896
ALB,xoil,714.1348098814487
ALB,xpul,24304.261239632964
ALB,yams,0
AND,bana,9
AND,barl,0
AND,cass,0
AND,cnut,0
AND,coco,0
AND,maiz,0
AND,ocer,0.4000000059604645
AND,ofib,0
AND,oilp,0
AND,ooil,0
AND,opul,0
AND,orts,0
AND,othr,0
AND,plnt,0
AND,pota,2.0999999046325684
AND,rape,0
AND,rice,0.30000001192092896
AND,sorg,0
AND,soyb,0
AND,spis,0
AND,sugb,0
AND,sugc,0
AND,sunf,0
AND,swpo,0
AND,teas,0
AND,tnut,0
AND,toba,0
AND,vege,7.199999809265137
AND,whea,0
AND,xcof,0
AND,xfru,95.80000305175781
AND,xmil,0
AND,xoil,0
AND,xpul,0
AND,yams,0
ARE,bana,4220.882453918457
ARE,barl,19.200000524520874
ARE,cass,0
ARE,cnut,0
ARE,coco,0
ARE,maiz,22377.35484981537
ARE,ocer,66.39999961853027
ARE,ofib,0
ARE,oilp,0
ARE,ooil,0
ARE,opul,0
ARE,orts,0
ARE,othr,0
ARE,plnt,0
ARE,pota,2813.6009412631392
ARE,rape,0
ARE,rice,0
ARE,sorg,0
ARE,soyb,0
ARE,spis,0
ARE,sugb,0
ARE,sugc,55.69999933242798
ARE,sunf,0
ARE,swpo,0
ARE,teas,0
ARE,tnut,654.9161856770515
ARE,toba,314.57953894138336
ARE,vege,328353.22920417786
ARE,whea,11.299999713897705
ARE,xcof,0
ARE,xfru,389580.7860150933
ARE,xmil,0
ARE,xoil,0
ARE,xpul,0
ARE,yams,0
ARG,bana,175310.57655227184
ARG,barl,4101458.3674790263
ARG,cass,197485.65502294898
ARG,cnut,0
ARG,coco,0
ARG,maiz,58626636.47732335
ARG,ocer,839969.9545251876
ARG,ofib,4165.606227144599
ARG,oilp,0
ARG,ooil,229261.83348222822
ARG,opul,123547.52607679367
ARG,orts,2.099999964237213
ARG,othr,7864.334964843001
ARG,plnt,0
ARG,pota,2522971.6185501814
ARG,rape,40097.671607233584
ARG,rice,1278151.6335573047
ARG,sorg,2250149.167208679
ARG,soyb,50276826.66508415
ARG,spis,243943.07901239395
ARG,sugb,700.5999751091003
ARG,sugc,18527251.364616692
ARG,sunf,3494681.944998786
ARG,swpo,192977.18315443397
ARG,teas,77808.94976487756
ARG,tnut,317035.13278020173
ARG,toba,103982.42498669773
ARG,vege,3558330.4480546117
ARG,whea,18969432.93535912
ARG,xcof,0.10000000149011612
ARG,xfru,7039026.9957108945
ARG,xmil,6351.6498986035585
ARG,xoil,2283089.843247406
ARG,xpul,806482.8777336478
ARG,yams,28.699999809265137
ARM,bana,0
ARM,barl,68221.27234439552
ARM,cass,0
ARM,cnut,0
ARM,coco,0
ARM,maiz,5712.345305174589
ARM,ocer,12599.528615280986
ARM,ofib,0
ARM,oilp,0
ARM,ooil,5.01088011264801
ARM,opul,1049.4603148698807
ARM,orts,0
ARM,othr,0
ARM,plnt,0
ARM,pota,430858.8730959296
ARM,rape,0
ARM,rice,0
ARM,sorg,0
ARM,soyb,0
ARM,spis,0
ARM,sugb,57803.58374631405
ARM,sugc,0
ARM,sunf,0
ARM,swpo,0
ARM,teas,0
ARM,tnut,5276.335893034935
ARM,toba,747.1776638031006
ARM,vege,581410.3216123059
ARM,whea,118216.86386792362
ARM,xcof,0
ARM,xfru,588799.2152006328
ARM,xmil,1.399999976158142
ARM,xoil,45.5
ARM,xpul,3148.6125994734466
ARM,yams,0
