"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20220101","2022","52","2022","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H6","HS","true","150410","Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4.76","false","8","kg","4.76","false","4.76","false","0","false","140.58",,"140.58","0","false","true",
"C","A","20220101","2022","52","2022","31","AZE","Azerbaijan","M","Import","276","DEU","Germany","0","W00","World","H6","HS","true","150410","Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","8","kg","2","false","2","false","0","false","32.38",,"32.38","0","false","true",
"C","A","20220101","2022","52","2022","31","AZE","Azerbaijan","M","Import","826","GBR","United Kingdom","0","W00","World","H6","HS","true","150410","Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2.76","false","8","kg","2.76","false","2.76","false","0","false","108.2",,"108.2","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H6","HS","true","150410","Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","153398.871","false","8","kg","153398.871","false","153398.871","false","0","false","2087775.528","1974846.261","2087775.528","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","M","Import","156","CHN","China","0","W00","World","H6","HS","true","150410","Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","380","false","8","kg","380","false","380","false","430","false","8936.989","8776.862","8936.989","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","M","Import","251","FRA","France","0","W00","World","H6","HS","true","150410","Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","64800","false","8","kg","64800","false","64800","false","68976","false","516457.324","495010.795","516457.324","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","M","Import","352","ISL","Iceland","0","W00","World","H6","HS","true","150410","Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11590","false","8","kg","11590","false","11590","false","15829","false","84275.56","75932.586","84275.56","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","M","Import","528","NLD","Netherlands","0","W00","World","H6","HS","true","150410","Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","232.071","false","8","kg","232.071","false","232.071","false","57.7","false","9521.314","8925.107","9521.314","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","M","Import","554","NZL","New Zealand","0","W00","World","H6","HS","true","150410","Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","39971.27","false","8","kg","39971.27","false","39971.27","false","0","false","463357.16","444550.28","463357.16","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","M","Import","579","NOR","Norway","0","W00","World","H6","HS","true","150410","Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24508.29","false","8","kg","24508.29","false","24508.29","false","27641.8","false","634475.105","595250.52","634475.105","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","M","Import","724","ESP","Spain","0","W00","World","H6","HS","true","150410","Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","760","false","8","kg","760","false","760","false","845","false","15920.452","15419.628","15920.452","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","M","Import","784","ARE","United Arab Emirates","0","W00","World","H6","HS","true","150410","Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7200","false","8","kg","7200","false","7200","false","7920","false","115999.773","112224.761","115999.773","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","M","Import","826","GBR","United Kingdom","0","W00","World","H6","HS","true","150410","Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2194.5","false","8","kg","2194.5","false","2194.5","false","2645","false","110719.584","110031.29","110719.584","0","false","true",
"C","A","20220101","2022","52","2022","36","AUS","Australia","M","Import","842","USA","USA","0","W00","World","H6","HS","true","150410","Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1762.74","false","8","kg","1762.74","false","1762.74","false","1954.74","false","128112.265","108724.432","128112.265","0","false","true",
"C","A","20220101","2022","52","2022","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H6","HS","true","150410","Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12364.334","true","-1","N/A","0","false","12364.334","true","0","false","133919.353",,"133919.353","6","false","true",
"C","A","20220101","2022","52","2022","40","AUT","Austria","M","Import","56","BEL","Belgium","0","W00","World","H6","HS","true","150410","Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9155","false","8","kg","9155","false","9155","false","0","false","92720.932",,"92720.932","0","true","false",
"C","A","20220101","2022","52","2022","40","AUT","Austria","M","Import","203","CZE","Czechia","0","W00","World","H6","HS","true","150410","Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","8","kg","2","false","2","false","0","false","16.849",,"16.849","0","true","false",
"C","A","20220101","2022","52","2022","40","AUT","Austria","M","Import","276","DEU","Germany","0","W00","World","H6","HS","true","150410","Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3065","false","8","kg","3065","false","3065","false","0","false","38187.756",,"38187.756","0","true","false",
"C","A","20220101","2022","52","2022","40","AUT","Austria","M","Import","348","HUN","Hungary","0","W00","World","H6","HS","true","150410","Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","25","false","8","kg","25","false","25","false","0","false","389.628",,"389.628","0","true","false",
"C","A","20220101","2022","52","2022","40","AUT","Austria","M","Import","352","ISL","Iceland","0","W00","World","H6","HS","true","150410","Oils of fish; fish-liver oils and their fractions, whether or not refined, but not chemically modified","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","8","kg","2","false","2","false","0","false","631.829",,"631.829","0","true","false",
