"iso3c_consuming","iso3c_producing","SPAM_super","prop_of_supply","animal_system","diet","source_ingredient","consuming_ingredient_consumed_tonnes","raw_material","FAOSTAT_name","FAO_code","producing_ingredient_consumed_tonnes"
"AUS","AFG","ooil",1.51016631953366e-05,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,0.0183925650548731
"AUS","AFG","ooil",1.51016631953366e-05,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,0
"AUS","AFG","opul",1.95076484704758e-06,"salmon_aquaculture_meat","plant-dominant","faba beans",3372.691896,"faba beans","Broad beans and horse beans, dry",181,0.00657932879063905
"AUS","AFG","opul",1.95076484704758e-06,"salmon_aquaculture_meat","plant-dominant","guar meal",4028.493098,"guar","Other pulses n.e.c.",211,0.00785864272215219
"AUS","AFG","opul",1.95076484704758e-06,"salmon_aquaculture_meat","plant-dominant","pea flour",2342.14715,"peas","Peas, dry; Peas, green",187,0.00456897832683267
"AUS","AFG","opul",1.95076484704758e-06,"salmon_aquaculture_meat","plant-dominant","pea protein concentrate",1311.602404,"peas","Peas, dry; Peas, green",187,0.0025586278630263
"AUS","AFG","opul",1.95076484704758e-06,"salmon_aquaculture_meat","fish-dominant","faba beans",1873.71772,"faba beans","Broad beans and horse beans, dry",181,0.00365518266146614
"AUS","AFG","opul",1.95076484704758e-06,"salmon_aquaculture_meat","fish-dominant","guar meal",0,"guar","Other pulses n.e.c.",211,0
"AUS","AFG","opul",1.95076484704758e-06,"salmon_aquaculture_meat","fish-dominant","pea flour",0,"peas","Peas, dry; Peas, green",187,0
"AUS","AFG","opul",1.95076484704758e-06,"salmon_aquaculture_meat","fish-dominant","pea protein concentrate",0,"peas","Peas, dry; Peas, green",187,0
"AUS","ALB","ooil",7.17078024469925e-07,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,0.000873341170696729
"AUS","ALB","ooil",7.17078024469925e-07,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,0
"AUS","ARG","maiz",0.0041755723173248,"salmon_aquaculture_meat","plant-dominant","corn gluten meal",655.801202,"maize","Maize (corn)",56,2.73834534473953
"AUS","ARG","maiz",0.0041755723173248,"salmon_aquaculture_meat","fish-dominant","corn gluten meal",3747.43544,"maize","Maize (corn)",56,15.6476876842259
"AUS","ARG","ooil",0.0203843841723868,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,24.8264781928076
"AUS","ARG","ooil",0.0203843841723868,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,0
"AUS","ARG","soyb",0.581267473838634,"salmon_aquaculture_meat","plant-dominant","soy oil",374.743544,"soybean","Soya beans",236,217.826233158217
"AUS","ARG","soyb",0.581267473838634,"salmon_aquaculture_meat","plant-dominant","soy protein concentrate",19580.350174,"soybean","Soya beans",236,11381.4206825168
"AUS","ARG","soyb",0.581267473838634,"salmon_aquaculture_meat","fish-dominant","soy oil",0,"soybean","Soya beans",236,0
"AUS","ARG","soyb",0.581267473838634,"salmon_aquaculture_meat","fish-dominant","soy protein concentrate",0,"soybean","Soya beans",236,0
"AUS","ARG","soyb",0.581267473838634,"salmon_aquaculture_meat","fish-dominant","soybean meal",15926.60062,"soybean","Soya beans",236,9257.61490922422
"AUS","AUT","ooil",5.69144828021779e-05,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,0.0693170887181994
"AUS","AUT","ooil",5.69144828021779e-05,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,0
"AUS","AUT","soyb",8.50906084927089e-05,"salmon_aquaculture_meat","plant-dominant","soy oil",374.743544,"soybean","Soya beans",236,0.0318871561876742
"AUS","AUT","soyb",8.50906084927089e-05,"salmon_aquaculture_meat","plant-dominant","soy protein concentrate",19580.350174,"soybean","Soya beans",236,1.66610391080598
"AUS","AUT","soyb",8.50906084927089e-05,"salmon_aquaculture_meat","fish-dominant","soy oil",0,"soybean","Soya beans",236,0
"AUS","AUT","soyb",8.50906084927089e-05,"salmon_aquaculture_meat","fish-dominant","soy protein concentrate",0,"soybean","Soya beans",236,0
"AUS","AUT","soyb",8.50906084927089e-05,"salmon_aquaculture_meat","fish-dominant","soybean meal",15926.60062,"soybean","Soya beans",236,1.35520413797615
"AUS","AUT","whea",1.2164297844679e-06,"salmon_aquaculture_meat","plant-dominant","wheat",6089.58259,"wheat","Wheat",15,0.00740754963745319
"AUS","AUT","whea",1.2164297844679e-06,"salmon_aquaculture_meat","plant-dominant","wheat gluten",9181.216828,"wheat","Wheat",15,0.0111683056072371
"AUS","AUT","whea",1.2164297844679e-06,"salmon_aquaculture_meat","fish-dominant","wheat",6558.01202,"wheat","Wheat",15,0.00797736114802651
"AUS","AUT","whea",1.2164297844679e-06,"salmon_aquaculture_meat","fish-dominant","wheat gluten",12179.16518,"wheat","Wheat",15,0.0148150992749064
"AUS","BGD","ooil",2.35631838840817e-05,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,0.0286979908690945
"AUS","BGD","ooil",2.35631838840817e-05,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,0
"AUS","BGD","whea",0.000310164252752139,"salmon_aquaculture_meat","plant-dominant","wheat",6089.58259,"wheat","Wheat",15,1.88877083359978
"AUS","BGD","whea",0.000310164252752139,"salmon_aquaculture_meat","plant-dominant","wheat gluten",9181.216828,"wheat","Wheat",15,2.84768525681198
"AUS","BGD","whea",0.000310164252752139,"salmon_aquaculture_meat","fish-dominant","wheat",6558.01202,"wheat","Wheat",15,2.03406089772284
"AUS","BGD","whea",0.000310164252752139,"salmon_aquaculture_meat","fish-dominant","wheat gluten",12179.16518,"wheat","Wheat",15,3.77754166719957
"AUS","BTN","whea",2.78765158940561e-07,"salmon_aquaculture_meat","plant-dominant","wheat",6089.58259,"wheat","Wheat",15,0.00169756345858302
"AUS","BTN","whea",2.78765158940561e-07,"salmon_aquaculture_meat","plant-dominant","wheat gluten",9181.216828,"wheat","Wheat",15,0.00255940336832517
"AUS","BTN","whea",2.78765158940561e-07,"salmon_aquaculture_meat","fish-dominant","wheat",6558.01202,"wheat","Wheat",15,0.00182814526308941
"AUS","BTN","whea",2.78765158940561e-07,"salmon_aquaculture_meat","fish-dominant","wheat gluten",12179.16518,"wheat","Wheat",15,0.00339512691716605
"AUS","BOL","ooil",0.000162059633530203,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,0.197375104577461
"AUS","BOL","ooil",0.000162059633530203,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,0
"AUS","BOL","whea",2.95744491348759e-05,"salmon_aquaculture_meat","plant-dominant","wheat",6089.58259,"wheat","Wheat",15,0.180096050560581
"AUS","BOL","whea",2.95744491348759e-05,"salmon_aquaculture_meat","plant-dominant","wheat gluten",9181.216828,"wheat","Wheat",15,0.271529430075952
"AUS","BOL","whea",2.95744491348759e-05,"salmon_aquaculture_meat","fish-dominant","wheat",6558.01202,"wheat","Wheat",15,0.193949592911395
"AUS","BOL","whea",2.95744491348759e-05,"salmon_aquaculture_meat","fish-dominant","wheat gluten",12179.16518,"wheat","Wheat",15,0.360192101121161
"AUS","BRA","maiz",0.0166941588085979,"salmon_aquaculture_meat","plant-dominant","corn gluten meal",655.801202,"maize","Maize (corn)",56,10.9480494130574
"AUS","BRA","maiz",0.0166941588085979,"salmon_aquaculture_meat","fish-dominant","corn gluten meal",3747.43544,"maize","Maize (corn)",56,62.560282360328
"AUS","BRA","ooil",0.000975018160652001,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,1.18749072320805
"AUS","BRA","ooil",0.000975018160652001,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,0
"AUS","BRA","soyb",0.000520361798090027,"salmon_aquaculture_meat","plant-dominant","soy oil",374.743544,"soybean","Soya beans",236,0.195002224378469
"AUS","BRA","soyb",0.000520361798090027,"salmon_aquaculture_meat","plant-dominant","soy protein concentrate",19580.350174,"soybean","Soya beans",236,10.188866223775
"AUS","BRA","soyb",0.000520361798090027,"salmon_aquaculture_meat","fish-dominant","soy oil",0,"soybean","Soya beans",236,0
"AUS","BRA","soyb",0.000520361798090027,"salmon_aquaculture_meat","fish-dominant","soy protein concentrate",0,"soybean","Soya beans",236,0
"AUS","BRA","soyb",0.000520361798090027,"salmon_aquaculture_meat","fish-dominant","soybean meal",15926.60062,"soybean","Soya beans",236,8.28759453608494
"AUS","SLB","cnut",0.0130254544137203,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,1.22030123730199
