"iso3c","animal_system","source_ingredient","ingredient_demand","source","product","included_source","ext_rate","crop","crop_loss","tonnes_product"
"AUS","salmon_aquaculture_meat","coconut oil",93.685886,"salmon","oil of coconuts","mapspam",13,"coconut",79,446.123266666667
"AUS","salmon_aquaculture_meat","corn gluten",655.801202,"salmon","maize gluten","mapspam",10,"maize",16,780.715716666667
"AUS","salmon_aquaculture_meat","faba beans",3372.691896,"salmon","faba bean","mapspam",100,"faba bean",0,3372.691896
"AUS","salmon_aquaculture_meat","guar protein",4028.493098,"salmon","guar protein","mapspam",25,"pea",12,4577.83306590909
"AUS","salmon_aquaculture_meat","linseed oil",1217.916518,"salmon","oil of linseed","mapspam",35,"linseed",2,1242.77195714286
"AUS","salmon_aquaculture_meat","pea flour",2342.14715,"salmon","pea other","mapspam",63,"pea",12,2661.53085227273
"AUS","salmon_aquaculture_meat","pea protein",1311.602404,"salmon","pea protein","mapspam",25,"pea",12,1490.45727727273
"AUS","salmon_aquaculture_meat","rapeseed and camelina oil",17238.203024,"salmon","oil of rapeseed","mapspam",38,"rapeseed",2,17590.0030857143
"AUS","salmon_aquaculture_meat","soy protein concentrate",19580.350174,"salmon","soy protein concentrate","mapspam",33,"soybean",12,22250.397925
"AUS","salmon_aquaculture_meat","soybean oil",374.743544,"salmon","oil of soya bean","mapspam",18,"soybean",3,386.333550515464
"AUS","salmon_aquaculture_meat","sunflower",3185.320124,"salmon","cake of sunflower seed","mapspam",47,"sunflower seed",12,3619.68195909091
"AUS","salmon_aquaculture_meat","wheat",6089.58259,"salmon","wheat","mapspam",100,"wheat",0,6089.58259
"AUS","salmon_aquaculture_meat","wheat gluten",9181.216828,"salmon","wheat gluten","mapspam",15,"wheat",1,9273.95639191919
"CAN","salmon_aquaculture_meat","coconut oil",37.2047,"salmon","oil of coconuts","mapspam",13,"coconut",79,177.165238095238
"CAN","salmon_aquaculture_meat","corn gluten",260.4329,"salmon","maize gluten","mapspam",10,"maize",16,310.039166666667
"CAN","salmon_aquaculture_meat","faba beans",1339.3692,"salmon","faba bean","mapspam",100,"faba bean",0,1339.3692
"CAN","salmon_aquaculture_meat","guar protein",1599.8021,"salmon","guar protein","mapspam",25,"pea",12,1817.95693181818
"CAN","salmon_aquaculture_meat","linseed oil",483.6611,"salmon","oil of linseed","mapspam",35,"linseed",2,493.531734693878
"CAN","salmon_aquaculture_meat","pea flour",930.1175,"salmon","pea other","mapspam",63,"pea",12,1056.95170454545
"CAN","salmon_aquaculture_meat","pea protein",520.8658,"salmon","pea protein","mapspam",25,"pea",12,591.892954545455
"CAN","salmon_aquaculture_meat","rapeseed and camelina oil",6845.6648,"salmon","oil of rapeseed","mapspam",38,"rapeseed",2,6985.37224489796
"CAN","salmon_aquaculture_meat","soy protein concentrate",7775.7823,"salmon","soy protein concentrate","mapspam",33,"soybean",12,8836.11625
"CAN","salmon_aquaculture_meat","soybean oil",148.8188,"salmon","oil of soya bean","mapspam",18,"soybean",3,153.421443298969
"CAN","salmon_aquaculture_meat","sunflower",1264.9598,"salmon","cake of sunflower seed","mapspam",47,"sunflower seed",12,1437.45431818182
"CAN","salmon_aquaculture_meat","wheat",2418.3055,"salmon","wheat","mapspam",100,"wheat",0,2418.3055
"CAN","salmon_aquaculture_meat","wheat gluten",3646.0606,"salmon","wheat gluten","mapspam",15,"wheat",1,3682.8894949495
"CAN","salmon_aquaculture_meat","coconut oil",119.3504,"salmon","oil of coconuts","mapspam",13,"coconut",79,568.335238095238
"CAN","salmon_aquaculture_meat","corn gluten",835.4528,"salmon","maize gluten","mapspam",10,"maize",16,994.586666666667
"CAN","salmon_aquaculture_meat","faba beans",4296.6144,"salmon","faba bean","mapspam",100,"faba bean",0,4296.6144
"CAN","salmon_aquaculture_meat","guar protein",5132.0672,"salmon","guar protein","mapspam",25,"pea",12,5831.89454545455
"CAN","salmon_aquaculture_meat","linseed oil",1551.5552,"salmon","oil of linseed","mapspam",35,"linseed",2,1583.21959183673
"CAN","salmon_aquaculture_meat","pea flour",2983.76,"salmon","pea other","mapspam",63,"pea",12,3390.63636363636
"CAN","salmon_aquaculture_meat","pea protein",1670.9056,"salmon","pea protein","mapspam",25,"pea",12,1898.75636363636
"CAN","salmon_aquaculture_meat","rapeseed and camelina oil",21960.4736,"salmon","oil of rapeseed","mapspam",38,"rapeseed",2,22408.6465306122
"CAN","salmon_aquaculture_meat","soy protein concentrate",24944.2336,"salmon","soy protein concentrate","mapspam",33,"soybean",12,28345.72
"CAN","salmon_aquaculture_meat","soybean oil",477.4016,"salmon","oil of soya bean","mapspam",18,"soybean",3,492.166597938144
"CAN","salmon_aquaculture_meat","sunflower",4057.9136,"salmon","cake of sunflower seed","mapspam",47,"sunflower seed",12,4611.26545454546
"CAN","salmon_aquaculture_meat","wheat",7757.776,"salmon","wheat","mapspam",100,"wheat",0,7757.776
"CAN","salmon_aquaculture_meat","wheat gluten",11696.3392,"salmon","wheat gluten","mapspam",15,"wheat",1,11814.484040404
"CHL","salmon_aquaculture_meat","coconut oil",0.3164,"salmon","oil of coconuts","mapspam",13,"coconut",79,1.50666666666667
"CHL","salmon_aquaculture_meat","corn gluten",2.2148,"salmon","maize gluten","mapspam",10,"maize",16,2.63666666666667
"CHL","salmon_aquaculture_meat","faba beans",11.3904,"salmon","faba bean","mapspam",100,"faba bean",0,11.3904
"CHL","salmon_aquaculture_meat","guar protein",13.6052,"salmon","guar protein","mapspam",25,"pea",12,15.4604545454545
"CHL","salmon_aquaculture_meat","linseed oil",4.1132,"salmon","oil of linseed","mapspam",35,"linseed",2,4.19714285714286
"CHL","salmon_aquaculture_meat","pea flour",7.91,"salmon","pea other","mapspam",63,"pea",12,8.98863636363636
"CHL","salmon_aquaculture_meat","pea protein",4.4296,"salmon","pea protein","mapspam",25,"pea",12,5.03363636363636
"CHL","salmon_aquaculture_meat","rapeseed and camelina oil",58.2176,"salmon","oil of rapeseed","mapspam",38,"rapeseed",2,59.4057142857143
"CHL","salmon_aquaculture_meat","soy protein concentrate",66.1276,"salmon","soy protein concentrate","mapspam",33,"soybean",12,75.145
"CHL","salmon_aquaculture_meat","soybean oil",1.2656,"salmon","oil of soya bean","mapspam",18,"soybean",3,1.30474226804124
"CHL","salmon_aquaculture_meat","sunflower",10.7576,"salmon","cake of sunflower seed","mapspam",47,"sunflower seed",12,12.2245454545455
"CHL","salmon_aquaculture_meat","wheat",20.566,"salmon","wheat","mapspam",100,"wheat",0,20.566
"CHL","salmon_aquaculture_meat","wheat gluten",31.0072,"salmon","wheat gluten","mapspam",15,"wheat",1,31.320404040404
"CHL","salmon_aquaculture_meat","coconut oil",1101.667,"salmon","oil of coconuts","mapspam",13,"coconut",79,5246.03333333333
"CHL","salmon_aquaculture_meat","corn gluten",7711.669,"salmon","maize gluten","mapspam",10,"maize",16,9180.55833333333
"CHL","salmon_aquaculture_meat","faba beans",39660.012,"salmon","faba bean","mapspam",100,"faba bean",0,39660.012
"CHL","salmon_aquaculture_meat","guar protein",47371.681,"salmon","guar protein","mapspam",25,"pea",12,53831.4556818182
