"iso3c_producing","diet","fcr_type","source_ingredient","FAOSTAT_name","FAO_code","total_crop_demand_ms","total_crop_demand_ge","total_crop_demand_econ"
"AFG","fish-dominant","efficient","corn gluten meal","Maize (corn)",56,0.0000451253355941272,0.0000568139418418068,0.0000238796959662287
"AFG","fish-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,0.461515918787753,0.461515918787753,0.461515918787753
"AFG","fish-dominant","efficient","soybean meal","Soya beans",236,0.00251589653721794,0.00190186983729783,0.00212360551963051
"AFG","fish-dominant","efficient","wheat","Wheat",15,0.0206691785272327,0.0206691785272327,0.0206691785272327
"AFG","fish-dominant","efficient","wheat gluten","Wheat",15,0.0383856172648608,0.0427696437119258,0.0980580571569224
"AFG","fish-dominant","regular","corn gluten meal","Maize (corn)",56,0.0000586629362723654,0.0000738581243943489,0.0000310436047560973
"AFG","fish-dominant","regular","faba beans","Broad beans and horse beans, dry",181,0.553395221461961,0.553395221461961,0.553395221461961
"AFG","fish-dominant","regular","soybean meal","Soya beans",236,0.00327066549838332,0.00247243078848718,0.00276068717551966
"AFG","fish-dominant","regular","wheat","Wheat",15,0.0268699320854026,0.0268699320854026,0.0268699320854026
"AFG","fish-dominant","regular","wheat gluten","Wheat",15,0.049901302444319,0.0556005368255036,0.127475474303999
"AFG","plant-dominant","efficient","canola oil","Rape or colza seed",270,0.00000859322723350761,0.000013542481054553,0.0000144004558029009
"AFG","plant-dominant","efficient","coconut oil","Coconuts, in shell",249,0.0375657635990211,0.0763942832303421,0.135380097549334
"AFG","plant-dominant","efficient","corn gluten meal","Maize (corn)",56,0.00000789693372897227,0.0000099424398223162,0.00000417894679409003
"AFG","plant-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,0.830728653817955,0.830728653817955,0.830728653817955
"AFG","plant-dominant","efficient","guar meal","Other pulses n.e.c.",211,0.992259225393668,1.05724085865749,0.444805859659231
"AFG","plant-dominant","efficient","linseed oil","Linseed",333,0.50019383410333,0.806985865549121,0.732729466422553
"AFG","plant-dominant","efficient","pea flour","Peas, dry; Peas, green",187,0.678699880570225,0.678699880570225,0.678699880570225
"AFG","plant-dominant","efficient","pea protein concentrate","Peas, dry; Peas, green",187,0.389230292953526,0.483011507030282,0.833719622965343
"AFG","plant-dominant","efficient","soy oil","Soya beans",236,0.0000601831650085554,0.000101999931161467,0.0000995244565736932
"AFG","plant-dominant","efficient","soy protein concentrate","Soya beans",236,0.00380595985793556,0.00328152218689953,0.00334112666294532
"AFG","plant-dominant","efficient","sunflower meal","Sunflower seed",267,0.0233029028603651,0.0124909741590983,0.00966572306886282
"AFG","plant-dominant","efficient","wheat","Wheat",15,0.0191928086324304,0.0191928086324304,0.0191928086324304
"AFG","plant-dominant","efficient","wheat gluten","Wheat",15,0.0289368499381258,0.0322417314136056,0.0739206892413723
"AFG","plant-dominant","regular","canola oil","Rape or colza seed",270,0.0000111711954035599,0.000017605225370919,0.0000187205925437712
"AFG","plant-dominant","regular","coconut oil","Coconuts, in shell",249,0.0424444363957966,0.0863156231877374,0.152961936326491
"AFG","plant-dominant","regular","corn gluten meal","Maize (corn)",56,0.0000102660138476639,0.0000129251717690111,0.00000543263083231703
"AFG","plant-dominant","regular","faba beans","Broad beans and horse beans, dry",181,0.99611139863153,0.99611139863153,0.99611139863153
"AFG","plant-dominant","regular","guar meal","Other pulses n.e.c.",211,1.18979972614322,1.26771800342702,0.53335849792627
"AFG","plant-dominant","regular","linseed oil","Linseed",333,0.565154101585244,0.911789271960895,0.827889180288311
"AFG","plant-dominant","regular","pea flour","Peas, dry; Peas, green",187,0.813816502149943,0.813816502149943,0.813816502149943
"AFG","plant-dominant","regular","pea protein concentrate","Peas, dry; Peas, green",187,0.466718861473943,0.57917018464671,0.999697814541197
"AFG","plant-dominant","regular","soy oil","Soya beans",236,0.000078238114511122,0.000132599910509907,0.000129381793545801
"AFG","plant-dominant","regular","soy protein concentrate","Soya beans",236,0.00494774781531623,0.00426597884296939,0.00434346466182891
"AFG","plant-dominant","regular","sunflower meal","Sunflower seed",267,0.0289611267441544,0.015523932273472,0.0120126763840807
"AFG","plant-dominant","regular","wheat","Wheat",15,0.0249506512221595,0.0249506512221595,0.0249506512221595
"AFG","plant-dominant","regular","wheat gluten","Wheat",15,0.0376179049195636,0.0419142508376873,0.0960968960137839
"AGO","fish-dominant","efficient","corn gluten meal","Maize (corn)",56,0.000613780111761419,0.000772764725495121,0.000324803843916189
"AGO","fish-dominant","efficient","wheat","Wheat",15,0.00000326618825186133,0.00000326618825186133,0.00000326618825186133
"AGO","fish-dominant","efficient","wheat gluten","Wheat",15,0.00000606577818202818,0.00000675855151399137,0.0000154953460711709
"AGO","fish-dominant","regular","corn gluten meal","Maize (corn)",56,0.000797914145289844,0.00100459414314366,0.000422244997091046
"AGO","fish-dominant","regular","wheat","Wheat",15,0.00000424604472741972,0.00000424604472741972,0.00000424604472741972
"AGO","fish-dominant","regular","wheat gluten","Wheat",15,0.00000788551163663663,0.00000878611696818878,0.0000201439498925222
"AGO","plant-dominant","efficient","coconut oil","Coconuts, in shell",249,0.000000542564351260321,0.00000110336675605199,0.000001955302056001
"AGO","plant-dominant","efficient","corn gluten meal","Maize (corn)",56,0.000107411519558248,0.000135233826961646,0.0000568406726853331
"AGO","plant-dominant","efficient","linseed oil","Linseed",333,0.00000722432654375107,0.000011655340412921,0.0000105828512323714
"AGO","plant-dominant","efficient","sunflower meal","Sunflower seed",267,1.00788973923766,0.540255639543127,0.418058778418945
"AGO","plant-dominant","efficient","wheat","Wheat",15,0.00000303288909101409,0.00000303288909101409,0.00000303288909101409
"AGO","plant-dominant","efficient","wheat gluten","Wheat",15,0.00000457266355260586,0.00000509490806439349,0.0000116811070382673
"AGO","plant-dominant","regular","coconut oil","Coconuts, in shell",249,0.000000705333656638418,0.00000143437678286758,0.0000025418926728013
"AGO","plant-dominant","regular","corn gluten meal","Maize (corn)",56,0.000139634975425723,0.00017580397505014,0.0000738928744909331
"AGO","plant-dominant","regular","linseed oil","Linseed",333,0.00000939162450687639,0.0000151519425367973,0.0000137577066020828
"AGO","plant-dominant","regular","sunflower meal","Sunflower seed",267,1.31025666100895,0.702332331406066,0.543476411944628
"AGO","plant-dominant","regular","wheat","Wheat",15,0.00000394275581831832,0.00000394275581831832,0.00000394275581831832
"AGO","plant-dominant","regular","wheat gluten","Wheat",15,0.00000594446261838761,0.00000662338048371154,0.0000151854391497475
"ALA","fish-dominant","efficient","wheat","Wheat",15,0.0000269827014536961,0.0000269827014536961,0.0000269827014536961
"ALA","fish-dominant","efficient","wheat gluten","Wheat",15,0.0000501107312711499,0.0000558338845464679,0.000128010471142268
"ALA","fish-dominant","regular","wheat","Wheat",15,0.0000350775118898049,0.0000350775118898049,0.0000350775118898049
"ALA","fish-dominant","regular","wheat gluten","Wheat",15,0.0000651439506524949,0.0000725840499104082,0.000166413612484948
"ALA","plant-dominant","efficient","canola oil","Rape or colza seed",270,0.0000305913347763667,0.0000482103592032364,0.0000512646939767934
"ALA","plant-dominant","efficient","coconut oil","Coconuts, in shell",249,0.0000000000636784810388066,0.000000000129497485212395,0.000000000229485524821109
"ALA","plant-dominant","efficient","linseed oil","Linseed",333,0.000000000847888623286412,0.00000000136793796304712,0.00000000124206444815564
"ALA","plant-dominant","efficient","wheat","Wheat",15,0.000025055365635575,0.000025055365635575,0.000025055365635575
"ALA","plant-dominant","efficient","wheat gluten","Wheat",15,0.0000377757820351746,0.000042090159119645,0.0000965002013226326
"ALA","plant-dominant","regular","canola oil","Rape or colza seed",270,0.0000397687352092767,0.0000626734669642073,0.0000666441021698314
"ALA","plant-dominant","regular","coconut oil","Coconuts, in shell",249,0.0000000000827820253504485,0.000000000168346730776113,0.000000000298331182267441
"ALA","plant-dominant","regular","linseed oil","Linseed",333,0.00000000110225521027234,0.00000000177831935196126,0.00000000161468378260233
"ALA","plant-dominant","regular","wheat","Wheat",15,0.0000325719753262474,0.0000325719753262474,0.0000325719753262474
"ALA","plant-dominant","regular","wheat gluten","Wheat",15,0.0000491085166457269,0.0000547172068555385,0.000125450261719422
"ALB","fish-dominant","efficient","corn gluten meal","Maize (corn)",56,0.0000863018509879361,0.000108656218913683,0.0000456697315550357
"ALB","fish-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,0.00435635660517258,0.00435635660517258,0.00435635660517258
