"iso3c_producing","diet","fcr_type","source_ingredient","FAOSTAT_name","FAO_code","total_crop_demand_ms","total_crop_demand_ge","total_crop_demand_econ"
"AFG","fish-dominant","efficient","corn gluten meal","Maize (corn)",56,0.0000521335764894601,0.0000656374948502997,0.0000275883589520042
"AFG","fish-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,0.117666161657297,0.117666161657297,0.117666161657297
"AFG","fish-dominant","efficient","soybean meal","Soya beans",236,0.00294401504320304,0.00222550225273191,0.002484969673091
"AFG","fish-dominant","efficient","wheat","Wheat",15,0.024545702875288,0.024545702875288,0.024545702875288
"AFG","fish-dominant","efficient","wheat gluten","Wheat",15,0.0455848767683919,0.0507911315997236,0.116448940258104
"AFG","fish-dominant","regular","corn gluten meal","Maize (corn)",56,0.0000579261960994001,0.0000729305498336663,0.0000306537321688936
"AFG","fish-dominant","regular","faba beans","Broad beans and horse beans, dry",181,0.130740179619219,0.130740179619219,0.130740179619219
"AFG","fish-dominant","regular","soybean meal","Soya beans",236,0.00327112782578115,0.00247278028081323,0.00276107741454555
"AFG","fish-dominant","regular","wheat","Wheat",15,0.0272730031947644,0.0272730031947644,0.0272730031947644
"AFG","fish-dominant","regular","wheat gluten","Wheat",15,0.050649863075991,0.0564345906663595,0.129387711397894
"AFG","plant-dominant","efficient","canola oil","Rape or colza seed",270,0.0000100540758632039,0.0000158447028338271,0.0000168485332893941
"AFG","plant-dominant","efficient","coconut oil","Coconuts, in shell",249,0.000281913466205121,0.000573303325166075,0.00101596424240701
"AFG","plant-dominant","efficient","corn gluten meal","Maize (corn)",56,0.00000912337588565551,0.0000114865615988024,0.00000482796281660074
"AFG","plant-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,0.211799090983134,0.211799090983134,0.211799090983134
"AFG","plant-dominant","efficient","guar meal","Other pulses n.e.c.",211,0.252982247563188,0.269549692050174,0.113405835114533
"AFG","plant-dominant","efficient","linseed oil","Linseed",333,0.00375372051668274,0.00605605106191481,0.00549879155591539
"AFG","plant-dominant","efficient","pea flour","Peas, dry; Peas, green",187,0.173038473025436,0.173038473025436,0.173038473025436
"AFG","plant-dominant","efficient","pea protein concentrate","Peas, dry; Peas, green",187,0.0992365218796479,0.123146586617952,0.212561655923761
"AFG","plant-dominant","efficient","soy oil","Soya beans",236,0.0000704242565271315,0.000119356788843587,0.000116460074166468
"AFG","plant-dominant","efficient","soy protein concentrate","Soya beans",236,0.00445360248715927,0.00383992367727476,0.00390967077200827
