"iso3c_consuming","iso3c_producing","GAEZ_category","prop_of_supply","animal_system","diet","source_ingredient","consuming_ingredient_consumed_tonnes","raw_material","FAOSTAT_name","FAO_code","map_spam_code","producing_ingredient_consumed_tonnes"
"AUS","AFG","CropsNES",0.0000512231016536713,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,"cnut",0.00479888166209226
"AUS","AFG","CropsNES",0.0000512231016536713,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,"ooil",0.0623854616071994
"AUS","AFG","CropsNES",0.0000512231016536713,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,"cnut",0
"AUS","AFG","CropsNES",0.0000512231016536713,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,"ooil",0
"AUS","AFG","Pulses",0.00000255491627757676,"salmon_aquaculture_meat","plant-dominant","faba beans",3372.691896,"faba beans","Broad beans and horse beans, dry",181,"opul",0.00861694542434162
"AUS","AFG","Pulses",0.00000255491627757676,"salmon_aquaculture_meat","plant-dominant","guar meal",4028.493098,"guar","Other pulses n.e.c.",211,"opul",0.0102924625901858
"AUS","AFG","Pulses",0.00000255491627757676,"salmon_aquaculture_meat","plant-dominant","pea flour",2342.14715,"peas","Peas, dry; Peas, green",187,"opul",0.00598398987801501
"AUS","AFG","Pulses",0.00000255491627757676,"salmon_aquaculture_meat","plant-dominant","pea protein concentrate",1311.602404,"peas","Peas, dry; Peas, green",187,"opul",0.00335103433168841
"AUS","AFG","Pulses",0.00000255491627757676,"salmon_aquaculture_meat","fish-dominant","faba beans",1873.71772,"faba beans","Broad beans and horse beans, dry",181,"opul",0.00478719190241201
"AUS","AFG","Pulses",0.00000255491627757676,"salmon_aquaculture_meat","fish-dominant","guar meal",0,"guar","Other pulses n.e.c.",211,"opul",0
"AUS","AFG","Pulses",0.00000255491627757676,"salmon_aquaculture_meat","fish-dominant","pea flour",0,"peas","Peas, dry; Peas, green",187,"opul",0
"AUS","AFG","Pulses",0.00000255491627757676,"salmon_aquaculture_meat","fish-dominant","pea protein concentrate",0,"peas","Peas, dry; Peas, green",187,"opul",0
"AUS","DZA","CropsNES",0.0000443145585317105,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,"cnut",0.00415164867874215
"AUS","DZA","CropsNES",0.0000443145585317105,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,"ooil",0.053971432823648
"AUS","DZA","CropsNES",0.0000443145585317105,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,"cnut",0
"AUS","DZA","CropsNES",0.0000443145585317105,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,"ooil",0
"AUS","ARG","CropsNES",0.0000166470918601467,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,"cnut",0.00155959755024123
"AUS","ARG","CropsNES",0.0000166470918601467,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,"ooil",0.020274768153136
"AUS","ARG","CropsNES",0.0000166470918601467,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,"cnut",0
"AUS","ARG","CropsNES",0.0000166470918601467,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,"ooil",0
"AUS","ARG","Maize",0.0300431349476158,"salmon_aquaculture_meat","plant-dominant","corn gluten meal",655.801202,"maize","Maize (corn)",56,"maiz",19.7023240104946
"AUS","ARG","Maize",0.0300431349476158,"salmon_aquaculture_meat","fish-dominant","corn gluten meal",3747.43544,"maize","Maize (corn)",56,"maiz",112.584708631398
"AUS","ARG","Pulses",0.0000130879201766432,"salmon_aquaculture_meat","plant-dominant","faba beans",3372.691896,"faba beans","Broad beans and horse beans, dry",181,"opul",0.0441415223152594
"AUS","ARG","Pulses",0.0000130879201766432,"salmon_aquaculture_meat","plant-dominant","guar meal",4028.493098,"guar","Other pulses n.e.c.",211,"opul",0.0527245960987821
"AUS","ARG","Pulses",0.0000130879201766432,"salmon_aquaculture_meat","plant-dominant","pea flour",2342.14715,"peas","Peas, dry; Peas, green",187,"opul",0.0306538349411524
"AUS","ARG","Pulses",0.0000130879201766432,"salmon_aquaculture_meat","plant-dominant","pea protein concentrate",1311.602404,"peas","Peas, dry; Peas, green",187,"opul",0.0171661475670453
"AUS","ARG","Pulses",0.0000130879201766432,"salmon_aquaculture_meat","fish-dominant","faba beans",1873.71772,"faba beans","Broad beans and horse beans, dry",181,"opul",0.0245230679529219
"AUS","ARG","Pulses",0.0000130879201766432,"salmon_aquaculture_meat","fish-dominant","guar meal",0,"guar","Other pulses n.e.c.",211,"opul",0
"AUS","ARG","Pulses",0.0000130879201766432,"salmon_aquaculture_meat","fish-dominant","pea flour",0,"peas","Peas, dry; Peas, green",187,"opul",0
"AUS","ARG","Pulses",0.0000130879201766432,"salmon_aquaculture_meat","fish-dominant","pea protein concentrate",0,"peas","Peas, dry; Peas, green",187,"opul",0
"AUS","AUT","CropsNES",0.0000080238982765907,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,"cnut",0.000751726019216273
"AUS","AUT","CropsNES",0.0000080238982765907,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,"ooil",0.00977243824981154
"AUS","AUT","CropsNES",0.0000080238982765907,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,"cnut",0
"AUS","AUT","CropsNES",0.0000080238982765907,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,"ooil",0
"AUS","AUT","Soybean",0.0419349427749319,"salmon_aquaculture_meat","plant-dominant","soy oil",374.743544,"soybean","Soya beans",236,"soyb",15.7148490729152
