iso3c,diet,animal_system,SPAM_super,product,tonnes_product
ARE,fish-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,0
ARE,fish-dominant,salmon_aquaculture_meat,maiz,maize gluten,18.571428571428573
ARE,fish-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,0
ARE,fish-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,0
ARE,fish-dominant,salmon_aquaculture_meat,soyb,soybean meal,75.34090909090911
ARE,fish-dominant,salmon_aquaculture_meat,whea,wheat,27.300000000000004
ARE,fish-dominant,salmon_aquaculture_meat,whea,wheat gluten,51.21212121212121
ARE,fish-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,0
ARE,fish-dominant,salmon_aquaculture_meat,xoil,oil of linseed,0
ARE,fish-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,0
ARE,fish-dominant,salmon_aquaculture_meat,xpul,faba bean,7.8
ARE,fish-dominant,salmon_aquaculture_meat,xpul,guar protein,0
ARE,fish-dominant,salmon_aquaculture_meat,xpul,pea other,0
ARE,fish-dominant,salmon_aquaculture_meat,xpul,pea protein,0
ARE,plant-dominant,salmon_aquaculture_meat,cnut,oil of coconuts,1.8571428571428572
ARE,plant-dominant,salmon_aquaculture_meat,maiz,maize gluten,3.25
ARE,plant-dominant,salmon_aquaculture_meat,soyb,oil of soya bean,1.6082474226804124
ARE,plant-dominant,salmon_aquaculture_meat,soyb,soy protein concentrate,92.62499999999999
ARE,plant-dominant,salmon_aquaculture_meat,whea,wheat,25.35
ARE,plant-dominant,salmon_aquaculture_meat,whea,wheat gluten,38.60606060606061
ARE,plant-dominant,salmon_aquaculture_meat,xoil,cake of sunflower seed,15.06818181818182
ARE,plant-dominant,salmon_aquaculture_meat,xoil,oil of linseed,5.173469387755102
ARE,plant-dominant,salmon_aquaculture_meat,xoil,oil of rapeseed,73.22448979591837
ARE,plant-dominant,salmon_aquaculture_meat,xpul,faba bean,14.04
ARE,plant-dominant,salmon_aquaculture_meat,xpul,guar protein,19.056818181818183
ARE,plant-dominant,salmon_aquaculture_meat,xpul,pea other,11.079545454545455
