iso3c,animal,system,product,ingredient,ingredient_demand,ingredient_demand_efficient,diet
AUS,salmon,aquaculture,meat,canola oil,17238.203024,12313.00216,plant-dominant
AUS,salmon,aquaculture,meat,coconut oil,93.685886,66.91849,plant-dominant
AUS,salmon,aquaculture,meat,corn gluten meal,655.801202,468.42943,plant-dominant
AUS,salmon,aquaculture,meat,faba beans,3372.691896,2409.06564,plant-dominant
AUS,salmon,aquaculture,meat,"fish meal, cut offs",3091.634238,2208.31017,plant-dominant
AUS,salmon,aquaculture,meat,"fish meal, forage fish",8244.357968,5888.82712,plant-dominant
AUS,salmon,aquaculture,meat,"fish oil, cut offs",1873.71772,1338.3698000000002,plant-dominant
AUS,salmon,aquaculture,meat,"fish oil, forage fish",7775.928538,5554.234670000001,plant-dominant
AUS,salmon,aquaculture,meat,guar meal,4028.4930979999995,2877.49507,plant-dominant
AUS,salmon,aquaculture,meat,linseed oil,1217.916518,869.94037,plant-dominant
AUS,salmon,aquaculture,meat,micro ingredients,3841.121326,2743.6580900000004,plant-dominant
AUS,salmon,aquaculture,meat,other,374.743544,267.67396,plant-dominant
AUS,salmon,aquaculture,meat,pea flour,2342.1471500000002,1672.9622500000003,plant-dominant
AUS,salmon,aquaculture,meat,pea protein concentrate,1311.602404,936.85886,plant-dominant
AUS,salmon,aquaculture,meat,soy oil,374.743544,267.67396,plant-dominant
AUS,salmon,aquaculture,meat,soy protein concentrate,19580.350174,13985.96441,plant-dominant
AUS,salmon,aquaculture,meat,sunflower meal,3185.3201240000003,2275.22866,plant-dominant
AUS,salmon,aquaculture,meat,wheat,6089.58259,4349.70185,plant-dominant
AUS,salmon,aquaculture,meat,wheat gluten,9181.216828,6558.012020000001,plant-dominant
AUS,salmon,aquaculture,meat,canola oil,0,0,fish-dominant
AUS,salmon,aquaculture,meat,coconut oil,0,0,fish-dominant
AUS,salmon,aquaculture,meat,corn gluten meal,3747.43544,2676.7396000000003,fish-dominant
AUS,salmon,aquaculture,meat,faba beans,1873.71772,1338.3698000000002,fish-dominant
AUS,salmon,aquaculture,meat,"fish meal, cut offs",7591.066209374999,5422.190149553571,fish-dominant
