source,source_feedname,product,included_source,notes
salmon,soy protein concentrate,soy protein concentrate,mapspam,
salmon,wheat gluten,wheat gluten,mapspam,
salmon,guar protein,guar protein,mapspam,Just assuming the guar protein is the same as pea protein here
salmon,sunflower ,cake of sunflower seed,mapspam,
salmon,pea protein,pea protein,mapspam,
salmon,corn gluten,maize gluten,mapspam,
salmon,rapeseed and camelina oil,oil of rapeseed,mapspam,
salmon,linseed oil,oil of linseed,mapspam,
salmon,soybean oil,oil of soya bean,mapspam,
salmon,canola oil,oil of rapeseed,mapspam,
salmon,coconut oil,oil of coconuts,mapspam,
salmon,wheat,wheat,mapspam,
salmon,faba beans,faba bean,mapspam,
salmon,pea flour,pea other,mapspam,
salmon,"fish meal, forage fish",fishmeal oil,fofm,
salmon,"fish meal, cut offs",NA,byproduct_other,
salmon,"fish oil, forage fish",fishmeal oil,fofm,
salmon,"fish oil, cut offs",NA,byproduct_other,
salmon,micro ingredients,NA,byproduct_other,
salmon,other,NA,byproduct_other,
