"TaxonName","DietTroph","SpecCode","Genus","Subfamily","Family","Order","Class","SuperClass"
"Acanthurus sohal",2,4740,"Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"Alepes djedaba",3.3199999332428,1889,"Alepes","Caranginae","Carangidae","Carangiformes","Teleostei","Osteichthyes"
"Alosa pseudoharengus",3.39,1583,"Alosa",NA,"Alosidae","Clupeiformes","Teleostei","Osteichthyes"
"Anodontostoma chacunda",2.83999991416931,1619,"Anodontostoma",NA,"Dorosomatidae","Clupeiformes","Teleostei","Osteichthyes"
"Arctoscopus japonicus",3.51,463,"Arctoscopus",NA,"Trichodontidae","Perciformes/Uranoscopoidei","Teleostei","Osteichthyes"
"Argentina sphyraena",3.49,20,"Argentina",NA,"Argentinidae","Argentiniformes","Teleostei","Osteichthyes"
"Ariomma indica",3.63,1300,"Ariomma",NA,"Ariommatidae","Scombriformes","Teleostei","Osteichthyes"
"Atule mate",4.22,1893,"Atule","Caranginae","Carangidae","Carangiformes","Teleostei","Osteichthyes"
"Benthosema pterotum",3.14,10238,"Benthosema","Myctophinae","Myctophidae","Myctophiformes","Teleostei","Osteichthyes"
"Boops boops",2.79,203,"Boops",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes"
"Boreogadus saida",3.12,319,"Boreogadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes"
"Bothus pantherinus",3.5,1321,"Bothus",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes"
"Brachydeuterus auritus",3.03,400,"Brachydeuterus","Haemulinae","Haemulidae","Eupercaria/misc","Teleostei","Osteichthyes"
"Bregmaceros mcclellandi",3.3,8421,"Bregmaceros",NA,"Bregmacerotidae","Gadiformes","Teleostei","Osteichthyes"
"Brevoortia aurea",2.75,1587,"Brevoortia",NA,"Alosidae","Clupeiformes","Teleostei","Osteichthyes"
"Brevoortia patronus",2.19,1589,"Brevoortia",NA,"Alosidae","Clupeiformes","Teleostei","Osteichthyes"
"Brevoortia pectinata",3.4,1590,"Brevoortia",NA,"Alosidae","Clupeiformes","Teleostei","Osteichthyes"
"Brevoortia tyrannus",3.23,1592,"Brevoortia",NA,"Alosidae","Clupeiformes","Teleostei","Osteichthyes"
"Capros aper",3.14,54,"Capros",NA,"Caproidae","Acanthuriformes","Teleostei","Osteichthyes"
"Caranx rhonchus",3.6,1899,"Caranx","Caranginae","Carangidae","Carangiformes","Teleostei","Osteichthyes"
"Centriscops humerosus",3.57,14242,"Centriscops","Macroramphosinae","Centriscidae","Syngnathiformes","Teleostei","Osteichthyes"
"Cephalopholis boenak",4.07,6444,"Cephalopholis",NA,"Epinephelidae","Perciformes/Serranoidei","Teleostei","Osteichthyes"
"Cephalopholis fulva",4.05,8816,"Cephalopholis",NA,"Epinephelidae","Perciformes/Serranoidei","Teleostei","Osteichthyes"
"Cephalopholis hemistiktos",4.14,6447,"Cephalopholis",NA,"Epinephelidae","Perciformes/Serranoidei","Teleostei","Osteichthyes"
"Cephalopholis miniata",4.29,6450,"Cephalopholis",NA,"Epinephelidae","Perciformes/Serranoidei","Teleostei","Osteichthyes"
"Cetengraulis edentulus",2.11,547,"Cetengraulis","Engraulinae","Engraulidae","Clupeiformes","Teleostei","Osteichthyes"
"Cetengraulis mysticetus",2.47000002861023,548,"Cetengraulis","Engraulinae","Engraulidae","Clupeiformes","Teleostei","Osteichthyes"
"Channichthys rhinoceratus",3.25,477,"Channichthys",NA,"Channichthyidae","Perciformes/Notothenioidei","Teleostei","Osteichthyes"
"Cheilodactylus variegatus",3.65,461,"Cheilodactylus",NA,"Cheilodactylidae","Centrarchiformes","Teleostei","Osteichthyes"
"Chirocentrus dorab",4.4,6358,"Chirocentrus",NA,"Chirocentridae","Clupeiformes","Teleostei","Osteichthyes"
"Chirocentrus nudus",4.19,1452,"Chirocentrus",NA,"Chirocentridae","Clupeiformes","Teleostei","Osteichthyes"
"Chloroscombrus orqueta",2.54,1937,"Chloroscombrus","Caranginae","Carangidae","Carangiformes","Teleostei","Osteichthyes"
"Citharichthys sordidus",3.46,4215,"Citharichthys",NA,"Cyclopsettidae","Pleuronectiformes","Teleostei","Osteichthyes"
"Clupea harengus",3.38,24,"Clupea",NA,"Clupeidae","Clupeiformes","Teleostei","Osteichthyes"
"Clupeonella cultriventris",3,1470,"Clupeonella",NA,"Ehiravidae","Clupeiformes","Teleostei","Osteichthyes"
"Cololabis saira",3.71,303,"Cololabis",NA,"Scomberesocidae","Beloniformes","Teleostei","Osteichthyes"
