"TaxonName","DietTroph"
"Cetengraulis edentulus",2.11
"Cetengraulis mysticetus",2.47000002861023
"Clupea harengus",3.38
"Engraulis capensis",2.92333333333333
"Engraulis encrasicolus",3.12
"Engraulis japonicus",3.14
"Engraulis mordax",3.1
"Engraulis ringens",2.85999989509583
"Gadus morhua",4.09
"Katsuwonus pelamis",4.43
"Mallotus villosus",3.15
"Micromesistius poutassou",4.13
"Sardina pilchardus",3.06
"Sardinella aurita",3.4
"Sardinella brasiliensis",3.1
"Sardinella gibbosa",2.85
"Sardinella lemuru",2.48
"Sardinella maderensis",3.2
"Sardinella zunasi",3.17
"Scomber japonicus",3.38
"Scomber scombrus",3.63
"Thunnus alalunga",4.3
"Thunnus albacares",4.41
"Theragra chalcogramma",3.57
"Sardinella",3.03333333333333
"Engraulidae",3.02866664568583
"Thunnus",4.355
"Stolephorus",3.02866664568583
"Clupeoids",2.85999989509583
