CommonName,TaxonName,trimmings_fao_area
Atlantic mackerel,Scomber scombrus,"27, 34"
European pilchard,Sardina pilchardus,"27, 34, 37, 87 "
Skipjack tuna,Katsuwonus pelamis,"87, 57"
Albacore,Thunnus alalunga,"87, 57"
Yellowfin tuna,Thunnus albacares,"87, 57"
European anchovy,Engraulis encrasicolus,"34, 37 "
Sardinella,Sardinella,"34, 37"
Chub mackerel,Scomber japonicus,"87, 77, 71"
Anchovies,Engraulidae,"47, 77, 37, 27, 34, 87, 61"
Atlantic herring,Clupea harengus,27
Atlantic cod,Gadus morhua,27
Brazilian sardinella,Sardinella brasiliensis,"34, 37"
Capelin,Mallotus villosus,27
Alaska pollack,Theragra chalcogramma,67
Anchoveta,Engraulis ringens,87
Japanese anchovy,Engraulis japonicus,"47, 77, 37, 27, 34, 87, 61"
Round sardinella,Sardinella aurita,"27, 34, 37, 87"
Madeiran sardinella,Sardinella maderensis,"27, 34, 37, 87"
Blue whiting,Micromesistius poutassou,27
Pacific anchoveta,Cetengraulis mysticetus,"47, 77, 37, 27, 34, 87, 61"
Tuna,Thunnus,"87, 57"
Indo-Pacific anchovies,Stolephorus,"47, 77, 37, 27, 34, 87, 61"
Herrings sardines anchovies,Clupeoids,"34, 37, 47, 77, 27, 87, 61"
Californian anchovy,Engraulis mordax,"47, 77, 37, 27, 34, 87, 61"
Cape anchovy,Engraulis capensis,"47, 77, 37, 27, 34, 87, 61"
Atlantic anchoveta,Cetengraulis edentulus,"47, 77, 37, 27, 34, 87, 61"
