species,production_system,per_diet,raw_name
salmon,aquaculture,20.9,soy protein concentrate
salmon,aquaculture,9.8,wheat gluten
salmon,aquaculture,4.3,guar protein
salmon,aquaculture,3.4,sunflower
salmon,aquaculture,1.4,pea protein
salmon,aquaculture,0.7,corn gluten
salmon,aquaculture,18,rapeseed oil
salmon,aquaculture,1.3,linseed oil
salmon,aquaculture,0.4,soybean oil
salmon,aquaculture,0.4,camelina oil
salmon,aquaculture,0.1,coconut oil
salmon,aquaculture,6.5,wheat
salmon,aquaculture,3.6,faba beans
salmon,aquaculture,2.5,pea flour
salmon,aquaculture,8.8,"fish meal, forage fish"
salmon,aquaculture,3.3,"fish meal, cut offs"
salmon,aquaculture,8.3,"fish oil, forage fish"
salmon,aquaculture,2,"fish oil, cut offs"
salmon,aquaculture,4.1,micro ingredients
salmon,aquaculture,0.4,other
