"","iso3c_consuming","iso3c_producing","GAEZ_category","prop_of_supply"
"1","DNK","NOR","Rapeseed",0.0000000262507425217706
"2","DNK","NOR","Soybean",0
"3","FIN","NOR","Rapeseed",0
"4","FIN","NOR","Soybean",0
"5","NLD","NOR","Rapeseed",0.000000020609838385273
"6","NLD","NOR","Soybean",0
"7","NOR","AUT","Soybean",0.0000297497452298604
"8","NOR","BRA","Soybean",0.664256084419195
"9","NOR","MMR","Soybean",0.0000000216834877768662
"10","NOR","CAN","Soybean",0.269585144139467
"11","NOR","LKA","Soybean",0
"12","NOR","CHN","Soybean",0.000498611801429037
"13","NOR","DNK","Rapeseed",0.000394058263168653
"14","NOR","DNK","Soybean",0
"15","NOR","FRA","Rapeseed",0.000161834614950179
"16","NOR","FRA","Soybean",0
"17","NOR","DEU","Rapeseed",0.00037420494609298
"18","NOR","DEU","Soybean",0.00000897696393962259
"19","NOR","IND","Soybean",0.00000340430758096799
"20","NOR","IDN","Soybean",0.00000108417438884331
"21","NOR","IRN","Soybean",0.00000190814692436422
"22","NOR","ITA","Soybean",0.00000205993133880228
"23","NOR","KEN","Soybean",0.0000000433669755537323
"24","NOR","LVA","Rapeseed",0.0297847885388605
"25","NOR","NLD","Rapeseed",0.0039020792288731
"26","NOR","NLD","Soybean",0
"27","NOR","CZE","Rapeseed",0.0000300807834479887
"28","NOR","POL","Rapeseed",0.317514099991231
"29","NOR","POL","Soybean",0
"30","NOR","ROU","Soybean",0.0655925505250201
"31","NOR","ESP","Rapeseed",0.000115510208440277
"32","NOR","SWE","Rapeseed",0.0113597070612985
"33","NOR","SWE","Soybean",0
"34","NOR","TWN","Soybean",0.000000130100926661197
"35","NOR","THA","Soybean",0.00000195151389991795
"36","NOR","GBR","Soybean",0
"37","NOR","USA","Soybean",0.00000529077101755534
"38","NOR","VNM","Soybean",0.00000258033504544707
"39","NOR","BEL","Soybean",0
"40","NOR","SRB","Soybean",0.0000104080741328958
"41","SWE","NOR","Rapeseed",0.000644341565683648
"42","SWE","NOR","Soybean",0
"43","ARM","NOR","Rapeseed",0.000139146725883251
"44","AFG","NOR","Rapeseed",0.000139146725883251
"45","AFG","NOR","Soybean",0
"46","AGO","NOR","Rapeseed",0.000139146725883251
"47","AGO","NOR","Soybean",0
"48","ATG","NOR","Rapeseed",0.000139146725883251
"49","BHS","NOR","Rapeseed",0.000139146725883251
"50","BTN","NOR","Rapeseed",0
"51","BLZ","NOR","Rapeseed",0.000139146725883251
"52","SLB","NOR","Rapeseed",0.000139146725883251
"53","MMR","NOR","Rapeseed",0.00000376072232116894
"54","MMR","NOR","Soybean",0
"55","BDI","NOR","Rapeseed",0.000139146725883251
"56","CMR","NOR","Rapeseed",0.000139146725883251
"57","CMR","NOR","Soybean",0
"58","CPV","NOR","Rapeseed",0.000139146725883251
"59","CAF","NOR","Rapeseed",0.000139146725883251
"60","CAF","NOR","Soybean",0
"61","LKA","NOR","Rapeseed",0.000139146725883251
"62","TCD","NOR","Rapeseed",0.000139146725883251
"63","TCD","NOR","Soybean",0
"64","COG","NOR","Rapeseed",0.000139146725883251
"65","CUB","NOR","Rapeseed",0.000139146725883251
"66","CUB","NOR","Soybean",0
"67","BEN","NOR","Rapeseed",0.000139146725883251
"68","BEN","NOR","Soybean",0
"69","DMA","NOR","Rapeseed",0.000139146725883251
"70","DMA","NOR","Soybean",0
"71","DOM","NOR","Rapeseed",0.000139146725883251
"72","DOM","NOR","Soybean",0
"73","ECU","NOR","Soybean",0
"74","EGY","NOR","Rapeseed",0.000139146725883251
"75","PYF","NOR","Rapeseed",0.000139146725883251
"76","DJI","NOR","Soybean",0
"77","GAB","NOR","Rapeseed",0.000139146725883251
"78","GMB","NOR","Rapeseed",0.000139146725883251
"79","GMB","NOR","Soybean",0
"80","GHA","NOR","Rapeseed",0.000139146725883251
"81","KIR","NOR","Rapeseed",0.000139146725883251
"82","KIR","NOR","Soybean",0
"83","GRD","NOR","Rapeseed",0.000139146725883251
"84","GIN","NOR","Rapeseed",0.000139146725883251
"85","GIN","NOR","Soybean",0
"86","GUY","NOR","Rapeseed",0.000139146725883251
"87","HTI","NOR","Rapeseed",0.000139146725883251
"88","HTI","NOR","Soybean",0
"89","HKG","NOR","Rapeseed",0.000139146725883251
"90","IRN","NOR","Rapeseed",0.0000411966496921425
"91","IRQ","NOR","Rapeseed",0.000139146725883251
"92","IRQ","NOR","Soybean",0
"93","CIV","NOR","Rapeseed",0.000139146725883251
"94","JAM","NOR","Rapeseed",0.000139146725883251
"95","KHM","NOR","Rapeseed",0.000139146725883251
"96","PRK","NOR","Rapeseed",0.000139146725883251
"97","PRK","NOR","Soybean",0
"98","LAO","NOR","Rapeseed",0.000139146725883251
"99","LAO","NOR","Soybean",0
"100","LSO","NOR","Rapeseed",0.000139146725883251
"101","LSO","NOR","Soybean",0
"102","LBR","NOR","Rapeseed",0.000139146725883251
"103","LBR","NOR","Soybean",0
"104","LBY","NOR","Rapeseed",0.000139146725883251
"105","MAC","NOR","Rapeseed",0.000139146725883251
"106","MDV","NOR","Rapeseed",0.000139146725883251
"107","MLI","NOR","Rapeseed",0.000139146725883251
"108","MLI","NOR","Soybean",0
"109","MRT","NOR","Rapeseed",0.000139146725883251
"110","MRT","NOR","Soybean",0
"111","MUS","NOR","Rapeseed",0.000139146725883251
"112","MOZ","NOR","Rapeseed",0.000139146725883251
"113","MOZ","NOR","Soybean",0
"114","FSM","NOR","Soybean",0
"115","NAM","NOR","Rapeseed",0.000139146725883251
"116","NRU","NOR","Rapeseed",0.000139146725883251
"117","NRU","NOR","Soybean",0
"118","NCL","NOR","Rapeseed",0.000139146725883251
"119","VUT","NOR","Rapeseed",0.000139146725883251
"120","NIC","NOR","Rapeseed",0.000139146725883251
"121","NER","NOR","Rapeseed",0.000139146725883251
"122","NER","NOR","Soybean",0
"123","NGA","NOR","Rapeseed",0.000139146725883251
"124","NGA","NOR","Soybean",0
"125","PAN","NOR","Rapeseed",0.000139146725883251
"126","PNG","NOR","Rapeseed",0.000139146725883251
"127","PER","NOR","Rapeseed",0.000139146725883251
"128","GNB","NOR","Rapeseed",0.000139146725883251
"129","GNB","NOR","Soybean",0
"130","TLS","NOR","Rapeseed",0.000139146725883251
"131","TLS","NOR","Soybean",0
"132","QAT","NOR","Rapeseed",0.000139146725883251
"133","KNA","NOR","Rapeseed",0.000139146725883251
"134","LCA","NOR","Rapeseed",0.000139146725883251
"135","VCT","NOR","Rapeseed",0.000139146725883251
"136","STP","NOR","Rapeseed",0.000139146725883251
"137","SYC","NOR","Rapeseed",0.000139146725883251
"138","SYC","NOR","Soybean",0
"139","SLE","NOR","Rapeseed",0.000139146725883251
"140","SUR","NOR","Rapeseed",0.000139146725883251
"141","TJK","NOR","Rapeseed",0.000139146725883251
"142","TJK","NOR","Soybean",0
"143","TKM","NOR","Rapeseed",0.000139146725883251
"144","TKM","NOR","Soybean",0
"145","TZA","NOR","Rapeseed",0.000139146725883251
"146","THA","NOR","Rapeseed",0.000139146725883251
"147","TGO","NOR","Rapeseed",0.000139146725883251
"148","UGA","NOR","Rapeseed",0.000139146725883251
"149","BFA","NOR","Rapeseed",0.000139146725883251
"150","UZB","NOR","Rapeseed",0.000139146725883251
"151","UZB","NOR","Soybean",0
"152","VEN","NOR","Rapeseed",0.000139146725883251
"153","VEN","NOR","Soybean",0
"154","WSM","NOR","Rapeseed",0.000139146725883251
"155","WSM","NOR","Soybean",0
"156","MNE","NOR","Rapeseed",0.000139146725883251
"157","SDN","NOR","Rapeseed",0.000139146725883251
"158","SDN","NOR","Soybean",0
"159","SSD","NOR","Rapeseed",0.000139146725883251
"160","SSD","NOR","Soybean",0
"161","ABW","NOR","Rapeseed",0.000139146725883251
"162","ABW","NOR","Soybean",0
"163","AIA","NOR","Rapeseed",0.000139146725883251
"164","AIA","NOR","Soybean",0
"165","ALA","NOR","Rapeseed",0.000139146725883251
"166","ALA","NOR","Soybean",0
"167","AND","NOR","Rapeseed",0.000139146725883251
"168","AND","NOR","Soybean",0
"169","ASM","NOR","Rapeseed",0.000139146725883251
"170","ASM","NOR","Soybean",0
"171","BES","NOR","Rapeseed",0.000139146725883251
"172","BES","NOR","Soybean",0
"173","BLM","NOR","Rapeseed",0.000139146725883251
"174","BLM","NOR","Soybean",0
"175","BMU","NOR","Rapeseed",0.000139146725883251
"176","BMU","NOR","Soybean",0
"177","BRN","NOR","Rapeseed",0.000139146725883251
"178","CCK","NOR","Rapeseed",0.000139146725883251
"179","CCK","NOR","Soybean",0
"180","COK","NOR","Rapeseed",0.000139146725883251
"181","CUW","NOR","Rapeseed",0.000139146725883251
"182","CUW","NOR","Soybean",0
"183","CXR","NOR","Rapeseed",0.000139146725883251
"184","CXR","NOR","Soybean",0
"185","CYM","NOR","Rapeseed",0.000139146725883251
"186","CYM","NOR","Soybean",0
"187","ERI","NOR","Rapeseed",0.000139146725883251
"188","ERI","NOR","Soybean",0
"189","ESH","NOR","Rapeseed",0.000139146725883251
"190","ESH","NOR","Soybean",0
"191","FLK","NOR","Rapeseed",0.000139146725883251
"192","FLK","NOR","Soybean",0
"193","FSM","NOR","Rapeseed",0.000139146725883251
"194","GGY","NOR","Rapeseed",0.000139146725883251
"195","GGY","NOR","Soybean",0
"196","GIB","NOR","Rapeseed",0.000139146725883251
"197","GIB","NOR","Soybean",0
"198","GLP","NOR","Rapeseed",0.000139146725883251
"199","GLP","NOR","Soybean",0
"200","GNQ","NOR","Rapeseed",0.000139146725883251
"201","GNQ","NOR","Soybean",0
"202","GRL","NOR","Rapeseed",0.000139146725883251
"203","GRL","NOR","Soybean",0
"204","GUF","NOR","Rapeseed",0.000139146725883251
"205","GUF","NOR","Soybean",0
