iso3c_producing,product,animal_system,SPAM_super,prop_produced_for_system,prop_extra_for_system,total_prop
ABW,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
ABW,maize gluten,salmon_aquaculture_meat,maiz,0,0,0
ABW,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
ABW,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
ABW,wheat,salmon_aquaculture_meat,whea,0,0,0
ABW,wheat gluten,salmon_aquaculture_meat,whea,0,0,0
ABW,cake of sunflower seed,salmon_aquaculture_meat,xoil,0,0,0
ABW,oil of linseed,salmon_aquaculture_meat,xoil,0,0,0
ABW,oil of rapeseed,salmon_aquaculture_meat,xoil,0,0,0
ABW,faba bean,salmon_aquaculture_meat,xpul,0,0,0
ABW,guar protein,salmon_aquaculture_meat,xpul,0,0,0
ABW,pea other,salmon_aquaculture_meat,xpul,0,0,0
ABW,pea protein,salmon_aquaculture_meat,xpul,0,0,0
AFG,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
AFG,maize gluten,salmon_aquaculture_meat,maiz,6.676396430988101e-11,-4.785955534613705e-23,6.676396430983315e-11
AFG,oil of soya bean,salmon_aquaculture_meat,soyb,7.819396915092541e-12,1.6339447945977577e-8,1.634726734289267e-8
AFG,soy protein concentrate,salmon_aquaculture_meat,soyb,4.5034839107861107e-10,1.2363376968361379e-6,1.2367880452272165e-6
AFG,wheat,salmon_aquaculture_meat,whea,5.387602305774526e-9,1.9793939810961273e-9,7.366996286870653e-9
AFG,wheat gluten,salmon_aquaculture_meat,whea,8.20489550840565e-9,7.076647421785098e-9,1.5281542930190748e-8
AFG,cake of sunflower seed,salmon_aquaculture_meat,xoil,1.013705428793362e-6,3.810362654219752e-7,1.3947416942153372e-6
AFG,oil of linseed,salmon_aquaculture_meat,xoil,3.480429203300138e-7,2.317395003427747e-23,3.480429203300138e-7
AFG,oil of rapeseed,salmon_aquaculture_meat,xoil,4.9261459492863495e-6,4.6127496789584304e-5,5.105364273887065e-5
AFG,faba bean,salmon_aquaculture_meat,xpul,2.027933806031516e-4,2.468033420495351e-5,2.2747371480810513e-4
AFG,guar protein,salmon_aquaculture_meat,xpul,2.752561668540252e-4,3.882109388101836e-5,3.140772607350436e-4
AFG,pea other,salmon_aquaculture_meat,xpul,1.6003265514768906e-4,1.6334825101191984e-5,1.7636748024888106e-4
AFG,pea protein,salmon_aquaculture_meat,xpul,8.961828688270589e-5,5.7001140816929005e-6,9.531840096439878e-5
AGO,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
AGO,maize gluten,salmon_aquaculture_meat,maiz,6.6763964309881e-11,-4.785955534613704e-23,6.676396430983314e-11
AGO,oil of soya bean,salmon_aquaculture_meat,soyb,7.819396915092541e-12,1.6339447945977577e-8,1.634726734289267e-8
AGO,soy protein concentrate,salmon_aquaculture_meat,soyb,4.5034839107861107e-10,1.2363376968361379e-6,1.2367880452272165e-6
AGO,wheat,salmon_aquaculture_meat,whea,0.013998338357670054,1.9516857649205153e-9,0.013998340309355818
AGO,wheat gluten,salmon_aquaculture_meat,whea,0.021318370770033648,6.925784885064022e-9,0.021318377695818534
AGO,cake of sunflower seed,salmon_aquaculture_meat,xoil,0,3.810366516808976e-7,3.810366516808976e-7
AGO,oil of linseed,salmon_aquaculture_meat,xoil,0,2.3173958099809523e-23,2.3173958099809523e-23
AGO,oil of rapeseed,salmon_aquaculture_meat,xoil,0,4.612772402148514e-5,4.612772402148514e-5
AGO,faba bean,salmon_aquaculture_meat,xpul,0,2.4685340228549796e-5,2.4685340228549796e-5
AGO,guar protein,salmon_aquaculture_meat,xpul,0,3.8831782568640316e-5,3.8831782568640316e-5
AGO,pea other,salmon_aquaculture_meat,xpul,0,1.6337439625033493e-5,1.6337439625033493e-5
AGO,pea protein,salmon_aquaculture_meat,xpul,0,5.70062496193615e-6,5.70062496193615e-6
AIA,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
AIA,maize gluten,salmon_aquaculture_meat,maiz,0,0,0
AIA,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
AIA,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
AIA,wheat,salmon_aquaculture_meat,whea,0,0,0
AIA,wheat gluten,salmon_aquaculture_meat,whea,0,0,0
AIA,cake of sunflower seed,salmon_aquaculture_meat,xoil,0,0,0
AIA,oil of linseed,salmon_aquaculture_meat,xoil,0,0,0
AIA,oil of rapeseed,salmon_aquaculture_meat,xoil,0,0,0
AIA,faba bean,salmon_aquaculture_meat,xpul,0,0,0
AIA,guar protein,salmon_aquaculture_meat,xpul,0,0,0
AIA,pea other,salmon_aquaculture_meat,xpul,0,0,0
AIA,pea protein,salmon_aquaculture_meat,xpul,0,0,0
ALA,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
ALA,maize gluten,salmon_aquaculture_meat,maiz,0,0,0
ALA,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
ALA,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
ALA,wheat,salmon_aquaculture_meat,whea,5.387602305774528e-9,1.9793939810961273e-9,7.366996286870655e-9
ALA,wheat gluten,salmon_aquaculture_meat,whea,8.204895508405652e-9,7.076647421785098e-9,1.5281542930190748e-8
