iso3c_producing,diet,product,animal_system,SPAM_super,prop_produced_for_system,prop_extra_for_system,total_prop
ABW,fish-dominant,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
ABW,fish-dominant,maize gluten,salmon_aquaculture_meat,maiz,0,0,0
ABW,fish-dominant,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
ABW,fish-dominant,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
ABW,fish-dominant,soybean meal,salmon_aquaculture_meat,soyb,0,0,0
ABW,fish-dominant,wheat,salmon_aquaculture_meat,whea,0,0,0
ABW,fish-dominant,wheat gluten,salmon_aquaculture_meat,whea,0,0,0
ABW,fish-dominant,cake of sunflower seed,salmon_aquaculture_meat,xoil,0,0,0
ABW,fish-dominant,oil of linseed,salmon_aquaculture_meat,xoil,0,0,0
ABW,fish-dominant,oil of rapeseed,salmon_aquaculture_meat,xoil,0,0,0
ABW,fish-dominant,faba bean,salmon_aquaculture_meat,xpul,0,0,0
ABW,fish-dominant,guar protein,salmon_aquaculture_meat,xpul,0,0,0
ABW,fish-dominant,pea other,salmon_aquaculture_meat,xpul,0,0,0
ABW,fish-dominant,pea protein,salmon_aquaculture_meat,xpul,0,0,0
ABW,plant-dominant,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
ABW,plant-dominant,maize gluten,salmon_aquaculture_meat,maiz,0,0,0
ABW,plant-dominant,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
ABW,plant-dominant,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
ABW,plant-dominant,wheat,salmon_aquaculture_meat,whea,0,0,0
ABW,plant-dominant,wheat gluten,salmon_aquaculture_meat,whea,0,0,0
ABW,plant-dominant,cake of sunflower seed,salmon_aquaculture_meat,xoil,0,0,0
ABW,plant-dominant,oil of linseed,salmon_aquaculture_meat,xoil,0,0,0
ABW,plant-dominant,oil of rapeseed,salmon_aquaculture_meat,xoil,0,0,0
ABW,plant-dominant,faba bean,salmon_aquaculture_meat,xpul,0,0,0
ABW,plant-dominant,guar protein,salmon_aquaculture_meat,xpul,0,0,0
ABW,plant-dominant,pea other,salmon_aquaculture_meat,xpul,0,0,0
ABW,plant-dominant,pea protein,salmon_aquaculture_meat,xpul,0,0,0
AFG,fish-dominant,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
AFG,fish-dominant,maize gluten,salmon_aquaculture_meat,maiz,3.815083674850343e-10,-1.596682913253818e-22,3.8150836748487467e-10
AFG,fish-dominant,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
AFG,fish-dominant,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
AFG,fish-dominant,soybean meal,salmon_aquaculture_meat,soyb,3.6631208843714786e-10,3.9177357986386617e-7,3.921398919523033e-7
AFG,fish-dominant,wheat,salmon_aquaculture_meat,whea,5.802033252372568e-9,1.3646665170261194e-9,7.166699769398687e-9
AFG,fish-dominant,wheat gluten,salmon_aquaculture_meat,whea,1.088404506217076e-8,5.962243173675982e-9,1.6846288235846742e-8
AFG,fish-dominant,cake of sunflower seed,salmon_aquaculture_meat,xoil,0,0,0
AFG,fish-dominant,oil of linseed,salmon_aquaculture_meat,xoil,0,0,0
AFG,fish-dominant,oil of rapeseed,salmon_aquaculture_meat,xoil,0,0,0
AFG,fish-dominant,faba bean,salmon_aquaculture_meat,xpul,1.1266298922397312e-4,3.934390041901762e-6,1.1659737926587489e-4
AFG,fish-dominant,guar protein,salmon_aquaculture_meat,xpul,0,0,0
AFG,fish-dominant,pea other,salmon_aquaculture_meat,xpul,0,0,0
AFG,fish-dominant,pea protein,salmon_aquaculture_meat,xpul,0,0,0
AFG,plant-dominant,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
AFG,plant-dominant,maize gluten,salmon_aquaculture_meat,maiz,6.676396430988101e-11,-2.393122765834067e-23,6.676396430985707e-11
AFG,plant-dominant,oil of soya bean,salmon_aquaculture_meat,soyb,7.819396915092541e-12,6.533530679462452e-9,6.541350076377544e-9
AFG,plant-dominant,soy protein concentrate,salmon_aquaculture_meat,soyb,4.5034839107861107e-10,4.943649442234309e-7,4.948152926145095e-7
AFG,plant-dominant,wheat,salmon_aquaculture_meat,whea,5.387602305774526e-9,9.897405767373499e-10,6.3773428825118764e-9
AFG,plant-dominant,wheat gluten,salmon_aquaculture_meat,whea,8.20489550840565e-9,3.5384795384321817e-9,1.1743375046837832e-8
AFG,plant-dominant,cake of sunflower seed,salmon_aquaculture_meat,xoil,1.013705428793362e-6,1.9043499054063256e-7,1.2041404193339944e-6
AFG,plant-dominant,oil of linseed,salmon_aquaculture_meat,xoil,3.480429203300138e-7,1.1581918457760022e-23,3.480429203300138e-7
AFG,plant-dominant,oil of rapeseed,salmon_aquaculture_meat,xoil,4.9261459492863495e-6,2.3053683368063306e-5,2.7979829317349654e-5
AFG,plant-dominant,faba bean,salmon_aquaculture_meat,xpul,2.027933806031516e-4,1.2333701101622073e-5,2.1512708170477369e-4
AFG,plant-dominant,guar protein,salmon_aquaculture_meat,xpul,2.752561668540252e-4,1.9400376201971777e-5,2.94656543055997e-4
AFG,plant-dominant,pea other,salmon_aquaculture_meat,xpul,1.6003265514768906e-4,8.163132989703978e-6,1.6819578813739305e-4
AFG,plant-dominant,pea protein,salmon_aquaculture_meat,xpul,8.961828688270589e-5,2.8485636679359406e-6,9.246685055064183e-5
AGO,fish-dominant,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
AGO,fish-dominant,maize gluten,salmon_aquaculture_meat,maiz,3.815083674850343e-10,-1.5966829132538182e-22,3.8150836748487467e-10
AGO,fish-dominant,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
AGO,fish-dominant,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
AGO,fish-dominant,soybean meal,salmon_aquaculture_meat,soyb,3.663120884371478e-10,3.917735798638662e-7,3.9213989195230336e-7
AGO,fish-dominant,wheat,salmon_aquaculture_meat,whea,0.015075133615952366,1.3440939947392125e-9,0.01507513496004636
AGO,fish-dominant,wheat gluten,salmon_aquaculture_meat,whea,0.028279471429636476,5.79363415124764e-9,0.02827947722327063
AGO,fish-dominant,cake of sunflower seed,salmon_aquaculture_meat,xoil,0,0,0
AGO,fish-dominant,oil of linseed,salmon_aquaculture_meat,xoil,0,0,0
AGO,fish-dominant,oil of rapeseed,salmon_aquaculture_meat,xoil,0,0,0
AGO,fish-dominant,faba bean,salmon_aquaculture_meat,xpul,0,3.934833351989294e-6,3.934833351989294e-6
AGO,fish-dominant,guar protein,salmon_aquaculture_meat,xpul,0,0,0
AGO,fish-dominant,pea other,salmon_aquaculture_meat,xpul,0,0,0
AGO,fish-dominant,pea protein,salmon_aquaculture_meat,xpul,0,0,0
AGO,plant-dominant,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
AGO,plant-dominant,maize gluten,salmon_aquaculture_meat,maiz,6.6763964309881e-11,-2.3931227658340668e-23,6.676396430985706e-11
AGO,plant-dominant,oil of soya bean,salmon_aquaculture_meat,soyb,7.819396915092541e-12,6.533530679462452e-9,6.541350076377544e-9
AGO,plant-dominant,soy protein concentrate,salmon_aquaculture_meat,soyb,4.5034839107861107e-10,4.943649442234307e-7,4.948152926145094e-7
AGO,plant-dominant,wheat,salmon_aquaculture_meat,whea,0.013998338357670054,9.758858585155501e-10,0.013998339333555912
AGO,plant-dominant,wheat gluten,salmon_aquaculture_meat,whea,0.021318370770033648,3.4630449480836293e-9,0.021318374233078596
AGO,plant-dominant,cake of sunflower seed,salmon_aquaculture_meat,xoil,0,1.90435183585812e-7,1.90435183585812e-7
AGO,plant-dominant,oil of linseed,salmon_aquaculture_meat,xoil,0,1.158192248876615e-23,1.158192248876615e-23
AGO,plant-dominant,oil of rapeseed,salmon_aquaculture_meat,xoil,0,2.3053796934431692e-5,2.3053796934431692e-5
AGO,plant-dominant,faba bean,salmon_aquaculture_meat,xpul,0,1.2336202801892077e-5,1.2336202801892077e-5
AGO,plant-dominant,guar protein,salmon_aquaculture_meat,xpul,0,1.9405717745453445e-5,1.9405717745453445e-5
AGO,plant-dominant,pea other,salmon_aquaculture_meat,xpul,0,8.16443956664562e-6,8.16443956664562e-6
AGO,plant-dominant,pea protein,salmon_aquaculture_meat,xpul,0,2.8488189742120485e-6,2.8488189742120485e-6
AIA,fish-dominant,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
AIA,fish-dominant,maize gluten,salmon_aquaculture_meat,maiz,0,0,0
AIA,fish-dominant,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
AIA,fish-dominant,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
AIA,fish-dominant,soybean meal,salmon_aquaculture_meat,soyb,0,0,0
AIA,fish-dominant,wheat,salmon_aquaculture_meat,whea,0,0,0
AIA,fish-dominant,wheat gluten,salmon_aquaculture_meat,whea,0,0,0
AIA,fish-dominant,cake of sunflower seed,salmon_aquaculture_meat,xoil,0,0,0
AIA,fish-dominant,oil of linseed,salmon_aquaculture_meat,xoil,0,0,0
AIA,fish-dominant,oil of rapeseed,salmon_aquaculture_meat,xoil,0,0,0
AIA,fish-dominant,faba bean,salmon_aquaculture_meat,xpul,0,0,0
AIA,fish-dominant,guar protein,salmon_aquaculture_meat,xpul,0,0,0
AIA,fish-dominant,pea other,salmon_aquaculture_meat,xpul,0,0,0
AIA,fish-dominant,pea protein,salmon_aquaculture_meat,xpul,0,0,0
AIA,plant-dominant,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
AIA,plant-dominant,maize gluten,salmon_aquaculture_meat,maiz,0,0,0
AIA,plant-dominant,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
AIA,plant-dominant,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
AIA,plant-dominant,wheat,salmon_aquaculture_meat,whea,0,0,0
AIA,plant-dominant,wheat gluten,salmon_aquaculture_meat,whea,0,0,0
AIA,plant-dominant,cake of sunflower seed,salmon_aquaculture_meat,xoil,0,0,0
AIA,plant-dominant,oil of linseed,salmon_aquaculture_meat,xoil,0,0,0
AIA,plant-dominant,oil of rapeseed,salmon_aquaculture_meat,xoil,0,0,0
AIA,plant-dominant,faba bean,salmon_aquaculture_meat,xpul,0,0,0
AIA,plant-dominant,guar protein,salmon_aquaculture_meat,xpul,0,0,0
AIA,plant-dominant,pea other,salmon_aquaculture_meat,xpul,0,0,0
AIA,plant-dominant,pea protein,salmon_aquaculture_meat,xpul,0,0,0
ALA,fish-dominant,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
ALA,fish-dominant,maize gluten,salmon_aquaculture_meat,maiz,0,0,0
ALA,fish-dominant,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
ALA,fish-dominant,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
ALA,fish-dominant,soybean meal,salmon_aquaculture_meat,soyb,0,0,0
ALA,fish-dominant,wheat,salmon_aquaculture_meat,whea,5.802033252372569e-9,1.3646665170261192e-9,7.166699769398689e-9
ALA,fish-dominant,wheat gluten,salmon_aquaculture_meat,whea,1.0884045062170764e-8,5.962243173675982e-9,1.6846288235846745e-8
ALA,fish-dominant,cake of sunflower seed,salmon_aquaculture_meat,xoil,0,0,0
ALA,fish-dominant,oil of linseed,salmon_aquaculture_meat,xoil,0,0,0
ALA,fish-dominant,oil of rapeseed,salmon_aquaculture_meat,xoil,0,0,0
ALA,fish-dominant,faba bean,salmon_aquaculture_meat,xpul,0,3.934833351989294e-6,3.934833351989294e-6
ALA,fish-dominant,guar protein,salmon_aquaculture_meat,xpul,0,0,0
ALA,fish-dominant,pea other,salmon_aquaculture_meat,xpul,0,0,0
ALA,fish-dominant,pea protein,salmon_aquaculture_meat,xpul,0,0,0
ALA,plant-dominant,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
ALA,plant-dominant,maize gluten,salmon_aquaculture_meat,maiz,0,0,0
ALA,plant-dominant,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
ALA,plant-dominant,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
