iso3c_producing,diet,fcr_type,source_ingredient,FAOSTAT_name,FAO_code,total_crop_demand_ms,total_crop_demand_ge,total_crop_demand_econ,GAEZ_category,SPAM_super,tonnes_producing_crop,prop_produced_for_system_ms,prop_produced_for_system_ge,prop_produced_for_system_econ
AFG,fish-dominant,efficient,corn gluten meal,Maize (corn),56,4.51253355941272e-5,5.68139418418068e-5,2.38796959662287e-5,Maize,maiz,214645.51093531883,2.102319093350396e-10,2.646873051024444e-10,1.1125178375346781e-10
AFG,fish-dominant,efficient,faba beans,"Broad beans and horse beans, dry",181,0.461515918787753,0.461515918787753,0.461515918787753,Pulses,opul,28531.185464742543,1.6175840970858784e-5,1.6175840970858784e-5,1.6175840970858784e-5
AFG,fish-dominant,efficient,soybean meal,Soya beans,236,0.00251589653721794,0.00190186983729783,0.00212360551963051,Soybean,soyb,57.543470364413224,4.372166852790049e-5,3.305101039707207e-5,3.6904369969035054e-5
AFG,fish-dominant,efficient,wheat,Wheat,15,0.0206691785272327,0.0206691785272327,0.0206691785272327,Wheat,whea,4665587.223991618,4.430134415009242e-9,4.430134415009242e-9,4.430134415009242e-9
AFG,fish-dominant,efficient,wheat gluten,Wheat,15,0.0383856172648608,0.0427696437119258,0.0980580571569224,Wheat,whea,4665587.223991618,8.227392485017179e-9,9.167044073679212e-9,2.1017302313561584e-8
AFG,fish-dominant,regular,corn gluten meal,Maize (corn),56,5.86629362723654e-5,7.38581243943489e-5,3.10436047560973e-5,Maize,maiz,214645.51093531883,2.733014821355517e-10,3.44093496633178e-10,1.446273188795081e-10
AFG,fish-dominant,regular,faba beans,"Broad beans and horse beans, dry",181,0.553395221461961,0.553395221461961,0.553395221461961,Pulses,opul,28531.185464742543,1.9396152401231976e-5,1.9396152401231976e-5,1.9396152401231976e-5
AFG,fish-dominant,regular,soybean meal,Soya beans,236,0.00327066549838332,0.00247243078848718,0.00276068717551966,Soybean,soyb,57.543470364413224,5.68381690862706e-5,4.296631351619371e-5,4.7975680959745515e-5
AFG,fish-dominant,regular,wheat,Wheat,15,0.0268699320854026,0.0268699320854026,0.0268699320854026,Wheat,whea,4665587.223991618,5.759174739512035e-9,5.759174739512035e-9,5.759174739512035e-9
AFG,fish-dominant,regular,wheat gluten,Wheat,15,0.049901302444319,0.0556005368255036,0.127475474303999,Wheat,whea,4665587.223991618,1.0695610230522324e-8,1.1917157295782988e-8,2.7322493007630036e-8
AFG,plant-dominant,efficient,canola oil,Rape or colza seed,270,8.59322723350761e-6,1.3542481054553e-5,1.44004558029009e-5,Rapeseed,rape,55.10852646827698,1.5593280721186167e-7,2.4574202800266633e-7,2.6131084835284916e-7
AFG,plant-dominant,efficient,coconut oil,"Coconuts, in shell",249,0.0375657635990211,0.0763942832303421,0.135380097549334,CropsNES,cnut,3569646.8263646667,1.0523663943886047e-8,2.140107605775167e-8,3.792534783817963e-8
AFG,plant-dominant,efficient,corn gluten meal,Maize (corn),56,7.89693372897227e-6,9.9424398223162e-6,4.17894679409003e-6,Maize,maiz,214645.51093531883,3.6790584133631976e-11,4.632027839292782e-11,1.9469062156856902e-11
AFG,plant-dominant,efficient,faba beans,"Broad beans and horse beans, dry",181,0.830728653817955,0.830728653817955,0.830728653817955,Pulses,opul,28531.185464742543,2.9116513747545794e-5,2.9116513747545794e-5,2.9116513747545794e-5
AFG,plant-dominant,efficient,guar meal,Other pulses n.e.c.,211,0.992259225393668,1.05724085865749,0.444805859659231,Pulses,opul,28531.185464742543,3.4778058087346346e-5,3.7055623221964504e-5,1.559016397018976e-5
AFG,plant-dominant,efficient,linseed oil,Linseed,333,0.50019383410333,0.806985865549121,0.732729466422553,CropsNES,ooil,3569646.8263646667,1.4012417990737981e-7,2.2606882551766515e-7,2.0526665579652474e-7
AFG,plant-dominant,efficient,pea flour,"Peas, dry; Peas, green",187,0.678699880570225,0.678699880570225,0.678699880570225,Pulses,opul,28531.185464742543,2.3788001427733504e-5,2.3788001427733504e-5,2.3788001427733504e-5
AFG,plant-dominant,efficient,pea protein concentrate,"Peas, dry; Peas, green",187,0.389230292953526,0.483011507030282,0.833719622965343,Pulses,opul,28531.185464742543,1.3642275517591723e-5,1.6929247739360998e-5,2.9221345323895262e-5
AFG,plant-dominant,efficient,soy oil,Soya beans,236,6.01831650085554e-5,1.01999931161467e-4,9.95244565736932e-5,Soybean,soyb,57.543470364413224,1.045873052623094e-6,1.772571770793774e-6,1.7295525616272598e-6
AFG,plant-dominant,efficient,soy protein concentrate,Soya beans,236,0.00380595985793556,0.00328152218689953,0.00334112666294532,Soybean,soyb,57.543470364413224,6.614060350953895e-5,5.702683842524957e-5,5.806265492481633e-5
AFG,plant-dominant,efficient,sunflower meal,Sunflower seed,267,0.0233029028603651,0.0124909741590983,0.00966572306886282,Sunflower,sunf,118.5584940481931,1.9655194718391626e-4,1.0535705821314513e-4,8.152703985033564e-5
AFG,plant-dominant,efficient,wheat,Wheat,15,0.0191928086324304,0.0191928086324304,0.0191928086324304,Wheat,whea,4665587.223991618,4.1136962425085896e-9,4.1136962425085896e-9,4.1136962425085896e-9
AFG,plant-dominant,efficient,wheat gluten,Wheat,15,0.0289368499381258,0.0322417314136056,0.0739206892413723,Wheat,whea,4665587.223991618,6.202188181012944e-9,6.91054091708125e-9,1.5843812513300278e-8
AFG,plant-dominant,regular,canola oil,Rape or colza seed,270,1.11711954035599e-5,1.7605225370919e-5,1.87205925437712e-5,Rapeseed,rape,55.10852646827698,2.027126493754203e-7,3.1946463640346806e-7,3.397041028587045e-7
AFG,plant-dominant,regular,coconut oil,"Coconuts, in shell",249,0.0424444363957966,0.0863156231877374,0.152961936326491,CropsNES,cnut,3569646.8263646667,1.1890374163155539e-8,2.418043783777942e-8,4.285071990784804e-8
AFG,plant-dominant,regular,corn gluten meal,Maize (corn),56,1.02660138476639e-5,1.29251717690111e-5,5.43263083231703e-6,Maize,maiz,214645.51093531883,4.7827759373721335e-11,6.021636191080635e-11,2.530978080391393e-11
AFG,plant-dominant,regular,faba beans,"Broad beans and horse beans, dry",181,0.99611139863153,0.99611139863153,0.99611139863153,Pulses,opul,28531.185464742543,3.4913074322217566e-5,3.4913074322217566e-5,3.4913074322217566e-5
AFG,plant-dominant,regular,guar meal,Other pulses n.e.c.,211,1.18979972614322,1.26771800342702,0.53335849792627,Pulses,opul,28531.185464742543,4.170172766264889e-5,4.443271398567033e-5,1.8693877917739122e-5
AFG,plant-dominant,regular,linseed oil,Linseed,333,0.565154101585244,0.911789271960895,0.827889180288311,CropsNES,ooil,3569646.8263646667,1.5832213355425914e-7,2.554284264837097e-7,2.319246750613238e-7
AFG,plant-dominant,regular,pea flour,"Peas, dry; Peas, green",187,0.813816502149943,0.813816502149943,0.813816502149943,Pulses,opul,28531.185464742543,2.8523753531223514e-5,2.8523753531223514e-5,2.8523753531223514e-5
AFG,plant-dominant,regular,pea protein concentrate,"Peas, dry; Peas, green",187,0.466718861473943,0.57917018464671,0.999697814541197,Pulses,opul,28531.185464742543,1.6358200820316124e-5,2.029954855406974e-5,3.503877593086958e-5
AFG,plant-dominant,regular,soy oil,Soya beans,236,7.8238114511122e-5,1.32599910509907e-4,1.29381793545801e-4,Soybean,soyb,57.543470364413224,1.3596349684100218e-6,2.3043433020319046e-6,2.248418330115435e-6
