iso3c_producing,diet,fcr_type,source_ingredient,FAOSTAT_name,FAO_code,total_crop_demand_ms,total_crop_demand_ge,total_crop_demand_econ,GAEZ_category,SPAM_super,tonnes_producing_crop,prop_produced_for_system_ms,prop_produced_for_system_ge,prop_produced_for_system_econ
AFG,fish-dominant,efficient,corn gluten meal,Maize (corn),56,5.213357648946006e-5,6.563749485029972e-5,2.7588358952004246e-5,Maize,maiz,214645.51093531883,2.4288221198891025e-10,3.0579486411937535e-10,1.285298669037514e-10
AFG,fish-dominant,efficient,faba beans,"Broad beans and horse beans, dry",181,0.11766616165729678,0.11766616165729678,0.11766616165729678,Pulses,opul,28531.185464742543,4.124124523416768e-6,4.124124523416768e-6,4.124124523416768e-6
AFG,fish-dominant,efficient,soybean meal,Soya beans,236,0.0039670240462814305,0.002945345494299793,0.0033142913249579555,Soybean,soyb,57.543470364413224,6.893960376666419e-5,5.1184703940297834e-5,5.7596305957376224e-5
AFG,fish-dominant,efficient,wheat,Wheat,15,0.024545702875287952,0.024545702875287952,0.024545702875287952,Wheat,whea,4665587.223991618,5.2610103930900276e-9,5.2610103930900276e-9,5.2610103930900276e-9
AFG,fish-dominant,efficient,wheat gluten,Wheat,15,0.04558487676839191,0.050791131599723566,0.11644894025810444,Wheat,whea,4665587.223991618,9.77044787288148e-9,1.0886332022374986e-8,2.4959117613168785e-8
AFG,fish-dominant,regular,corn gluten meal,Maize (corn),56,5.7926196099400065e-5,7.293054983366634e-5,3.065373216889361e-5,Maize,maiz,214645.51093531883,2.6986912443212247e-10,3.3977207124375035e-10,1.4281096322639046e-10
AFG,fish-dominant,regular,faba beans,"Broad beans and horse beans, dry",181,0.13074017961921863,0.13074017961921863,0.13074017961921863,Pulses,opul,28531.185464742543,4.582360581574187e-6,4.582360581574187e-6,4.582360581574187e-6
AFG,fish-dominant,regular,soybean meal,Soya beans,236,0.004432157191399076,0.003296958800308369,0.0037068986121507716,Soybean,soyb,57.543470364413224,7.702276493459575e-5,5.7295098460855374e-5,6.441910070205358e-5
AFG,fish-dominant,regular,wheat,Wheat,15,0.027273003194764393,0.027273003194764393,0.027273003194764393,Wheat,whea,4665587.223991618,5.8455671034333645e-9,5.8455671034333645e-9,5.8455671034333645e-9
AFG,fish-dominant,regular,wheat gluten,Wheat,15,0.05064986307599102,0.05643459066635953,0.12938771139789385,Wheat,whea,4665587.223991618,1.0856053192090536e-8,1.2095924469305543e-8,2.7732352903520876e-8
AFG,plant-dominant,efficient,canola oil,Rape or colza seed,270,1.0054075863203906e-5,0.003955800774878069,0.011984460111864865,Rapeseed,rape,55.10852646827698,1.824413844378782e-7,7.178200957986439e-5,2.1747016078834327e-4
AFG,plant-dominant,efficient,coconut oil,"Coconuts, in shell",249,2.819134662051212e-4,5.733033251660748e-4,0.0010159642424070082,CropsNES,cnut,3569646.8263646667,7.897517035101824e-11,1.606050550804567e-10,2.846119775500781e-10
AFG,plant-dominant,efficient,corn gluten meal,Maize (corn),56,9.12337588565551e-6,1.1486561598802449e-5,4.827962816600743e-6,Maize,maiz,214645.51093531883,4.250438709805929e-11,5.351410122089068e-11,2.2492726708156494e-11
AFG,plant-dominant,efficient,faba beans,"Broad beans and horse beans, dry",181,0.5885495896465042,0.5885495896465042,0.5885495896465042,Pulses,opul,28531.185464742543,2.0628290765338344e-5,2.0628290765338344e-5,2.0628290765338344e-5
AFG,plant-dominant,efficient,guar meal,Other pulses n.e.c.,211,1.0426038317786035,1.2767596774622656,0.11340583511453259,Pulses,opul,28531.185464742543,3.654260469012067e-5,4.4749618940300374e-5,3.974802773430989e-6
AFG,plant-dominant,efficient,linseed oil,Linseed,333,0.003753720516682736,0.006056051061914808,0.005498791555915387,CropsNES,ooil,3569646.8263646667,1.0515663591587098e-9,1.696540682172275e-9,1.5404301387191752e-9
AFG,plant-dominant,efficient,pea flour,"Peas, dry; Peas, green",187,0.2456774526916291,0.2456774526916291,0.2456774526916291,Pulses,opul,28531.185464742543,8.610839286549288e-6,8.610839286549288e-6,8.610839286549288e-6
AFG,plant-dominant,efficient,pea protein concentrate,"Peas, dry; Peas, green",187,0.09923652187964786,0.12314658661795211,0.5952951547209523,Pulses,opul,28531.185464742543,3.4781773089057076e-6,4.316209951042192e-6,2.0864718553548685e-5
AFG,plant-dominant,efficient,soy oil,Soya beans,236,7.042425652713153e-5,1.1935678884358719e-4,1.1646007416646775e-4,Soybean,soyb,57.543470364413224,1.2238444445763599e-6,2.0742021308016446e-6,2.023862541291748e-6
AFG,plant-dominant,efficient,soy protein concentrate,Soya beans,236,0.006113559409722304,0.005240947973740067,0.005340123815419279,Soybean,soyb,57.543470364413224,1.0624245237567615e-4,9.107806568755786e-5,9.280155996155886e-5
AFG,plant-dominant,efficient,sunflower meal,Sunflower seed,267,0.011672426747081185,0.006256730405881926,0.004841561806909861,Sunflower,sunf,118.5584940481931,9.84528931544663e-5,5.2773362685752515e-5,4.083690372232465e-5
AFG,plant-dominant,efficient,wheat,Wheat,15,0.022792438384195954,0.022792438384195954,0.022792438384195954,Wheat,whea,4665587.223991618,4.88522393644074e-9,4.88522393644074e-9,4.88522393644074e-9
AFG,plant-dominant,efficient,wheat gluten,Wheat,15,0.03436398402540314,0.03828869920594547,0.08778458573303259,Wheat,whea,4665587.223991618,7.365414550326041e-9,8.206619524559608e-9,1.8815334816081087e-8
AFG,plant-dominant,regular,canola oil,Rape or colza seed,270,1.1171195403559897e-5,0.018036500983773608,0.026957233580425597,Rapeseed,rape,55.10852646827698,2.0271264937542024e-7,3.272905689858402e-4,4.891662925508167e-4
AFG,plant-dominant,regular,coconut oil,"Coconuts, in shell",249,3.132371846723569e-4,6.37003694628972e-4,0.001128849158230009,CropsNES,cnut,3569646.8263646667,8.775018927890917e-11,1.7845006120050746e-10,3.1623553061119794e-10
AFG,plant-dominant,regular,corn gluten meal,Maize (corn),56,1.0137084317395012e-5,1.2762846220891612e-5,5.364403129556382e-6,Maize,maiz,214645.51093531883,4.7227096775621436e-11,5.946011246765632e-11,2.499191856461833e-11
AFG,plant-dominant,regular,faba beans,"Broad beans and horse beans, dry",181,0.7967219585119644,0.7967219585119644,0.7967219585119644,Pulses,opul,28531.185464742543,2.7924600591745996e-5,2.7924600591745996e-5,2.7924600591745996e-5
AFG,plant-dominant,regular,guar meal,Other pulses n.e.c.,211,1.4398841202224884,1.700057282093224,0.12600648346059176,Pulses,opul,28531.185464742543,5.046702745673948e-5,5.9585932179161376e-5,4.416447526034432e-6
AFG,plant-dominant,regular,linseed oil,Linseed,333,0.004170800574091929,0.006728945624349787,0.006109768395461542,CropsNES,ooil,3569646.8263646667,1.1684070657319e-9,1.885045202413639e-9,1.7115890430213059e-9
