iso3c_producing,diet,source_ingredient,SPAM_super.x,GAEZ_category,prop_produced_for_system_ms,prop_produced_for_system_ge,prop_produced_for_system_econ,SPAM_super.y,prop_extra_for_system_ms,prop_extra_for_system_ge,prop_extra_for_system_econ,total_prop_ms,total_prop_ge,total_prop_econ
AFG,fish-dominant,corn gluten meal,maiz,Maize,2.733014821355517e-10,3.44093496633178e-10,1.446273188795081e-10,maiz,1.03705233010513e-6,1.310785762292271e-6,3.893788295469809e-5,1.0373256315872656e-6,1.3111298557889043e-6,3.8938027582016964e-5
AFG,fish-dominant,faba beans,opul,Pulses,2.0868549649900878e-5,2.0868549649900878e-5,2.0868549649900878e-5,opul,1.344602919280793e-5,1.344676546113099e-5,1.3445578048821871e-5,3.431457884270881e-5,3.431531511103187e-5,3.431412769872275e-5
AFG,fish-dominant,soybean meal,soyb,Soybean,5.68381690862706e-5,4.296631351619371e-5,4.7975680959745515e-5,soyb,6.48707707990336e-7,4.4927005909834974e-7,-5.159416197423341e-5,5.748687679426093e-5,4.341558357529206e-5,-3.618481014487896e-6
AFG,fish-dominant,wheat,whea,Wheat,5.759174739512035e-9,5.759174739512035e-9,5.759174739512035e-9,whea,8.860656866804225e-22,8.860927132635517e-22,8.864336960402979e-22,5.759174739512921e-9,5.759174739512921e-9,5.7591747395129214e-9
AFG,fish-dominant,wheat gluten,whea,Wheat,1.0695610230522324e-8,1.1917157295782988e-8,2.7322493007630036e-8,whea,8.86883473908483e-22,-3.699158578034866e-21,-2.1941270485928603e-4,1.0695610230523211e-8,1.1917157295779288e-8,-2.193853823662784e-4
AFG,plant-dominant,canola oil,rape,Rapeseed,2.027126493754203e-7,3.1946463640346806e-7,3.397041028587045e-7,rape,0.0029617316349232806,0.006122678068674095,0.0057283419060269345,0.002961934347572656,0.006122997533310499,0.005728681610129793
AFG,plant-dominant,coconut oil,cnut,CropsNES,1.3589802200188262e-8,2.7636419411225812e-8,4.897514575174457e-8,cnut,-6.808329003753024e-24,-4.3664630208154285e-23,-6.367449114111101e-6,1.3589802200188256e-8,2.763641941122577e-8,-6.3184739683593564e-6
AFG,plant-dominant,corn gluten meal,maiz,Maize,4.7827759373721335e-11,6.021636191080635e-11,2.530978080391393e-11,maiz,1.6527238648993423e-7,2.1317548275480387e-7,6.797918208937761e-6,1.6532021424930796e-7,2.132356991167147e-7,6.797943518718565e-6
AFG,plant-dominant,faba beans,opul,Pulses,3.756338936982165e-5,3.756338936982165e-5,3.756338936982165e-5,opul,3.200492706876603e-5,3.2006679572322635e-5,3.200385323275361e-5,6.956831643858768e-5,6.957006894214428e-5,6.956724260257526e-5
AFG,plant-dominant,guar meal,opul,Pulses,4.486738174728701e-5,4.780568221514444e-5,2.0112964231542392e-5,opul,4.0176802279487605e-5,4.346658695334592e-5,2.5056293173005673e-4,8.504418402677461e-5,9.127226916849036e-5,2.7067589596159914e-4
AFG,plant-dominant,linseed oil,ooil,CropsNES,1.80950275356446e-7,2.919354550654224e-7,2.65072437265496e-7,ooil,-4.931102498961607e-24,2.6172737507034064e-21,8.016405931755892e-6,1.80950275356446e-7,2.91935455065425e-7,8.281478369021388e-6
AFG,plant-dominant,pea flour,opul,Pulses,3.0689043602795396e-5,3.0689043602795396e-5,3.0689043602795396e-5,opul,2.4313641343735585e-5,2.4314972693213035e-5,2.431282556735178e-5,5.5002684946530984e-5,5.500401629600843e-5,5.5001869170147175e-5
AFG,plant-dominant,pea protein concentrate,opul,Pulses,1.7599981632446524e-5,2.1840524249761526e-5,3.76986332164858e-5,opul,1.1331937283271946e-5,1.4414206911369451e-5,-1.0390646444480568e-4,2.8931918915718472e-5,3.625473116113098e-5,-6.620783122831988e-5
AFG,plant-dominant,soy oil,soyb,Soybean,1.3596349684100218e-6,2.3043433020319046e-6,2.248418330115435e-6,soyb,5.3772016997367965e-22,-7.533582343219019e-22,5.81847328800115e-7,1.3596349684100225e-6,2.3043433020319038e-6,2.83026565891555e-6
AFG,plant-dominant,soy protein concentrate,soyb,Soybean,8.598278456240067e-5,7.413488995282445e-5,7.548145140226113e-5,soyb,1.067462989567943e-6,8.970022447706117e-7,-1.3092288993599573e-5,8.705024755196862e-5,7.503189219759507e-5,6.238916240866155e-5
AFG,plant-dominant,sunflower meal,sunf,Sunflower,2.5551753133909086e-4,1.3696417567708873e-4,1.0598515180543663e-4,sunf,2.6337232417650225e-5,8.959581617219948e-6,4.200654189557732e-4,2.8185476375674107e-4,1.4592375729430867e-4,5.260505707612098e-4
AFG,plant-dominant,wheat,whea,Wheat,5.347805115261162e-9,5.347805115261162e-9,5.347805115261162e-9,whea,-2.0681115222268035e-21,-2.0681746033152777e-21,-2.068970470280979e-21,5.347805115259094e-9,5.347805115259094e-9,5.3478051152590935e-9
AFG,plant-dominant,wheat gluten,whea,Wheat,8.06284463531684e-9,8.98370319220563e-9,2.0596956267290344e-8,whea,3.000906197519116e-22,1.777869015835981e-21,-1.6540342477558098e-4,8.062844635317139e-9,8.983703192207409e-9,-1.653828278193137e-4
AGO,fish-dominant,corn gluten meal,maiz,Maize,2.733014821355517e-10,3.4409349663317905e-10,1.446273188795083e-10,maiz,1.0370523301051298e-6,1.3107857622922713e-6,3.893788295469809e-5,1.0373256315872654e-6,1.3111298557889045e-6,3.8938027582016964e-5
AGO,fish-dominant,wheat,whea,Wheat,5.75917473951203e-9,5.75917473951203e-9,5.75917473951203e-9,whea,8.860656866804225e-22,8.860927132635517e-22,8.86433696040298e-22,5.759174739512916e-9,5.759174739512916e-9,5.7591747395129165e-9
AGO,fish-dominant,wheat gluten,whea,Wheat,1.0695610230522353e-8,1.1917157295782997e-8,2.7322493007630096e-8,whea,8.86883473908483e-22,-3.699158578034866e-21,-2.19412704859286e-4,1.069561023052324e-8,1.1917157295779298e-8,-2.1938538236627837e-4
