"Species_ID","species","Habitat","Suitability"
NA,NA,NA,NA
56054,"Acanthixalus sonjae","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56055,"Acanthixalus spinosus","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56055,"Acanthixalus spinosus","14.6. Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest","Suitable"
55286,"Acris crepitans","1.4. Forest - Temperate","Suitable"
55286,"Acris crepitans","3.4. Shrubland - Temperate","Suitable"
55286,"Acris crepitans","15.9. Artificial/Aquatic - Canals and Drainage Channels, Ditches","Suitable"
55287,"Acris gryllus","1.4. Forest - Temperate","Suitable"
55287,"Acris gryllus","3.4. Shrubland - Temperate","Suitable"
55287,"Acris gryllus","15.9. Artificial/Aquatic - Canals and Drainage Channels, Ditches","Suitable"
57660,"Adelastes hylonomos","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56299,"Adelophryne adiastola","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56300,"Adelophryne baturitensis","1.5. Forest - Subtropical/Tropical Dry","Suitable"
56300,"Adelophryne baturitensis","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56300,"Adelophryne baturitensis","14.3. Artificial/Terrestrial - Plantations","Suitable"
56301,"Adelophryne gutturosa","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56301,"Adelophryne gutturosa","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
56302,"Adelophryne maranguapensis","1.5. Forest - Subtropical/Tropical Dry","Suitable"
56302,"Adelophryne maranguapensis","1.6. Forest - Subtropical/Tropical Moist Lowland","Marginal"
56302,"Adelophryne maranguapensis","14.3. Artificial/Terrestrial - Plantations","Suitable"
56303,"Adelophryne pachydactyla","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
56303,"Adelophryne pachydactyla","14.2. Artificial/Terrestrial - Pastureland","Suitable"
158609,"Adelophryne patamona","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
158609,"Adelophryne patamona","1.9. Forest - Subtropical/Tropical Moist Montane","Suitable"
520,"Adelotus brevis","1.5. Forest - Subtropical/Tropical Dry","Suitable"
520,"Adelotus brevis","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
520,"Adelotus brevis","14.4. Artificial/Terrestrial - Rural Gardens","Suitable"
520,"Adelotus brevis","14.5. Artificial/Terrestrial - Urban Areas","Suitable"
55179,"Adelphobates castaneoticus","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55185,"Adelphobates galactonotus","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
55197,"Adelphobates quinquevittatus","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
158471,"Adenomera ajurauna","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
158471,"Adenomera ajurauna","14.3. Artificial/Terrestrial - Plantations","Suitable"
56304,"Adenomera andreae","1.6. Forest - Subtropical/Tropical Moist Lowland","Suitable"
