Abditomys latidens
Abeillia abeillei
Abeomelomys sevia
Ablepharus bivittatus
Ablepharus budaki
Ablepharus chernovi
Ablepharus darvazi
Ablepharus deserti
Ablepharus grayanus
Ablepharus kitaibelii
Ablepharus pannonicus
Ablepharus rueppellii
Abrawayaomys chebezi
Abrawayaomys ruschii
Abrocoma bennettii
Abrocoma cinerea
Abrocoma famatina
Abrocoma shistacea
Abronia bogerti
Abronia chiszari
Abronia deppii
Abronia fimbriata
Abronia fuscolabialis
Abronia gaiophantasma
Abronia graminea
Abronia leurolepis
Abronia lythrochila
Abronia martindelcampoi
Abronia matudai
Abronia mitchelli
Abronia mixteca
Abronia montecristoi
Abronia oaxacae
Abronia ochoterenai
Abronia ornelasi
Abronia ramirezi
Abronia reidi
Abronia smithi
Abronia taeniata
Abronia vasconcelosii
Abroscopus albogularis
Abroscopus schisticeps
Abroscopus superciliaris
Abrothrix andinus
Abrothrix illutea
Abrothrix jelskii
Abrothrix lanosus
Abrothrix longipilis
Abrothrix manni
Abrothrix olivaceus
Abrothrix sanborni
Aburria aburri
Acanthagenys rufogularis
Acanthidops bairdi
Acanthis flammea
Acanthisitta chloris
Acanthixalus sonjae
Acanthixalus spinosus
Acanthiza apicalis
Acanthiza chrysorrhoa
Acanthiza cinerea
Acanthiza ewingii
Acanthiza inornata
Acanthiza iredalei
Acanthiza katherina
Acanthiza lineata
Acanthiza murina
Acanthiza nana
Acanthiza pusilla
Acanthiza reguloides
Acanthiza robustirostris
Acanthiza uropygialis
Acanthocercus adramitanus
Acanthocercus annectans
Acanthocercus atricollis
Acanthocercus branchi
Acanthocercus cyanocephalus
Acanthocercus cyanogaster
Acanthocercus gregorii
Acanthocercus guentherpetersi
Acanthocercus kiwuensis
Acanthocercus minutus
Acanthocercus phillipsii
Acanthocercus ugandaensis
Acanthocercus yemensis
Acanthochelys macrocephala
Acanthodactylus ahmaddisii
Acanthodactylus arabicus
Acanthodactylus aureus
Acanthodactylus bedriagai
Acanthodactylus beershebensis
Acanthodactylus blanci
Acanthodactylus blanfordii
Acanthodactylus boskianus
Acanthodactylus boueti
Acanthodactylus busacki
Acanthodactylus cantoris
Acanthodactylus dumerilii
Acanthodactylus erythrurus
Acanthodactylus felicis
Acanthodactylus gongrorhynchatus
Acanthodactylus grandis
Acanthodactylus guineensis
Acanthodactylus haasi
Acanthodactylus longipes
Acanthodactylus maculatus
Acanthodactylus masirae
Acanthodactylus mechriguensis
Acanthodactylus micropholis
Acanthodactylus opheodurus
Acanthodactylus orientalis
Acanthodactylus pardalis
Acanthodactylus robustus
Acanthodactylus savignyi
Acanthodactylus schmidti
Acanthodactylus scutellatus
Acanthodactylus senegalensis
Acanthodactylus spinicauda
Acanthodactylus taghitensis
Acanthodactylus tilburyi
Acanthodactylus tristrami
Acanthodactylus yemenicus
Acanthophis antarcticus
Acanthophis cryptamydros
Acanthophis hawkei
Acanthophis praelongus
Acanthophis pyrrhus
Acanthophis rugosus
Acanthophis wellsi
Acanthoptila nipalensis
Acanthorhynchus superciliosus
Acanthorhynchus tenuirostris
Acanthornis magna
Acanthosaura armata
Acanthosaura brachypoda
Acanthosaura capra
Acanthosaura cardamomensis
Acanthosaura coronata
Acanthosaura crucigera
Acanthosaura lepidogaster
Acanthosaura nataliae
Acanthosaura phuketensis
Accipiter albogularis
Accipiter badius
Accipiter bicolor
Accipiter brachyurus
Accipiter brevipes
Accipiter butleri
Accipiter castanilius
Accipiter collaris
Accipiter cooperii
Accipiter erythrauchen
Accipiter erythropus
Accipiter francesiae
Accipiter gentilis
Accipiter griseiceps
Accipiter gularis
Accipiter gundlachi
Accipiter haplochrous
Accipiter henicogrammus
Accipiter henstii
Accipiter hiogaster
Accipiter imitator
Accipiter luteoschistaceus
Accipiter madagascariensis
Accipiter melanochlamys
Accipiter melanoleucus
Accipiter meyerianus
Accipiter minullus
Accipiter nanus
Accipiter nisus
Accipiter novaehollandiae
Accipiter ovampensis
Accipiter poliocephalus
Accipiter poliogaster
Accipiter princeps
Accipiter rhodogaster
Accipiter rufiventris
Accipiter soloensis
Accipiter striatus
Accipiter superciliosus
Accipiter sylvestris
Accipiter tachiro
Accipiter toussenelii
Accipiter trinotatus
Accipiter trivirgatus
Accipiter virgatus
Acerodon celebensis
Acerodon humilis
Acerodon jubatus
Acerodon leucotis
Acerodon mackloti
Aceros nipalensis
Achaetops pycnopygius
Achalinus ater
Achalinus formosanus
Achalinus hainanus
Achalinus meiguensis
Achalinus niger
Achalinus rufescens
Achalinus spinalis
Achalinus werneri
Acinonyx jubatus
Acomys airensis
Acomys cahirinus
Acomys cineraceus
Acomys dimidiatus
Acomys ignitus
Acomys johannis
Acomys kempi
Acomys louisae
Acomys minous
Acomys mullah
Acomys muzei
Acomys nesiotes
Acomys ngurui
Acomys percivali
Acomys russatus
Acomys selousi
Acomys seurati
Acomys spinosissimus
Acomys subspinosus
Acomys wilsoni
Aconaemys fuscus
Aconaemys porteri
Aconaemys sagei
Acontias aurantiacus
Acontias bicolor
Acontias breviceps
Acontias cregoi
Acontias fitzsimonsi
Acontias gracilicauda
Acontias grayi
Acontias jappi
Acontias kgalagadi
Acontias lineatus
Acontias lineicauda
Acontias litoralis
Acontias meleagris
Acontias namaquensis
Acontias occidentalis
Acontias orientalis
Acontias parietalis
Acontias percivali
Acontias plumbeus
Acontias richardi
Acontias rieppeli
Acontias schmitzi
Acontias tristis
Acontias wakkerstroomensis
Acrantophis dumerili
Acrantophis madagascariensis
Acratosaura mentalis
Acratosaura spinosa
