"species","total_hab_area"
"aaptos aaptos",1283800
"aaptos bergmanni",863400
"aaptos duchassaingi",954700
"aaptos pernucleata",1039900
"aaptos suberitoides",2928900
"aatolana schioedtei",1748800
"abalistes filamentosus",6965400
"abalistes stellaris",10772700
"abalistes stellatus",6667900
"abdopus aculeatus",2826300
"abdopus horridus",1011200
"abietinaria abietina",11645700
"abietinaria filicula",3408600
"abietinaria pulchra",3016500
"abietinella operculata",4251500
"ablabys taenianotus",8217100
"ablennes hians",6574300
"abra aequalis",509900
"abra alba",1958000
"abra lioica",2522400
"abralia andamanica",8618500
"abralia astrosticta",4845900
"abralia heminuchalis",222800
"abralia redfieldi",5664800
"abralia veranyi",6006100
"abraliopsis atlantica",5375200
"abraliopsis felis",263900
"abraliopsis hoylei",16336500
"abraliopsis morisii",3434300
"abraliopsis pfefferi",3372300
"abudefduf abdominalis",34300
"abudefduf bengalensis",3247300
"abudefduf concolor",238500
"abudefduf declivifrons",174700
"abudefduf lorenzi",1997000
"abudefduf notatus",4183200
"abudefduf saxatilis",1596400
"abudefduf septemfasciatus",3931700
"abudefduf sexfasciatus",5093900
"abudefduf sordidus",4347600
"abudefduf sparoides",331500
"abudefduf taurus",1015000
"abudefduf troschelii",282500
"abudefduf vaigiensis",5141100
"abudefduf whitleyi",325600
"abyla haeckeli",15886800
"abylopsis eschscholtzi",11849900
"abylopsis tetragona",13637900
"abyssascidia millari",10915000
"abyssobrotula galatheae",210621700
"abyssorchomene nodimanus",914400
"abyssorchomene plebs",1693100
"abyssorchomene rossi",1761300
"abyssothyris wyvillei",26186700
"acalyptophis peronii",5442800
"acanella arbuscula",5626400
"acanella eburnea",2057100
"acanthacaris caeca",1223000
"acanthacaris tenuimana",7529500
"acanthaluteres brownii",158500
"acanthaluteres spilomelanurus",363000
"acanthaluteres vittiger",358600
"acanthaphritis barbata",1789500
"acanthaphritis grandisquamis",1194500
"acantharctus ornatus",1864400
"acanthaster planci",5916600
"acanthastrea bowerbanki",3924300
"acanthastrea brevis",4030900
"acanthastrea echinata",5238100
"acanthastrea faviaformis",3118500
"acanthastrea hemprichii",4426900
"acanthastrea hillae",3832200
"acanthastrea ishigakiensis",5254000
"acanthastrea lordhowensis",4987900
"acanthastrea maxima",229400
"acanthastrea regularis",3500400
"acanthastrea rotundoflora",4793300
"acanthella cavernosa",3183600
"acanthella costata",2165300
"acanthella cubensis",1189500
"acanthella mastophora",1244500
"acanthemblemaria aspera",271900
"acanthemblemaria balanorum",57000
"acanthemblemaria castroi",18800
"acanthemblemaria chaplini",678200
"acanthemblemaria crockeri",74500
"acanthemblemaria exilispinus",55500
"acanthemblemaria hancocki",139500
"acanthemblemaria hastingsi",44400
"acanthemblemaria macrospilus",89200
"acanthemblemaria maria",179200
"acanthemblemaria spinosa",324900
"acanthephyra acutifrons",6026200
"acanthephyra armata",12058600
"acanthephyra brevirostris",30003600
"acanthephyra carinata",7467100
"acanthephyra cucullata",11720700
"acanthephyra curtirostris",196358500
"acanthephyra eximia",46414200
"acanthephyra pelagica",62504800
"acanthephyra purpurea",5375600
"acanthephyra quadrispinosa",8362200
"acanthephyra sica",303300
"acanthephyra smithi",66703400
"acanthephyra stylorostratis",70131800
"acanthilia intermedia",1411900
"acanthina monodon",65200
"acanthistius brasilianus",584600
"acanthistius ocellatus",47900
"acanthistius sebastoides",41000
"acanthistius serratus",112400
"acanthocardia aculeata",954400
"acanthocardia deshayesii",458600
"acanthocardia echinata",2251700
"acanthocardia paucicostata",663600
"acanthocardia spinosa",532100
"acanthocardia tuberculata",1110500
"acanthocarpus alexandri",2773100
"acanthocepola abbreviata",5757700
"acanthocepola krusensternii",434600
"acanthocepola limbata",2607800
"acanthochaenus luetkenii",43740700
"acanthochaetetes wellsi",742500
"acanthochitona fascicularis",1083500
"acanthochitona hemphilli",865900
"acanthochitona lineata",935900
"acanthochitona pygmaea",1042700
"acanthochitona spiculosa",701500
"acanthochitona zebra",863800
"acanthochromis polyacanthus",2369300
"acanthoclinus fuscus",63600
"acanthocybium solandri",162520700
"acanthocyclus albatrossis",281600
"acanthodasys aculeatus",3117400
"acanthodoris pilosa",1961900
"acanthogobius flavimanus",165500
"acanthogorgia aspera",2160300
"acanthohaustorius intermedius",791200
"acanthohaustorius millsi",154400
"acanthohaustorius pansus",269000
"acanthohaustorius shoemakeri",1245400
"acanthohaustorius uncinus",580900
"acantholabrus palloni",1880500
"acantholithodes hispidus",740600
"acantholobulus bermudensis",1242500
"acantholumpenus mackayi",2062600
"acanthomenia arcuata",958100
"acanthomysis longicornis",846400
"acanthonotozomoides oatesi",1771600
"acanthonus armatus",63098900
"acanthonyx petiverii",1134400
"acanthopagrus australis",176900
"acanthopagrus bifasciatus",497100
"acanthopagrus butcheri",418700
"acanthopagrus latus",298100
"acanthopagrus palmaris",207700
"acanthopagrus schlegelii",465700
"acanthophora spicifera",7443400
"acanthoplesiops hiatti",1953100
"acanthoplesiops indicus",731900
"acanthoplesiops psilogaster",972300
"acanthopleura gemmata",3953100
"acanthopleura granulata",636500
"acanthopleura spinosa",2374900
"acanthopsetta nadeshnyi",1718400
"acanthosphex leurynnis",6711500
"acanthosquilla acanthocarpus",5509100
"acanthosquilla derijardi",4038800
"acanthosquilla multifasciata",8840900
"acanthostepheia malmgreni",2388300
"acanthostracion guineensis",266800
"acanthostracion notacanthus",312100
"acanthostracion polygonius",1282400
"acanthostracion quadricornis",2188900
"acanthostrongylophora ingens",934000
"acanthurus achilles",650500
"acanthurus albipectoralis",318000
"acanthurus auranticavus",3476600
"acanthurus bahianus",260000
"acanthurus blochii",3672100
"acanthurus chirurgus",1747100
"acanthurus coeruleus",1351400
"acanthurus dussumieri",7171500
"acanthurus fowleri",3317600
"acanthurus gahhm",423100
"acanthurus grammoptilus",993600
"acanthurus guttatus",1884500
"acanthurus japonicus",3864100
"acanthurus leucocheilus",1163000
"acanthurus leucopareius",1567000
"acanthurus leucosternon",1466400
"acanthurus lineatus",4079200
"acanthurus maculiceps",1915900
"acanthurus mata",5533400
"acanthurus monroviae",355600
"acanthurus nigricans",6522500
"acanthurus nigricauda",3249700
"acanthurus nigrofuscus",4662600
"acanthurus nigroris",2468700
"acanthurus nubilus",2756600
"acanthurus olivaceus",4297000
"acanthurus polyzona",89900
"acanthurus pyroferus",4653000
"acanthurus sohal",890000
"acanthurus tennentii",1070600
"acanthurus thompsoni",6330500
"acanthurus triostegus",8315900
"acanthurus tristis",583300
"acanthurus xanthopterus",8437400
"acar domingensis",7061300
"acar plicata",5505800
"acar sandersonae",291900
"acarnus erithacus",2632600
"acarnus innominatus",1062500
"acartia danae",7345100
"acartia erythraea",2679600
"acartia longiremis",3476200
"acartia negligens",3763300
"acartia spinata",2333200
"acartia tonsa",3351400
"acasta cyathus",7269100
"acasta japonica",9812000
"acasta spongites",3157300
"acasta sulcata",6351000
"acaudina molpadioides",7634700
"acaulis primarius",2027100
"accalathura crenulata",1254400
"acentrogobius audax",3188500
"acentrogobius caninus",4668600
"acentrogobius cyanomos",4659800
"acentrogobius janthinopterus",3517300
"acentrogobius moloanus",3917600
"acentrogobius multifasciatus",1893000
"acentrogobius nebulosus",4057000
"acentrogobius suluensis",2480300
"acentrogobius viridipunctatus",5486700
"acentronura breviperula",4585700
"acentronura tentaculata",4704600
"aceroides latipes",5726100
"acesta maui",359000
"acesta patagonica",1348300
"acesta philippinensis",1106600
"acesta rathbuni",5707400
