Abditomys latidens
Abeillia abeillei
Abeomelomys sevia
Abrawayaomys chebezi
Abrawayaomys ruschii
Abrocoma bennettii
Abrocoma cinerea
Abrocoma famatina
Abrocoma shistacea
Abroscopus albogularis
Abroscopus schisticeps
Abroscopus superciliaris
Abrothrix andinus
Abrothrix illutea
Abrothrix jelskii
Abrothrix lanosus
Abrothrix longipilis
Abrothrix manni
Abrothrix sanborni
Aburria aburri
Acanthagenys rufogularis
Acanthidops bairdi
Acanthis flammea
Acanthisitta chloris
Acanthiza apicalis
Acanthiza chrysorrhoa
Acanthiza cinerea
Acanthiza ewingii
Acanthiza inornata
Acanthiza iredalei
Acanthiza katherina
Acanthiza lineata
Acanthiza murina
Acanthiza nana
Acanthiza pusilla
Acanthiza reguloides
Acanthiza robustirostris
Acanthiza uropygialis
Acanthorhynchus superciliosus
Acanthorhynchus tenuirostris
Acanthornis magna
Accipiter albogularis
Accipiter badius
Accipiter bicolor
Accipiter brachyurus
Accipiter brevipes
Accipiter castanilius
Accipiter cirrocephalus
Accipiter collaris
Accipiter cooperii
Accipiter erythrauchen
Accipiter erythropus
Accipiter fasciatus
Accipiter francesiae
Accipiter gentilis
Accipiter griseiceps
Accipiter gularis
Accipiter gundlachi
Accipiter haplochrous
Accipiter henicogrammus
Accipiter henstii
Accipiter hiogaster
Accipiter imitator
Accipiter luteoschistaceus
Accipiter madagascariensis
Accipiter melanochlamys
Accipiter melanoleucus
Accipiter meyerianus
Accipiter minullus
Accipiter nanus
Accipiter nisus
Accipiter novaehollandiae
Accipiter ovampensis
Accipiter poliocephalus
Accipiter poliogaster
Accipiter princeps
Accipiter rhodogaster
Accipiter rufitorques
Accipiter rufiventris
Accipiter soloensis
Accipiter striatus
Accipiter superciliosus
Accipiter sylvestris
Accipiter tachiro
Accipiter toussenelii
Accipiter trinotatus
Accipiter trivirgatus
Accipiter virgatus
Acerodon celebensis
Acerodon jubatus
Acerodon leucotis
Acerodon mackloti
Aceros nipalensis
Achaetops pycnopygius
Acinonyx jubatus
Acomys airensis
Acomys cahirinus
Acomys cineraceus
Acomys dimidiatus
Acomys ignitus
Acomys johannis
Acomys kempi
Acomys louisae
Acomys minous
Acomys mullah
Acomys muzei
Acomys ngurui
Acomys percivali
Acomys russatus
Acomys selousi
Acomys seurati
Acomys spinosissimus
Acomys subspinosus
Acomys wilsoni
Aconaemys fuscus
Aconaemys porteri
Aconaemys sagei
Acridotheres albocinctus
Acridotheres burmannicus
Acridotheres cinereus
Acridotheres cristatellus
Acridotheres fuscus
Acridotheres ginginianus
Acridotheres grandis
Acridotheres javanicus
Acridotheres leucocephalus
Acridotheres tricolor
Acridotheres tristis
Acritillas indica
Acrobates pygmaeus
Acrobatornis fonsecai
Acrocephalus agricola
Acrocephalus arundinaceus
Acrocephalus australis
Acrocephalus bistrigiceps
Acrocephalus brevipennis
Acrocephalus concinens
Acrocephalus dumetorum
Acrocephalus gracilirostris
Acrocephalus griseldis
Acrocephalus melanopogon
Acrocephalus newtoni
Acrocephalus orientalis
Acrocephalus orinus
Acrocephalus paludicola
Acrocephalus palustris
Acrocephalus rufescens
Acrocephalus schoenobaenus
Acrocephalus scirpaceus
Acrocephalus sorghophilus
Acrocephalus stentoreus
Acrocephalus tangorum
Acropternis orthonyx
Acryllium vulturinum
Actenoides bougainvillei
Actenoides capucinus
Actenoides concretus
Actenoides excelsus
Actenoides hombroni
Actenoides lindsayi
Actenoides monachus
Actenoides princeps
Actenoides regalis
Actinodura egertoni
Actinodura radcliffei
Actinodura ramsayi
Actinodura sodangorum
Actitis hypoleucos
Actitis macularius
Actophilornis africanus
Actophilornis albinucha
Addax nasomaculatus
Adelomyia melanogenys
Aechmophorus clarkii
Aechmophorus occidentalis
Aegialomys xanthaeolus
Aegithalos annamensis
Aegithalos bonvaloti
Aegithalos caudatus
Aegithalos concinnus
Aegithalos fuliginosus
Aegithalos glaucogularis
Aegithalos iouschistos
Aegithalos iredalei
Aegithalos leucogenys
Aegithalos niveogularis
Aegithina lafresnayei
Aegithina nigrolutea
Aegithina tiphia
Aegithina viridissima
Aegolius acadicus
Aegolius funereus
Aegolius harrisii
Aegolius ridgwayi
Aegotheles affinis
Aegotheles albertisi
Aegotheles archboldi
Aegotheles bennettii
Aegotheles crinifrons
Aegotheles cristatus
Aegotheles insignis
Aegotheles tatei
Aegotheles wallacii
Aegypius monachus
Aepeomys lugens
Aepeomys reigi
Aepyceros melampus
Aepypodius arfakianus
Aepypodius bruijnii
Aepyprymnus rufescens
Aeretes melanopterus
Aerodramus brevirostris
Aerodramus francicus
Aerodramus fuciphagus
Aerodramus hirundinaceus
Aerodramus infuscatus
Aerodramus maximus
Aerodramus mearnsi
Aerodramus nuditarsus
Aerodramus orientalis
Aerodramus papuensis
Aerodramus salangana
Aerodramus spodiopygius
Aerodramus terraereginae
Aerodramus unicolor
Aerodramus vanikorensis
Aerodramus vulcanorum
Aerodramus whiteheadi
Aeromys tephromelas
Aeromys thomasi
Aeronautes andecolus
Aeronautes montivagus
Aeronautes saxatalis
Aethalops aequalis
Aethalops alecto
Aethia cristatella
Aethomys bocagei
Aethomys chrysophilus
Aethomys hindei
Aethomys ineptus
Aethomys kaiseri
Aethomys nyikae
Aethomys silindensis
Aethomys stannarius
Aethomys thomasi
Aethopyga bella
Aethopyga boltoni
Aethopyga christinae
Aethopyga eximia
Aethopyga flagrans
Aethopyga gouldiae
Aethopyga guimarasensis
Aethopyga ignicauda
Aethopyga latouchii
Aethopyga linaraborae
Aethopyga magnifica
