"species","genus","depth_position","source","DepthPrefMin","DepthPrefMax","SpeciesID","SpecCode"
"argentina sphyraena","argentina","benthic","fishbase",129,339,"Fis-29289",20
"eustomias dendriticus","eustomias","pelagic","fishbase",299,552,"Fis-34804",11743
"coryphaena equiselis","coryphaena","pelagic","fishbase",46,183,"Fis-29358",7
"crystallogobius linearis","crystallogobius","benthic","fishbase",47,184,"Fis-22751",60
"acanthocybium solandri","acanthocybium","pelagic","fishbase",0,12,"Fis-22735",89
"allothunnus fallai","allothunnus","pelagic","fishbase",2,11,"Fis-29265",91
"lutjanus monostigma","lutjanus","reef","fishbase",7,31,"Fis-22790",166
"lutjanus notatus","lutjanus","reef","fishbase",14,31,"Fis-22791",168
"paracaesio xanthura","paracaesio","reef","fishbase",32,120,"Fis-47262",194
"chaetodon zanzibarensis","chaetodon","reef","fishbase",6,22,"Fis-59414",8933
"lutjanus gibbus","lutjanus","reef","fishbase",17,73,"Fis-22894",265
"anguilla japonica","anguilla","benthic","fishbase",47,184,"Fis-29274",295
"selar crumenophthalmus","selar","reef","fishbase",2,10,"Fis-22954",387
"archosargus probatocephalus","archosargus","reef","fishbase",18,33,"Fis-23013",441
"entomacrodus marmoratus","entomacrodus","benthic","fishbase",0,1,"Fis-26711",7831
"macropharyngodon bipartitus","macropharyngodon","reef","fishbase",4,16,"Fis-57940",7801
"zoarces viviparus","zoarces","benthic","fishbase",2,20,"Fis-23316",479
"chaetodon guttatissimus","chaetodon","reef","fishbase",5,17,"Fis-32530",7791
"heniochus diphreutes","heniochus","reef","fishbase",5,30,"Fis-32521",7769
"lepidopus caudatus","lepidopus","benthopelagic","fishbase",100,300,"Fis-23173",645
"centroscyllium nigrum","centroscyllium","benthopelagic","fishbase",382,662,"Fis-29326",660
"cirrhigaleus barbifer","cirrhigaleus","benthic","fishbase",200,370,"Fis-29340",668
"zameus squamulosus","zameus","benthopelagic","fishbase",400,900,"Fis-61628",701
"squaliolus laticaudus","squaliolus","pelagic","fishbase",326,634,"Fis-29531",705
"squatina aculeata","squatina","benthic","fishbase",85,243,"Fis-29538",725
"odontaspis noronhai","odontaspis","pelagic","fishbase",178,469,"Fis-23199",750
"apristurus longicephalus","apristurus","benthic","fishbase",710,806,"Fis-29282",771
"scyliorhinus canicula","scyliorhinus","benthic","fishbase",80,100,"Fis-23251",845
"carcharhinus albimarginatus","carcharhinus","reef","fishbase",20,352,"Fis-23044",858
"carcharhinus obscurus","carcharhinus","reef","fishbase",200,400,"Fis-23064",878
"sphyrna tiburo","sphyrna","reef","fishbase",10,25,"Fis-23275",915
"ariopsis felis","ariopsis","reef","fishbase",2,11,"Fis-204",947
"lagocephalus laevigatus","lagocephalus","pelagic","fishbase",28,92,"Fis-23579",1239
"prionotus punctatus","prionotus","benthic","fishbase",18,70,"Fis-23745",1245
"macrodontogobius wilburi","macrodontogobius","reef","fishbase",1,10,"Fis-29769",1246
"hypanus guttatus","hypanus","benthic","fishbase",4,19,"Fis-172356",1248
"acanthurus lineatus","acanthurus","reef","fishbase",1,3,"Fis-23320",1258
"acanthurus tennentii","acanthurus","reef","fishbase",3,25,"Fis-4576",1259
