"sciname","taxon","category","id"
"aaptos aaptos","Sponges","NE",1
"aaptos bergmanni","Sponges","NE",2
"aaptos duchassaingi","Sponges","NE",3
"aaptos pernucleata","Sponges","NE",4
"aaptos suberitoides","Sponges","NE",5
"aatolana schioedtei","Arthropods","NE",6
"abalistes filamentosus","Finfish","LC",7
"abalistes stellaris","Finfish","NE",8
"abalistes stellatus","Finfish","LC",9
"abditomys latidens","Terrestrial mammals","DD",10
"abdopus aculeatus","Cephalopods","LC",11
"abdopus horridus","Cephalopods","DD",12
"abeillia abeillei","Birds","LC",13
"abeomelomys sevia","Terrestrial mammals","LC",14
"abietinaria abietina","Cnidaria","NE",15
"abietinaria filicula","Cnidaria","NE",16
"abietinaria pulchra","Cnidaria","NE",17
"abietinella operculata","Cnidaria","NE",18
"ablabys taenianotus","Finfish","NE",19
"ablennes hians","Finfish","LC",20
"ablepharus bivittatus","Reptiles","LC",21
"ablepharus budaki","Reptiles","LC",22
"ablepharus chernovi","Reptiles","LC",23
"ablepharus darvazi","Reptiles","DD",24
"ablepharus deserti","Reptiles","LC",25
"ablepharus grayanus","Reptiles","LC",26
"ablepharus kitaibelii","Reptiles","LC",27
"ablepharus pannonicus","Reptiles","LC",28
"ablepharus rueppellii","Reptiles","LC",29
"abra aequalis","Molluscs","NE",30
"abra alba","Molluscs","NE",31
"abra lioica","Molluscs","NE",32
"abralia andamanica","Cephalopods","LC",33
"abralia astrosticta","Cephalopods","LC",34
"abralia heminuchalis","Cephalopods","DD",35
"abralia redfieldi","Cephalopods","LC",36
"abralia veranyi","Cephalopods","LC",37
"abraliopsis atlantica","Cephalopods","DD",38
"abraliopsis felis","Cephalopods","LC",39
"abraliopsis hoylei","Cephalopods","DD",40
"abraliopsis morisii","Cephalopods","NE",41
"abraliopsis pfefferi","Molluscs","NE",42
"abrawayaomys chebezi","Terrestrial mammals","DD",43
"abrawayaomys ruschii","Terrestrial mammals","LC",44
"abrocoma bennettii","Terrestrial mammals","LC",45
"abrocoma cinerea","Terrestrial mammals","LC",46
"abrocoma famatina","Terrestrial mammals","DD",47
"abrocoma shistacea","Terrestrial mammals","LC",48
"abronia bogerti","Reptiles","DD",49
"abronia chiszari","Reptiles","EN",50
"abronia deppii","Reptiles","EN",51
"abronia fimbriata","Reptiles","EN",52
"abronia fuscolabialis","Reptiles","EN",53
"abronia gaiophantasma","Reptiles","EN",54
"abronia graminea","Reptiles","EN",55
"abronia leurolepis","Reptiles","DD",56
"abronia lythrochila","Reptiles","LC",57
"abronia martindelcampoi","Reptiles","EN",58
"abronia matudai","Reptiles","EN",59
"abronia mitchelli","Reptiles","DD",60
"abronia mixteca","Reptiles","VU",61
"abronia montecristoi","Reptiles","EN",62
"abronia oaxacae","Reptiles","VU",63
"abronia ochoterenai","Reptiles","DD",64
"abronia ornelasi","Reptiles","DD",65
"abronia ramirezi","Reptiles","DD",66
"abronia reidi","Reptiles","DD",67
"abronia smithi","Reptiles","LC",68
"abronia taeniata","Reptiles","VU",69
"abronia vasconcelosii","Reptiles","VU",70
"abroscopus albogularis","Birds","LC",71
"abroscopus schisticeps","Birds","LC",72
"abroscopus superciliaris","Birds","LC",73
"abrothrix andinus","Terrestrial mammals","LC",74
"abrothrix illutea","Terrestrial mammals","LC",75
"abrothrix jelskii","Terrestrial mammals","LC",76
"abrothrix lanosus","Terrestrial mammals","LC",77
"abrothrix longipilis","Terrestrial mammals","LC",78
"abrothrix manni","Terrestrial mammals","LC",79
"abrothrix olivaceus","Terrestrial mammals","LC",80
"abrothrix sanborni","Terrestrial mammals","NT",81
"abudefduf abdominalis","Finfish","LC",82
"abudefduf bengalensis","Finfish","LC",83
"abudefduf concolor","Finfish","LC",84
"abudefduf declivifrons","Finfish","LC",85
"abudefduf lorenzi","Finfish","LC",86
"abudefduf notatus","Finfish","LC",87
"abudefduf saxatilis","Finfish","LC",88
"abudefduf septemfasciatus","Finfish","LC",89
"abudefduf sexfasciatus","Finfish","LC",90
"abudefduf sordidus","Finfish","LC",91
"abudefduf sparoides","Finfish","LC",92
"abudefduf taurus","Finfish","LC",93
"abudefduf troschelii","Finfish","LC",94
"abudefduf vaigiensis","Finfish","LC",95
"abudefduf whitleyi","Finfish","LC",96
"aburria aburri","Birds","LC",97
"abyla haeckeli","Cnidaria","NE",98
"abylopsis eschscholtzi","Cnidaria","NE",99
"abylopsis tetragona","Cnidaria","NE",100
"abyssascidia millari","Molluscs","NE",101
"abyssobrotula galatheae","Finfish","LC",102
"abyssorchomene nodimanus","Arthropods","NE",103
"abyssorchomene plebs","Arthropods","NE",104
"abyssorchomene rossi","Arthropods","NE",105
"abyssothyris wyvillei","Molluscs","NE",106
"acalyptophis peronii","Reptiles","NE",107
"acanella arbuscula","Cnidaria","NE",108
"acanella eburnea","Cnidaria","NE",109
"acanthacaris caeca","Arthropods","LC",110
"acanthacaris tenuimana","Arthropods","LC",111
"acanthagenys rufogularis","Birds","LC",112
"acanthaluteres brownii","Finfish","LC",113
"acanthaluteres spilomelanurus","Finfish","LC",114
"acanthaluteres vittiger","Finfish","LC",115
"acanthaphritis barbata","Finfish","NE",116
"acanthaphritis grandisquamis","Finfish","NE",117
"acantharctus ornatus","Arthropods","LC",118
"acanthaster planci","Echinoderms","NE",119
"acanthastrea bowerbanki","Cnidaria","NE",120
"acanthastrea brevis","Cnidaria","VU",121
"acanthastrea echinata","Cnidaria","LC",122
"acanthastrea faviaformis","Cnidaria","NE",123
"acanthastrea hemprichii","Cnidaria","VU",124
"acanthastrea hillae","Cnidaria","NT",125
"acanthastrea ishigakiensis","Cnidaria","NE",126
"acanthastrea lordhowensis","Cnidaria","NE",127
"acanthastrea maxima","Cnidaria","NE",128
"acanthastrea regularis","Cnidaria","NE",129
"acanthastrea rotundoflora","Cnidaria","NT",130
"acanthella cavernosa","Sponges","NE",131
"acanthella costata","Sponges","NE",132
"acanthella cubensis","Sponges","NE",133
"acanthella mastophora","Sponges","NE",134
"acanthemblemaria aspera","Finfish","LC",135
"acanthemblemaria balanorum","Finfish","LC",136
"acanthemblemaria castroi","Finfish","VU",137
"acanthemblemaria chaplini","Finfish","LC",138
"acanthemblemaria crockeri","Finfish","LC",139
"acanthemblemaria exilispinus","Finfish","LC",140
"acanthemblemaria hancocki","Finfish","LC",141
"acanthemblemaria hastingsi","Finfish","LC",142
"acanthemblemaria macrospilus","Finfish","LC",143
