"sciname","total_hab_area"
"Acanthixalus sonjae",4200
"Acanthixalus spinosus",1035000
"Acris gryllus",328600
"Adelastes hylonomos",100
"Adelophryne adiastola",217500
"Adelophryne baturitensis",100
"Adelophryne gutturosa",238900
"Adelophryne maranguapensis",100
"Adelophryne pachydactyla",5500
"Adelotus brevis",233500
"Adelphobates castaneoticus",17200
"Adelphobates galactonotus",390000
"Adelphobates quinquevittatus",1327300
"Adenomera ajurauna",100
"Adenomera andreae",5174600
"Adenomera araucaria",4000
"Adenomera bokermanni",104500
"Adenomera diptyx",404700
"Adenomera heyeri",202600
"Adenomera hylaedactyla",6384400
"Adenomera lutzi",3000
"Adenomera marmorata",81000
"Adenomera nana",7500
"Adenomera thomei",2800
"Adenomus kandianus",200
"Adenomus kelaartii",5000
"Afrixalus aureus",45400
"Afrixalus brachycnemis",277700
"Afrixalus clarkei",900
"Afrixalus crotalus",124500
"Afrixalus delicatus",497100
"Afrixalus dorsalis",50400
"Afrixalus dorsimaculatus",2600
"Afrixalus enseticola",2300
"Afrixalus equatorialis",534200
"Afrixalus fornasini",839600
"Afrixalus fulvovittatus",21100
"Afrixalus knysnae",1600
"Afrixalus lacteus",600
"Afrixalus laevis",1143000
"Afrixalus leucostictus",51400
"Afrixalus morerei",2700
"Afrixalus nigeriensis",147100
"Afrixalus orophilus",200
"Afrixalus osorioi",35700
"Afrixalus paradorsalis",418700
"Afrixalus quadrivittatus",1954300
"Afrixalus septentrionalis",32800
"Afrixalus spinifrons",12100
"Afrixalus stuhlmanni",44900
"Afrixalus sylvaticus",6400
"Afrixalus uluguruensis",700
"Afrixalus upembae",5600
"Afrixalus vibekensis",4900
"Afrixalus vittiger",953800
"Afrixalus weidholzi",1245900
"Afrixalus wittei",493800
"Agalychnis annae",1000
"Agalychnis buckleyi",38200
"Agalychnis callidryas",257400
"Agalychnis dacnicolor",50800
"Agalychnis hulli",34300
"Agalychnis lemur",4600
"Agalychnis medinae",1100
"Agalychnis moreletii",39400
"Agalychnis psilopygion",10700
"Agalychnis saltator",7500
"Agalychnis spurrelli",97800
"Agalychnis terranova",5400
"Aglyptodactylus australis",200
"Aglyptodactylus chorus",3700
"Aglyptodactylus inguinalis",5800
"Aglyptodactylus laticeps",1500
"Aglyptodactylus madagascariensis",19500
"Aglyptodactylus securifer",27500
"Alcalus baluensis",134600
"Alcalus mariae",300
"Alcalus rajae",2200
"Alcalus sariba",100
"Alcalus tasanae",4900
