"allocation","diet","fcr","spp_type","ingredient_raw_material","med_ad","mean_ad","global_mean","lower_med_ad","upper_med_ad","lower_mean_ad","upper_mean_ad","range_med_ad","range_mean_ad"
"ge","fish-dominant","efficient","Terrestrial mammal","Wheat_wheat gluten",0.00000421859252575162,0.0000068845397490597,0.00000421951897475247,0.000000000926449000848706,0.00000843811150050409,-0.00000266502077430724,0.0000111040587238122,0.00000843718505150324,0.0000137690794981194
"ge","fish-dominant","efficient","Terrestrial mammal","Wheat_wheat",0.00000203881382667498,0.00000332697917189885,0.00000203926367265489,0.000000000449845979910712,0.00000407807749932988,-0.00000128771549924396,0.00000536624284455375,0.00000407762765334997,0.0000066539583437977
"ge","fish-dominant","efficient","Terrestrial mammal","Soybean_soybean meal",0.0000115270221581314,0.0000180311304443746,0.0000116053370558094,0.0000000783148976779557,0.0000231323592139408,-0.00000642579338856526,0.000029636467500184,0.0000230540443162629,0.0000360622608887493
"ge","fish-dominant","efficient","Terrestrial mammal","Pulses_faba beans",0.000000744204048563857,0.00000121233869276403,0.000000747661962741076,0.00000000345791417721841,0.00000149186601130493,-0.000000464676730022956,0.00000196000065550511,0.00000148840809712771,0.00000242467738552806
"ge","fish-dominant","efficient","Terrestrial mammal","Maize_corn gluten meal",0.000000498501147800384,0.000000848713116432785,0.000000498532754073539,0.0000000000316062731542388,0.000000997033901873923,-0.000000350180362359246,0.00000134724587050632,0.000000997002295600769,0.00000169742623286557
"ge","fish-dominant","efficient","Amphibians","Wheat_wheat gluten",0.00000317868072214446,0.00000504664950278733,0.00000318395362248305,0.00000000527290033858208,0.00000636263434462751,-0.00000186269588030428,0.00000823060312527037,0.00000635736144428893,0.0000100932990055747
"ge","fish-dominant","efficient","Amphibians","Wheat_wheat",0.00000153654236100836,0.00000243931157670346,0.00000153910506217075,0.00000000256270116238966,0.00000307564742317912,-0.000000900206514532711,0.00000397841663887422,0.00000307308472201673,0.00000487862315340693
"ge","fish-dominant","efficient","Amphibians","Soybean_soybean meal",0.00000809217738295168,0.0000125018050675919,0.0000081506409511605,0.0000000584635682088219,0.0000162428183341122,-0.00000435116411643145,0.0000206524460187525,0.0000161843547659034,0.0000250036101351839
"ge","fish-dominant","efficient","Amphibians","Pulses_faba beans",0.000000561619015182088,0.000000904921094329515,0.000000564913480993353,0.00000000329446581126547,0.00000112653249617544,-0.000000340007613336162,0.00000146983457532287,0.00000112323803036418,0.00000180984218865903
"ge","fish-dominant","efficient","Amphibians","Maize_corn gluten meal",0.000000383254465325653,0.000000643685829293746,0.000000383288444870525,0.0000000000339795448722757,0.000000766542910196178,-0.00000026039738442322,0.00000102697427416427,0.000000766508930651306,0.00000128737165858749
"ge","fish-dominant","efficient","Amphibians","trimmings fish_fish oil, cut offs",0.0000000749912965151322,0.000000118233025284617,0.000000079353372548847,0.00000000436207603371486,0.000000154344669063979,-0.0000000388796527357695,0.000000197586397833464,0.000000149982593030264,0.000000236466050569233
"ge","fish-dominant","efficient","Amphibians","trimmings fish_fish meal, cut offs",0.0000000198413737643626,0.0000000279027347091538,0.0000000217774841474899,0.00000000193611038312724,0.0000000416188579118525,-0.00000000612525056166393,0.0000000496802188566436,0.0000000396827475287252,0.0000000558054694183076
"ge","fish-dominant","efficient","Amphibians","forage fish_fish oil",0.000000274173931061432,0.000000347575206142605,0.000000312011260775285,0.0000000378373297138523,0.000000586185191836717,-0.0000000355639453673199,0.000000659586466917889,0.000000548347862122865,0.000000695150412285209
