BINOMIAL,AOH_name,excluded,ORDER,Red_List_Category_2019,Model_prevalence,Point_prevalence,Number_of_Validation_Points,Point_validation
Ametrida centurio,Ametrida_centurio,no,CHIROPTERA,LC,0.773027042334647,0,0,No
Amorphochilus schnablii,Amorphochilus_schnablii,no,CHIROPTERA,VU,0.117344230291331,0,0,No
Anoura cultrata,Anoura_cultrata,no,CHIROPTERA,LC,0.657071454254901,0,0,No
Anoura latidens,Anoura_latidens,no,CHIROPTERA,LC,0.644202168168844,0,0,No
Antrozous pallidus,Antrozous_pallidus,no,CHIROPTERA,LC,0.343239110627034,0.709677419354839,31,Yes
Ardops nichollsi,Ardops_nichollsi,no,CHIROPTERA,LC,0.785285486416996,0,0,No
Ariteus flavescens,Ariteus_flavescens,no,CHIROPTERA,LC,0.82986933940122,0,0,No
Artibeus concolor,Artibeus_concolor,no,CHIROPTERA,LC,0.779351688103634,0,0,No
Artibeus fimbriatus,Artibeus_fimbriatus,no,CHIROPTERA,LC,0.486269444703867,0,0,No
Artibeus fraterculus,Artibeus_fraterculus,no,CHIROPTERA,LC,0.31192491845154,0,0,No
Artibeus hirsutus,Artibeus_hirsutus,no,CHIROPTERA,LC,0.655582766033882,0,0,No
Artibeus lituratus,Artibeus_lituratus,no,CHIROPTERA,LC,0.672582698909501,1,29,Yes
Artibeus obscurus,Artibeus_obscurus,no,CHIROPTERA,LC,0.661572997071278,0,0,No
Artibeus planirostris,Artibeus_planirostris,no,CHIROPTERA,LC,0.742244326009924,0,0,No
Balantiopteryx infusca,Balantiopteryx_infusca,no,CHIROPTERA,VU,0.16797803227516,0,0,No
Balantiopteryx io,Balantiopteryx_io,no,CHIROPTERA,VU,0.360536921062019,0,0,No
Brachyphylla cavernarum,Brachyphylla_cavernarum,no,CHIROPTERA,LC,0.740363761929098,0,0,No
Lasionycteris noctivagans,Lasionycteris_noctivagans,no,CHIROPTERA,LC,0.479763526546017,0.897435897435897,39,Yes
Lasiurus atratus,Lasiurus_atratus,no,CHIROPTERA,LC,0.934626665305406,0,0,No
Lasiurus borealis,Lasiurus_borealis,no,CHIROPTERA,LC,0.461284752726731,0.918181818181818,110,Yes
Mormoops megalophylla,Mormoops_megalophylla,no,CHIROPTERA,LC,0.458771673038871,0,0,No
Myotis keenii,Myotis_keenii,no,CHIROPTERA,LC,0.897424318858798,0,0,No
Myotis nesopolus,Myotis_nesopolus,no,CHIROPTERA,LC,0.544215714716207,0,0,No
Myotis occultus,Myotis_occultus,no,CHIROPTERA,LC,0.732930793865325,0,0,No
Myotis oxyotus,Myotis_oxyotus,no,CHIROPTERA,LC,0.191183653153871,0,0,No
Myotis peninsularis,Myotis_peninsularis,no,CHIROPTERA,EN,0.32288777794549,0,0,No
Myotis planiceps,Myotis_planiceps,no,CHIROPTERA,EN,0.141394358203679,0,0,No
Saccopteryx canescens,Saccopteryx_canescens,no,CHIROPTERA,LC,0.778875818780234,0,0,No
Saccopteryx leptura,Saccopteryx_leptura,no,CHIROPTERA,LC,0.601285345641503,0,0,No
Carollia brevicauda,Carollia_brevicauda,no,CHIROPTERA,LC,0.807304880533238,1,10,Yes
Carollia manu,Carollia_manu,no,CHIROPTERA,LC,0.114054256336341,0,0,No
Carollia perspicillata,Carollia_perspicillata,no,CHIROPTERA,LC,0.675450957723179,1,15,Yes
Carollia subrufa,Carollia_subrufa,no,CHIROPTERA,LC,0.385901789276547,0,0,No
Centronycteris centralis,Centronycteris_centralis,no,CHIROPTERA,LC,0.566469021264538,0,0,No
Centronycteris maximiliani,Centronycteris_maximiliani,no,CHIROPTERA,LC,0.768903884868235,0,0,No
Chiroderma doriae,Chiroderma_doriae,no,CHIROPTERA,LC,0.38035915453831,0,0,No
Chiroderma improvisum,Chiroderma_improvisum,no,CHIROPTERA,EN,0.698570407528729,0,0,No
Chiroderma salvini,Chiroderma_salvini,no,CHIROPTERA,LC,0.688677238214424,0,0,No
Chiroderma trinitatum,Chiroderma_trinitatum,no,CHIROPTERA,LC,0.740595150365152,0,0,No
Chiroderma villosum,Chiroderma_villosum,no,CHIROPTERA,LC,0.680924466446174,0,0,No
Choeroniscus godmani,Choeroniscus_godmani,no,CHIROPTERA,LC,0.61781046461272,0,0,No
Choeroniscus periosus,Choeroniscus_periosus,no,CHIROPTERA,VU,0.829667785128521,0,0,No
Choeronycteris mexicana,Choeronycteris_mexicana,no,CHIROPTERA,NT,0.638252741909317,0,0,No
Chrotopterus auritus,Chrotopterus_auritus,no,CHIROPTERA,LC,0.6732158804771,0,0,No
Cormura brevirostris,Cormura_brevirostris,no,CHIROPTERA,LC,0.801708575995206,0,0,No
